[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 1] My son, if thou receivest my words, and layest up my commandments with thee,
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 2] so that thou incline thine ear unto wisdom [and] thou apply thy heart to understanding;
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 3] yea, if thou criest after discernment [and] liftest up thy voice to understanding;
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 4] if thou seekest her as silver and searchest for her as for hidden treasures:
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 5] then shalt thou understand the fear of Jehovah, and find the knowledge of God.
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 6] For Jehovah giveth wisdom; out of his mouth [come] knowledge and understanding.
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 7] He layeth up sound wisdom for the upright; [he] is a shield to them that walk in integrity;
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 8] guarding the paths of just judgment and keeping the way of his godly ones.
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 9] Then shalt thou understand righteousness and judgment and equity: every good path.
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 10] When wisdom entereth into thy heart and knowledge is pleasant unto thy soul,
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 11] discretion shall keep thee, understanding shall preserve thee:
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 12] To deliver thee from the way of evil, from the man that speaketh froward things;
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 13] [from those] who leave the paths of uprightness, to walk in the ways of darkness;
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 14] who rejoice to do evil, [and] delight in the frowardness of evil;
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 15] whose paths are crooked, and who are perverted in their course:
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 16] To deliver thee from the strange woman, from the stranger who flattereth with her words;
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 17] who forsaketh the guide of her youth, and forgetteth the covenant of her God;
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 18] — for her house inclineth unto death, and her paths unto the dead;
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 19] none that go unto her return again, neither do they attain to the paths of life:
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 20] — that thou mayest walk in the way of the good, and keep the paths of the righteous.
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 21] For the upright shall dwell in the land, and the perfect shall remain in it;
[DARBY | EN | OT | Proverbs | Chapter 2 | Verse 22] but the wicked shall be cut off from the land, and the unfaithful shall be plucked up out of it.
