[IRV | GU | OT | Joshua | Chapter 15 | Verse 1] યહૂદાપુત્રોના કુળને, તેઓનાં કુટુંબો પ્રમાણે, જે વારસો સોંપવામાં આવેલો હતો તે દક્ષિણે અદોમની સરહદ સુધી વિસ્તરેલો હતો. એટલે દક્ષિણ તરફ સીનના અરણ્ય સાથે, જે સરહદનો છેવાડો ભાગ હતો ત્યાં સુધી.
[IRV | GU | OT | Joshua | Chapter 15 | Verse 2] તેની સીમા દક્ષિણના ખારા સમુદ્રના છેડાથી, એટલે દક્ષિણના અખાતથી શરુ થતી હતી.
[IRV | GU | OT | Joshua | Chapter 15 | Verse 3] ત્યાંથી સરહદ આક્રાબ્બીમના ઘાટની દક્ષિણે થઈને આગળ સીન સુધી ગઈ. અને કાદેશ બાર્નેઆની દક્ષિણે થઈને ઉપર ગઈ. ત્યાંથી હેસ્રોન થઈને આદ્દારથી ચકરાવો ખાઈને કાર્કા સુધી ગઈ.
[IRV | GU | OT | Joshua | Chapter 15 | Verse 4] ત્યાંથી આસ્મોન સુધી ગઈ. ત્યાંથી મિસરના ઝરણાંથી પસાર થઈને તેનો છેડો સમુદ્ર આગળ આવ્યો. આ તેમની દક્ષિણ તરફની સરહદ હતી.
[IRV | GU | OT | Joshua | Chapter 15 | Verse 5] યર્દનના છેડા તરફ, ખારો સમુદ્ર પૂર્વ તરફની સરહદ હતી. યર્દનના છેડા તરફ સમુદ્રની ખાડીથી ઉત્તર તરફની સરહદથી શરુ થતી હતી.
[IRV | GU | OT | Joshua | Chapter 15 | Verse 6] તે સરહદ બેથ-હોગ્લા અને બેથ-અરાબાની ઉત્તર તરફ પસાર થઈને આગળ ગઈ. પછી તે સરહદ બોહાનની શિલા, રુબેનના દીકરા સુધી ગઈ.
[IRV | GU | OT | Joshua | Chapter 15 | Verse 7] પછી તે સરહદ આખોરની ખીણથી દબીર સુધી ગઈ, તે જ પ્રમાણે ઉત્તર તરફ ગિલ્ગાલના વળાંક સુધી, કે જે નદીની દક્ષિણ બાજુ પર, અદુમ્મીમના ઘાટની સામે છે ત્યાં સુધી ગઈ. પછી તે સરહદ એન-શેમેશનાં ઝરણાંથી પસાર થઈ અને એન-રોગેલ આગળ પૂરી થઈ.
[IRV | GU | OT | Joshua | Chapter 15 | Verse 8] પછી તે સરહદ હિન્નોમના પુત્રની ખીણ પાસે થઈને યબૂસીઓના નગરની દક્ષિણ તરફ એટલે યરુશાલેમ સુધી ગઈ. પછી તે હિન્નોમની ખીણની સામે પશ્ચિમે આવેલા પર્વતના શિખર પર, જે રફાઈમની ખીણના ઉત્તરના છેડા સુધી તે સરહદ ગઈ.
[IRV | GU | OT | Joshua | Chapter 15 | Verse 9] પછી તે સરહદ પર્વતના શિખરથી તે નેફતોઆના ઝરણાં સુધી ગઈ, ત્યાંથી એફ્રોન પર્વતનાં નગરો સુધી ગઈ. પછી તે સરહદ બાલાહ એટલે કિર્યાથ-યારીમ સુધી અંકાયેલી હતી.
[IRV | GU | OT | Joshua | Chapter 15 | Verse 10] પછી તે સરહદ ત્યાંથી વળીને પશ્ચિમ તરફ બાલાહથી સેઈર પર્વત સુધી ગઈ, પછી આગળ વધીને ઉત્તર તરફ યારીમ પર્વતની એટલે કસાલોન ની બાજુથી પસાર થઈ અને બેથ-શેમેશ સુધી નીચે થઈને તિમ્નાથી પસાર થઈને આગળ વધી.
[IRV | GU | OT | Joshua | Chapter 15 | Verse 11] તે સરહદ ઉત્તર તરફ એક્રોનની બાજુએ ગઈ, પછી શિક્કરોનથી વળીને, બાલાહ પર્વતથી પસાર થઈને યાબ્નએલ સુધી ગઈ. તે સરહદનો અંત સમુદ્ર પાસે આવ્યો.
[IRV | GU | OT | Joshua | Chapter 15 | Verse 12] પશ્ચિમી સરહદ મોટા સમુદ્ર તથા તેના કિનારા સુધી હતી. આ યહૂદાના કુળની તેમનાં કુટુંબો પ્રમાણે ચારેબાજુની સરહદ હતી.
[IRV | GU | OT | Joshua | Chapter 15 | Verse 13] યહોશુઆએ યહોવાહની આજ્ઞાનું પાલન કર્યું, તેણે યફૂન્નેના દીકરા કાલેબને યહૂદા કુળની વચ્ચે જમીન સોંપી, કિર્યાથ-આર્બા, જે હેબ્રોન છે તે આપ્યું, આર્બા અનાકનો પિતા હતો.
[IRV | GU | OT | Joshua | Chapter 15 | Verse 14] અને કાલેબે અનાકના વંશનાં ત્રણ કુળોને એટલે શેશાય, અહીમાન તથા તાલ્માય જે અનાકના પુત્રો હતા તેઓને ત્યાંથી કાઢી મૂક્યા.
[IRV | GU | OT | Joshua | Chapter 15 | Verse 15] તેણે ત્યાંથી દબીરના રહેવાસીઓ પર ચઢાઈ કરી. દબીરનું નામ તો પૂર્વે કિર્યાથ-સેફેર હતું.
[IRV | GU | OT | Joshua | Chapter 15 | Verse 16] કાલેબે કહ્યું, “જે કોઈ માણસ કિર્યાથ-સેફેર પર હુમલો કરશે અને તેને કબજે કરશે, તેને હું મારી દીકરી આખ્સાહ સાથે પરણાવીશ.”
[IRV | GU | OT | Joshua | Chapter 15 | Verse 17] કાલેબના ભાઈ કનાઝના દીકરા ઓથ્નીએલે કિર્યાથ-સેફેર જીતી લીધું. તેથી કાલેબે તેની દીકરી આખ્સાહનાં લગ્ન તેની સાથે કરાવ્યાં.
[IRV | GU | OT | Joshua | Chapter 15 | Verse 18] જયારે આખ્સાહ ઓથ્નીએલ પાસે આવી, ત્યારે એમ થયું કે, તેણે તેને તેના પિતા પાસેથી ખેતર માગવાની વિનંતી કરી. અને આખ્સા તેના ગધેડા પરથી ઊતરી. અને કાલેબે તેને કહ્યું કે, “તારે શું જોઈએ છે?”
[IRV | GU | OT | Joshua | Chapter 15 | Verse 19] આખ્સાહએ ઉત્તર આપ્યો, “મારા પર વિશેષ કરીને કૃપા કર. તેં મને નેગેબની જમીન તો આપી જ છે, પાણીના થોડા ઝરા પણ મને આપ.” અને કાલેબે તેને ઉપરના ભાગના અને નીચાણના ભાગના ઝરા આપ્યાં.
[IRV | GU | OT | Joshua | Chapter 15 | Verse 20] આ યહૂદાપુત્રોના કુળનું વતન તેઓનાં કુટુંબો પ્રમાણે આ છે.
[IRV | GU | OT | Joshua | Chapter 15 | Verse 21] અને નેગેબમાં અદોમની સરહદની તરફ યહૂદાપુત્રોના કુળનાં છેવાડાં નગરો કાબ્સએલ, એદેર તથા યાગૂર,
[IRV | GU | OT | Joshua | Chapter 15 | Verse 22] કિના, દીમોના, આદાદા,
[IRV | GU | OT | Joshua | Chapter 15 | Verse 23] કેદેશ, હાસોર, ઈથનાન,
[IRV | GU | OT | Joshua | Chapter 15 | Verse 24] ઝીફ, ટેલેમ, બેઆલોથ;
[IRV | GU | OT | Joshua | Chapter 15 | Verse 25] હાસોર-હદાત્તા, કરીયોથ હેસ્રોન એટલે હાસોર,
[IRV | GU | OT | Joshua | Chapter 15 | Verse 26] અમામ, શેમા, મોલાદા,
[IRV | GU | OT | Joshua | Chapter 15 | Verse 27] હસાર-ગાદ્દાહ, હેશ્મોન, બેથ-પેલેટ,
[IRV | GU | OT | Joshua | Chapter 15 | Verse 28] હસાર-શૂઆલ, બેરશેબા, બિઝયોથ્યા.
[IRV | GU | OT | Joshua | Chapter 15 | Verse 29] બાલાહ, લીમતથા એસેમ,
