[ASV | EN | OT | Tobit | Chapter 13 | Verse 1] And Tobit wrote a prayer for rejoicing, and said, Blessed is God that liveth forever, And blessed is his kingdom.
[ASV | EN | OT | Tobit | Chapter 13 | Verse 2] For he scourgeth, and showeth mercy: He leadeth down to Hades, and bringeth up again: And there is none that shall escape his hand.
[ASV | EN | OT | Tobit | Chapter 13 | Verse 3] Give thanks unto him before the Gentiles, ye children of Israel: For he hath scattered us among them.
[ASV | EN | OT | Tobit | Chapter 13 | Verse 4] There declare his greatness, And extol him before all the living: Because he is our Lord, And God is our Father forever.
[ASV | EN | OT | Tobit | Chapter 13 | Verse 5] And he will scourge us for our iniquities, and will again show mercy, And will gather us out of all the nations among whom ye are scattered.
[ASV | EN | OT | Tobit | Chapter 13 | Verse 6] If ye turn to him with your whole heart and with your whole soul, To do truth before him, Then will he turn unto you, And will not hide his face from you. And see what he will do with you, And give him thanks with your whole mouth, And bless the Lord of righteousness, And exalt the everlasting King. I in the land of my captivity give him thanks, And show his strength and majesty to a nation of sinners. Turn, ye sinners, and do righteousness before him: Who can tell if he will accept you and have mercy on you?
[ASV | EN | OT | Tobit | Chapter 13 | Verse 7] I exalt my God, And my soul doth exalt the King of heaven, And it shall rejoice in his greatness.
[ASV | EN | OT | Tobit | Chapter 13 | Verse 8] Let all men speak, and let them give him thanks in Jerusalem.
[ASV | EN | OT | Tobit | Chapter 13 | Verse 9] O Jerusalem, the holy city, He will scourge thee for the works of thy sons, And will again have mercy on the sons of the righteous.
[ASV | EN | OT | Tobit | Chapter 13 | Verse 10] Give thanks to the Lord with goodness, And bless the everlasting King, That his tabernacle may be built in thee again with joy, And that he may make glad in thee those that are captives, And love in thee forever those that are miserable.
[ASV | EN | OT | Tobit | Chapter 13 | Verse 11] Many nations shall come from far to the name of the Lord God With gifts in their hands, even gifts to the King of heaven; Generations of generations shall praise thee, And sing songs of rejoicing.
[ASV | EN | OT | Tobit | Chapter 13 | Verse 12] Cursed are all they that hate thee; Blessed shall be all they that love thee forever.
[ASV | EN | OT | Tobit | Chapter 13 | Verse 13] Rejoice and be exceeding glad for the sons of the righteous: For they shall be gathered together and shall bless the Lord of the righteous.
[ASV | EN | OT | Tobit | Chapter 13 | Verse 14] O blessed are they that love thee; They shall rejoice for thy peace: Blessed are all they that sorrowed for all thy scourges: Because they shall rejoice for thee, When they have seen all thy glory; And they shall be made glad forever.
[ASV | EN | OT | Tobit | Chapter 13 | Verse 15] Let my soul bless God the great King.
[ASV | EN | OT | Tobit | Chapter 13 | Verse 16] For Jerusalem shall be built with sapphires and emeralds and precious stones; Thy walls and towers and battlements with pure gold.
[ASV | EN | OT | Tobit | Chapter 13 | Verse 17] And the streets of Jerusalem shall be paved with beryl and carbuncle and stones of Ophir.
[ASV | EN | OT | Tobit | Chapter 13 | Verse 18] And all her streets shall say, Hallelujah, and give praise, Saying, Blessed is God, who hath exalted thee forever.
