[ASV | EN | OT | Tobit | Chapter 8 | Verse 1] And when they had finished their supper, they brought Tobias in unto her.
[ASV | EN | OT | Tobit | Chapter 8 | Verse 2] But as he went, he remembered the words of Raphael, and took the ashes of the incense, and put the heart and the liver of the fish thereupon, and made a smoke therewith.
[ASV | EN | OT | Tobit | Chapter 8 | Verse 3] But when the demon smelled the smell, he fled into the uppermost parts of Egypt, and the angel bound him.
[ASV | EN | OT | Tobit | Chapter 8 | Verse 4] But after they were both shut in together, Tobias rose up from the bed, and said, Sister, arise, and let us pray that the Lord may have mercy on us.
[ASV | EN | OT | Tobit | Chapter 8 | Verse 5] And Tobias began to say, Blessed art thou, O God of our fathers, and blessed is thy holy and glorious name forever; let the heavens bless thee, and all thy creatures.
[ASV | EN | OT | Tobit | Chapter 8 | Verse 6] Thou madest Adam, and gavest him Eve his wife for a helper and a stay: of them came the seed of men: thou didst say, it is not good that the man should be alone; let us make him a helper like unto him.
[ASV | EN | OT | Tobit | Chapter 8 | Verse 7] And now, O Lord, I take not this my sister for lust, but in truth: command that I may find mercy and grow old with her.
[ASV | EN | OT | Tobit | Chapter 8 | Verse 8] And she said with him, Amen. And they slept both that night.
[ASV | EN | OT | Tobit | Chapter 8 | Verse 9] And Raguel arose, and went and dug a grave,
[ASV | EN | OT | Tobit | Chapter 8 | Verse 10] saying, Lest he also should die.
[ASV | EN | OT | Tobit | Chapter 8 | Verse 11] And Raguel came into his house,
[ASV | EN | OT | Tobit | Chapter 8 | Verse 12] and said to Edna his wife, Send one of the maidservants, and let them see whether he is alive: but if not, that we may bury him, and no man know it.
[ASV | EN | OT | Tobit | Chapter 8 | Verse 13] So the maidservant opened the door, and went in, and found them both sleeping,
[ASV | EN | OT | Tobit | Chapter 8 | Verse 14] and came forth, and told them that he was alive.
[ASV | EN | OT | Tobit | Chapter 8 | Verse 15] And Raguel blessed God, saying, Blessed art thou, O God, with all pure and holy blessing; and let thy saints bless thee, and all thy creatures; and let all thine angels and thine elect bless thee forever.
[ASV | EN | OT | Tobit | Chapter 8 | Verse 16] Blessed art thou, because thou hast made me glad; and it hath not befallen me as I suspected; but thou hast dealt with us according to thy great mercy.
[ASV | EN | OT | Tobit | Chapter 8 | Verse 17] Blessed art thou, because thou hast had mercy on two that were the only begotten children of their parents: show them mercy, O Lord; accomplish their life in health with gladness and mercy.
[ASV | EN | OT | Tobit | Chapter 8 | Verse 18] But he commanded his servants to fill the grave.
[ASV | EN | OT | Tobit | Chapter 8 | Verse 19] And he kept the wedding feast for them fourteen days.
[ASV | EN | OT | Tobit | Chapter 8 | Verse 20] And before the days of the wedding feast were finished, Raguel sware unto him, that he should not depart till the fourteen days of the wedding feast were fulfilled;
[ASV | EN | OT | Tobit | Chapter 8 | Verse 21] and that then he should take the half of his goods, and go in safety to his father; and the rest, said he, when I and my wife shall die.
