[ASV | EN | OT | Tobit | Chapter 1 | Verse 1] The book of the words of Tobit, the son of Tobiel, the son of Ananiel, the son of Aduel, the son of Gabael, of the seed of Asiel, of the tribe of Naphtali;
[ASV | EN | OT | Tobit | Chapter 1 | Verse 2] who in the days of Shalmaneser king of the Assyrians was carried away captive out of Thisbe, which is on the right hand of Kedesh Naphtali in Galilee above Asher.
[ASV | EN | OT | Tobit | Chapter 1 | Verse 3] I Tobit walked in the ways of truth and righteousness all the days of my life, and I did many almsdeeds to my brethren and my nation, who went with me into the land of the Assyrians, to Nineveh.
[ASV | EN | OT | Tobit | Chapter 1 | Verse 4] And when I was in mine own country, in the land of Israel, while I was yet young, all the tribe of Naphtali my father fell away from the house of Jerusalem, which was chosen out of all the tribes of Israel, that all the tribes should sacrifice there, and the temple of the habitation of the Most High was hallowed and built therein for all ages.
[ASV | EN | OT | Tobit | Chapter 1 | Verse 5] And all the tribes which fell away together sacrificed to the heifer Baal, and so did the house of Naphtali my father.
[ASV | EN | OT | Tobit | Chapter 1 | Verse 6] And I alone went often to Jerusalem at the feasts, as it hath been ordained unto all Israel by an everlasting decree, having the firstfruits and the tenths of mine increase, and that which was first shorn; and I gave them at the altar to the priests the sons of Aaron.
[ASV | EN | OT | Tobit | Chapter 1 | Verse 7] The tenth part of all mine increase I gave to the sons of Levi, who ministered at Jerusalem: and the second tenth part I sold away, and went, and spent it each year at Jerusalem:
[ASV | EN | OT | Tobit | Chapter 1 | Verse 8] and the third I gave unto them to whom it was meet, as Deborah my father’s mother had commanded me, because I was left an orphan by my father.
[ASV | EN | OT | Tobit | Chapter 1 | Verse 9] And when I became a man, I took to wife Anna of the seed of our own family, and of her I begat Tobias.
[ASV | EN | OT | Tobit | Chapter 1 | Verse 10] And when I was carried away captive to Nineveh, all my brethren and those that were of my kindred did eat of the bread of the Gentiles:
[ASV | EN | OT | Tobit | Chapter 1 | Verse 11] but I kept myself from eating,
[ASV | EN | OT | Tobit | Chapter 1 | Verse 12] because I remembered God with all my soul.
[ASV | EN | OT | Tobit | Chapter 1 | Verse 13] And the Most High gave me grace and favor in the sight of Shalmaneser, and I was his purveyor.
[ASV | EN | OT | Tobit | Chapter 1 | Verse 14] And I went into Media, and left in trust with Gabael, the brother of Gabrias, at Rages of Media, ten talents of silver.
[ASV | EN | OT | Tobit | Chapter 1 | Verse 15] And when Shalmaneser was dead, Sennacherib his son reigned in his stead; and in his time the highways were troubled, and I could no more go into Media.
[ASV | EN | OT | Tobit | Chapter 1 | Verse 16] And in the days of Shalmaneser I did many almsdeeds to my brethren: I gave my bread to the hungry,
[ASV | EN | OT | Tobit | Chapter 1 | Verse 17] and my garments to the naked: and if I saw any of my race dead, and cast forth on the wall of Nineveh, I buried him.
[ASV | EN | OT | Tobit | Chapter 1 | Verse 18] And if Sennacherib the king slew any, when he came fleeing from Judea, I buried them privily; for in his wrath he slew many; and the bodies were sought for by the king, and were not found.
[ASV | EN | OT | Tobit | Chapter 1 | Verse 19] But one of the Ninevites went and showed to the king concerning me, how that I buried them, and hid myself; and when I knew that I was sought for to be put to death, I withdrew myself for fear.
[ASV | EN | OT | Tobit | Chapter 1 | Verse 20] And all my goods were forcibly taken away, and there was nothing left unto me, save my wife Anna and my son Tobias.
[ASV | EN | OT | Tobit | Chapter 1 | Verse 21] And there passed not five and fifty days, before two of his sons slew him, and they fled into the mountains of Ararat. And Esar-haddon his son reigned in his stead; and he appointed over all the accounts of his kingdom, and over all his affairs, Ahikar my brother Anael’s son.
[ASV | EN | OT | Tobit | Chapter 1 | Verse 22] And Ahikar made request for me, and I came to Nineveh. Now Ahikar was cupbearer, and keeper of the signet, and steward, and overseer of the accounts: and Esar-haddon appointed him next unto himself: but he was my brother’s son.
