[ASV | EN | OT | Tobit | Chapter 11 | Verse 1] After these things Tobias also went his way, blessing God because he had prospered his journey; and he blessed Raguel and Edna his wife. And he went on his way till they drew near unto Nineveh.
[ASV | EN | OT | Tobit | Chapter 11 | Verse 2] And Raphael said to Tobias, Knowest thou not, brother, how thou didst leave thy father?
[ASV | EN | OT | Tobit | Chapter 11 | Verse 3] Let us run forward before thy wife, and prepare the house.
[ASV | EN | OT | Tobit | Chapter 11 | Verse 4] But take in thy hand the gall of the fish. And they went their way, and the dog went after them.
[ASV | EN | OT | Tobit | Chapter 11 | Verse 5] And Anna sat looking about toward the way for her son.
[ASV | EN | OT | Tobit | Chapter 11 | Verse 6] And she espied him coming, and said to his father, Behold, thy son cometh, and the man that went with him.
[ASV | EN | OT | Tobit | Chapter 11 | Verse 7] And Raphael said, I know, Tobias, that thy father will open his eyes.
[ASV | EN | OT | Tobit | Chapter 11 | Verse 8] Do thou therefore anoint his eyes with the gall, and being pricked therewith, he shall rub, and shall make the white films to fall away, and he shall see thee.
[ASV | EN | OT | Tobit | Chapter 11 | Verse 9] And Anna ran unto him, and fell upon the neck of her son, and said unto him, I have seen thee, my child; from henceforth I will die. And they wept both.
[ASV | EN | OT | Tobit | Chapter 11 | Verse 10] And Tobit went forth toward the door, and stumbled: but his son ran unto him,
[ASV | EN | OT | Tobit | Chapter 11 | Verse 11] and took hold of his father: and he sprinkled the gall on his father’s eyes, saying, Be of good cheer, my father.
[ASV | EN | OT | Tobit | Chapter 11 | Verse 12] But when his eyes began to smart, he rubbed them;
[ASV | EN | OT | Tobit | Chapter 11 | Verse 13] and the white films scaled away from the corners of his eyes; and he saw his son, and fell upon his neck.
[ASV | EN | OT | Tobit | Chapter 11 | Verse 14] And he wept, and said, Blessed art thou, O God, and blessed is thy name forever, and blessed are all thy holy angels;
[ASV | EN | OT | Tobit | Chapter 11 | Verse 15] for thou didst scourge, and didst have mercy on me: behold, I see my son Tobias. And his son went in rejoicing, and told his father the great things that had happened to him in Media.
[ASV | EN | OT | Tobit | Chapter 11 | Verse 16] And Tobit went out to meet his daughter-in-law at the gate of Nineveh, rejoicing, and blessing God: and they that saw him go marveled, because he had received his sight.
[ASV | EN | OT | Tobit | Chapter 11 | Verse 17] And Tobit gave thanks before them, because God had shown mercy on him. And when Tobit came near to Sarah his daughter-in-law, he blessed her, saying, Welcome, daughter: blessed is God who hath brought thee unto us, and blessed are thy father and thy mother. And there was joy to all his brethren who were at Nineveh.
[ASV | EN | OT | Tobit | Chapter 11 | Verse 18] And Ahikar, and Nadab his brother’s son, came:
[ASV | EN | OT | Tobit | Chapter 11 | Verse 19] and Tobias’ wedding feast was kept seven days with great gladness.
