[ASV | EN | OT | Tobit | Chapter 4 | Verse 1] In that day Tobit remembered concerning the money which he had left in trust with Gabael in Rages of Media,
[ASV | EN | OT | Tobit | Chapter 4 | Verse 2] and he said in himself, I have asked for death; why do I not call my son Tobias, that I may show to him of the money before I die?
[ASV | EN | OT | Tobit | Chapter 4 | Verse 3] And he called him, and said, My child, when I die, bury me: and despise not thy mother; honor her all the days of thy life, and do that which is pleasing unto her, and grieve her not.
[ASV | EN | OT | Tobit | Chapter 4 | Verse 4] Remember, my child, that she hath seen many dangers for thee, when thou wast in her womb. When she is dead, bury her by me in one grave.
[ASV | EN | OT | Tobit | Chapter 4 | Verse 5] My child, be mindful of the Lord our God all thy days, and let not thy will be set to sin and to transgress his commandments: do righteousness all the days of thy life, and follow not the ways of unrighteousness.
[ASV | EN | OT | Tobit | Chapter 4 | Verse 6] For if thou doest the truth, thy doings shall prosperously succeed to thee, and to all them that do righteousness.
[ASV | EN | OT | Tobit | Chapter 4 | Verse 7] Give alms of thy substance; and when thou givest alms, let not thine eye be envious: turn not away thy face from any poor man, and the face of God shall not be turned away from thee.
[ASV | EN | OT | Tobit | Chapter 4 | Verse 8] As thy substance is, give alms of it according to that little:
[ASV | EN | OT | Tobit | Chapter 4 | Verse 9] for thou layest up a good treasure for thyself against the day of necessity:
[ASV | EN | OT | Tobit | Chapter 4 | Verse 10] because alms delivereth from death, and suffereth not to come into darkness.
[ASV | EN | OT | Tobit | Chapter 4 | Verse 11] Alms is a good gift in the sight of the Most High for all that give it.
[ASV | EN | OT | Tobit | Chapter 4 | Verse 12] Beware, my child, of all whoredom, and take first a wife of the seed of thy fathers, and take not a strange wife, who is not of thy father’s tribe: for we are the sons of the prophets. Noah, Abraham, Isaac, Jacob, our fathers of old time, remember, my child, that they all took wives of their brethren, and were blessed in their children, and their seed shall inherit the land.
[ASV | EN | OT | Tobit | Chapter 4 | Verse 13] And now, my child, love thy brethren, and scorn not in thy heart thy brethren, and the sons and the daughters of thy people, to take a wife of them: for in scornfulness is destruction and much trouble, and in naughtiness is decay and great want: for naughtiness is the mother of famine.
[ASV | EN | OT | Tobit | Chapter 4 | Verse 14] Let not the wages of any man, who shall work for thee, tarry with thee, but render it unto him out of hand: and if thou serve God, recompense shall be made unto thee. Take heed to thyself, my child, in all thy works, and be discreet in all thy behavior.
[ASV | EN | OT | Tobit | Chapter 4 | Verse 15] And what thou thyself hatest, do to no man. Drink not wine unto drunkenness, and let not drunkenness go with thee on thy way.
[ASV | EN | OT | Tobit | Chapter 4 | Verse 16] Give of thy bread to the hungry, and of thy garments to them that are naked: of all thine abundance give alms; and let not thine eye be envious when thou givest alms.
[ASV | EN | OT | Tobit | Chapter 4 | Verse 17] Pour out thy bread on the burial of the just, and give nothing to sinners.
[ASV | EN | OT | Tobit | Chapter 4 | Verse 18] Ask counsel of every man that is wise, and despise not any counsel that is profitable.
[ASV | EN | OT | Tobit | Chapter 4 | Verse 19] And bless the Lord thy God at all times, and ask of him that thy ways may be made straight, and that all thy paths and counsels may prosper: for every nation hath not counsel; but the Lord himself giveth all good things, and he humbleth whom he will, as he will. And now, my child, remember my commandments, and let them not be blotted out of thy mind.
[ASV | EN | OT | Tobit | Chapter 4 | Verse 20] And now I show thee of the ten talents of silver, which I left in trust with Gabael the son of Gabrias at Rages of Media.
[ASV | EN | OT | Tobit | Chapter 4 | Verse 21] And fear not, my child, because we are made poor: thou hast much wealth, if thou fear God, and depart from all sin, and do that which is pleasing in his sight.
