[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 1] Εἰ οὖν συνηγέρθητε τῷ Χριστῷ, τὰ ἄνω ζητεῖτε, οὗ ὁ Χριστός ἐστιν ἐν δεξιᾷ τοῦ θεοῦ καθήμενος·
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 2] τὰ ἄνω φρονεῖτε, μὴ τὰ ἐπὶ τῆς γῆς,
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 3] ἀπεθάνετε γάρ, καὶ ἡ ζωὴ ὑμῶν κέκρυπται σὺν τῷ Χριστῷ ἐν τῷ θεῷ·
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 4] ὅταν ὁ Χριστὸς φανερωθῇ, ἡ ζωὴ ⸀ὑμῶν, τότε καὶ ὑμεῖς σὺν αὐτῷ φανερωθήσεσθε ἐν δόξῃ.
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 5] Νεκρώσατε οὖν τὰ ⸀μέλη τὰ ἐπὶ τῆς γῆς, πορνείαν, ἀκαθαρσίαν, πάθος, ἐπιθυμίαν κακήν, καὶ τὴν πλεονεξίαν ἥτις ἐστὶν εἰδωλολατρία,
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 6] διʼ ἃ ἔρχεται ἡ ὀργὴ τοῦ θεοῦ ⸂ἐπὶ τοὺς υἱοὺς τῆς ἀπειθείας⸃·
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 7] ἐν οἷς καὶ ὑμεῖς περιεπατήσατέ ποτε ὅτε ἐζῆτε ἐν ⸀τούτοις·
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 8] νυνὶ δὲ ἀπόθεσθε καὶ ὑμεῖς τὰ πάντα, ὀργήν, θυμόν, κακίαν, βλασφημίαν, αἰσχρολογίαν ἐκ τοῦ στόματος ὑμῶν·
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 9] μὴ ψεύδεσθε εἰς ἀλλήλους· ἀπεκδυσάμενοι τὸν παλαιὸν ἄνθρωπον σὺν ταῖς πράξεσιν αὐτοῦ,
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 10] καὶ ἐνδυσάμενοι τὸν νέον τὸν ἀνακαινούμενον εἰς ἐπίγνωσιν κατʼ εἰκόνα τοῦ κτίσαντος αὐτόν,
[SBLGNT | EL | NT | Colossians | Chapter 3 | Verse 11] ὅπου οὐκ ἔνι Ἕλλην καὶ Ἰουδαῖος, περιτομὴ καὶ ἀκροβυστία, βάρβαρος, Σκύθης, δοῦλος, ἐλεύθερος, ἀλλὰ ⸀τὰ πάντα καὶ ἐν πᾶσιν Χριστός.
