[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 1] In the five and twentieth year of our captivity, in the beginning of the year, the tenth day of the month, the fourteenth year after the city was destroyed: in the selfsame day the hand of the Lord was upon me, and he brought me thither.
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 2] In the visions of God he brought me into the land of Israel, and set me upon a very high mountain: upon which there was as the building of a city, bending towards the south.
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 3] And he brought me in thither, and behold a man, whose appearance was like the appearance of brass, with a line of flax in his hand, and a measuring reed in his hand, and he stood in the gate.
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 4] And this man said to me: Son of man, see with thy eyes, and hear with thy ears, and set thy heart upon all that I shall shew thee: for thou art brought hither that they may be shewn to thee: declare all that thou seest, to the house of Israel.
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 5] And behold there was a wall on the outside of the house round about, and in the man’s hand a measuring reed of six cubits and a handbreadth: and he measured the breadth of the building one reed, and the height one reed.
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 6] And he came to the gate that looked toward the east, and he went up the steps thereof: and he measured the breadth of the threshold of the gate one reed, that is, one threshold was one reed broad:
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 7] And every little chamber was one reed long, and one reed broad: and between the little chambers were five cubits:
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 8] And the threshold of the gate by the porch of the gate within, was one reed.
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 9] And he measured the porch of the gate eight cubits, and the front thereof two cubits: and the porch of the gate was inward.
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 10] And the little chambers of the gate that looked eastward were three on this side, and three on that side: all three were of one measure, and the fronts of one measure, on both parts.
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 11] And he measured the breadth of the threshold of the gate ten cubits: and the length of the gate thirteen cubits:
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 12] And the border before the little chambers one cubit: and one cubit was the border on both sides: and the little chambers were six cubits on this side and that side.
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 13] And he measured the gate from the roof of one little chamber to the roof of another, in breadth five and twenty cubits: door against door.
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 14] He made also fronts of sixty cubits: and to the front the court of the gate on every side round about.
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 15] And before the face of the gate which reached even to the face of the porch of the inner gate, fifty cubits.
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 16] And slanting windows in the little chambers, and in their fronts, which were within the gate on every side round about: and in like, manner there wore also in the porches windows round about within, and before the fronts the representation of palm trees.
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 17] And he brought me into the outward court, and behold there were chambers, and a pavement of stone in the court round about: thirty chambers encompassed the pavement.
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 18] And the pavement in the front of the gates according to the length of the gates was lower.
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 19] And he measured the breadth from the face of the lower gate to the front of the inner court without, a hundred cubits to the east, and to the north.
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 20] He measured also both the length and the breadth of the gate of the outward court, which looked northward.
[DRA | EN | OT | Ezekiel | Chapter 40 | Verse 21] And the little chambers thereof three on this side, and three on that side: and the front thereof, and the porch thereof according to the measure of the former gate, fifty cubits long, and five and twenty cubits broad.
