[IRV | PA | OT | Zechariah | Chapter 4 | Verse 1] ਉਹ ਦੂਤ ਜਿਹੜਾ ਮੇਰੇ ਨਾਲ ਗੱਲਾਂ ਕਰਦਾ ਸੀ ਫੇਰ ਮੁੜਿਆ ਅਤੇ ਉਹ ਨੇ ਮੈਨੂੰ ਉਸ ਮਨੁੱਖ ਵਾਂਗੂੰ ਜਗਾਇਆ ਜਿਹੜਾ ਆਪਣੀ ਨੀਂਦ ਤੋਂ ਜਾਗਦਾ ਹੈ।
[IRV | PA | OT | Zechariah | Chapter 4 | Verse 2] ਉਸ ਮੈਨੂੰ ਕਿਹਾ, ਤੂੰ ਕੀ ਦੇਖਦਾ ਹੈਂ? ਮੈਂ ਕਿਹਾ, ਮੈਂ ਦੇਖਿਆ ਤਾਂ ਵੇਖੋ, ਇੱਕ ਸ਼ਮਾਦਾਨ ਸੰਪੂਰਣ ਸੋਨੇ ਦਾ ਸੀ, ਉਹ ਦੇ ਸਿਰ ਉੱਤੇ ਇੱਕ ਕਟੋਰਾ ਸੀ, ਉਸ ਉੱਤੇ ਸੱਤ ਦੀਵੇ ਸਨ ਅਤੇ ਉਹਨਾਂ ਦੀਵਿਆਂ ਲਈ ਸੱਤ-ਸੱਤ ਨਾਲੀਆਂ ਸਨ, ਜਿਹੜੀਆਂ ਉਸ ਦੇ ਸਿਰ ਉੱਤੇ ਸਨ।
[IRV | PA | OT | Zechariah | Chapter 4 | Verse 3] ਉਸ ਦੇ ਕੋਲ ਜ਼ੈਤੂਨ ਦੇ ਦੋ ਦਰੱਖਤ ਸ਼ਮਾਦਾਨ ਦੇ ਸੱਜੇ ਅਤੇ ਖੱਬੇ ਪਾਸੇ ਸਨ।
[IRV | PA | OT | Zechariah | Chapter 4 | Verse 4] ਫੇਰ ਮੈਂ ਦੂਤ ਨੂੰ ਜਿਹੜਾ ਮੇਰੇ ਨਾਲ ਗੱਲਾਂ ਕਰਦਾ ਸੀ ਕਿਹਾ, ਕਿ ਹੇ ਮਾਲਕ, ਇਹ ਕੀ ਹਨ?
[IRV | PA | OT | Zechariah | Chapter 4 | Verse 5] ਉਸ ਦੂਤ ਨੇ ਜਿਹੜਾ ਮੇਰੇ ਨਾਲ ਗੱਲਾਂ ਕਰਦਾ ਸੀ ਕਿਹਾ, ਕੀ ਤੂੰ ਨਹੀਂ ਜਾਣਦਾ ਕਿ ਇਹ ਕੀ ਹਨ? ਮੈਂ ਕਿਹਾ, ਨਹੀਂ, ਮੇਰੇ ਪ੍ਰਭੂ।
[IRV | PA | OT | Zechariah | Chapter 4 | Verse 6] ਉਸ ਫੇਰ ਮੈਨੂੰ ਕਿਹਾ ਕਿ ਇਹ ਜ਼ਰੂੱਬਾਬਲ ਲਈ ਯਹੋਵਾਹ ਦਾ ਬਚਨ ਹੈ ਕਿ ਨਾ ਸ਼ਕਤੀ ਨਾਲ, ਨਾ ਬਲ ਨਾਲ, ਸਗੋਂ ਮੇਰੇ ਆਤਮਾ ਨਾਲ, ਸੈਨਾਂ ਦੇ ਯਹੋਵਾਹ ਦਾ ਫ਼ਰਮਾਨ ਹੈ।
[IRV | PA | OT | Zechariah | Chapter 4 | Verse 7] ਹੇ ਵੱਡੇ ਪਰਬਤ, ਤੂੰ ਕੀ ਹੈਂ? ਤੂੰ ਜ਼ਰੂੱਬਾਬਲ ਦੇ ਅੱਗੇ ਮੈਦਾਨ ਹੋ ਜਾਵੇਂਗਾ ਅਤੇ ਉਹ ਚੋਟੀ ਦਾ ਪੱਥਰ ਪੁਕਾਰਦੇ ਹੋਏ ਬਾਹਰ ਲੈ ਆਵੇਗਾ ਕਿ ਇਹ ਦੇ ਲਈ ਕਿਰਪਾ ਹੋਵੇ, ਕਿਰਪਾ!
[IRV | PA | OT | Zechariah | Chapter 4 | Verse 8] ਤਾਂ ਯਹੋਵਾਹ ਦਾ ਬਚਨ ਮੈਨੂੰ ਆਇਆ ਕਿ
[IRV | PA | OT | Zechariah | Chapter 4 | Verse 9] ਜ਼ਰੂੱਬਾਬਲ ਦੇ ਹੱਥਾਂ ਨੇ ਇਸ ਭਵਨ ਦੀ ਨੀਂਹ ਰੱਖੀ ਅਤੇ ਉਸੇ ਦੇ ਹੱਥ ਇਸ ਨੂੰ ਪੂਰਾ ਵੀ ਕਰਨਗੇ, ਤਦ ਤੂੰ ਜਾਣੇਗਾ ਕਿ ਸੈਨਾਂ ਦੇ ਯਹੋਵਾਹ ਨੇ ਮੈਨੂੰ ਤੁਹਾਡੇ ਕੋਲ ਭੇਜਿਆ ਹੈ।
[IRV | PA | OT | Zechariah | Chapter 4 | Verse 10] ਉਹ ਕੌਣ ਹੈ ਜਿਸ ਨੇ ਛੋਟੀਆਂ ਗੱਲਾਂ ਦੇ ਦਿਨ ਦੀ ਨਿਰਾਦਰੀ ਕੀਤੀ ਹੋਵੇ? ਉਹ ਅਨੰਦ ਹੋਣਗੇ ਅਤੇ ਜ਼ਰੂੱਬਾਬਲ ਦੇ ਹੱਥ ਵਿੱਚ ਸਾਹਲ ਨੂੰ ਵੇਖਣਗੇ, ਇਹ ਯਹੋਵਾਹ ਦੀਆਂ ਸੱਤ ਅੱਖਾਂ ਹਨ, ਜਿਹੜੀਆਂ ਸਾਰੀ ਧਰਤੀ ਵਿੱਚ ਨੱਠੀਆਂ ਫਿਰਦੀਆਂ ਹਨ।
[IRV | PA | OT | Zechariah | Chapter 4 | Verse 11] ਤਦ ਮੈਂ ਉਸ ਨੂੰ ਕਿਹਾ ਕਿ ਇਹ ਦੋ ਜ਼ੈਤੂਨ ਦੇ ਦਰੱਖਤ ਜਿਹੜੇ ਸ਼ਮਾਦਾਨ ਦੇ ਸੱਜੇ ਅਤੇ ਖੱਬੇ ਪਾਸੇ ਉੱਤੇ ਹਨ ਕੀ ਹਨ?
[IRV | PA | OT | Zechariah | Chapter 4 | Verse 12] ਫੇਰ ਦੂਜੀ ਵਾਰ ਮੈਂ ਉਸ ਨੂੰ ਕਿਹਾ ਕਿ ਜ਼ੈਤੂਨ ਦੀਆਂ ਇਹ ਦੋ ਟਹਿਣੀਆਂ ਕੀ ਹਨ, ਜਿਹੜੀਆਂ ਸੋਨੇ ਦੀਆਂ ਦੋਹਾਂ ਨਾਲੀਆਂ ਦੇ ਬਰਾਬਰ ਤੇ ਹਨ ਜਿਨ੍ਹਾਂ ਦੇ ਰਾਹੀਂ ਸੁਨਹਿਲਾ ਤੇਲ ਨਿੱਕਲਦਾ ਹੈ?
[IRV | PA | OT | Zechariah | Chapter 4 | Verse 13] ਉਸ ਮੈਨੂੰ ਕਿਹਾ, ਕੀ ਤੂੰ ਨਹੀਂ ਜਾਣਦਾ ਕਿ ਇਹ ਕੀ ਹਨ? ਮੈਂ ਕਿਹਾ, ਹੇ ਮੇਰੇ ਪ੍ਰਭੂ, ਨਹੀਂ
[IRV | PA | OT | Zechariah | Chapter 4 | Verse 14] ਉਸ ਕਿਹਾ, ਇਹ ਤੇਲ ਨਾਲ ਮਸਹ ਹੋਏ ਦੋ ਪੁਰਖ ਹਨ, ਜੋ ਸਾਰੀ ਧਰਤੀ ਦੇ ਮਾਲਕ ਦੇ ਹਜ਼ੂਰ ਖੜੇ ਰਹਿੰਦੇ ਹਨ।
