[IRV | PA | OT | Zechariah | Chapter 5 | Verse 1] ਮੈਂ ਮੁੜ ਕੇ ਅੱਖਾਂ ਚੁੱਕ ਕੇ ਦੇਖਿਆ ਤਾਂ ਵੇਖੋ, ਇੱਕ ਉੱਡਦੀ ਹੋਈ ਲਪੇਟਵੀਂ ਪੱਤ੍ਰੀ ਸੀ।
[IRV | PA | OT | Zechariah | Chapter 5 | Verse 2] ਉਸ ਨੇ ਮੈਨੂੰ ਕਿਹਾ, ਤੂੰ ਕੀ ਦੇਖਦਾ ਹੈਂ? ਮੈਂ ਕਿਹਾ, ਮੈਂ ਇੱਕ ਉੱਡਦੀ ਹੋਈ ਲਪੇਟਵੀਂ ਪੱਤ੍ਰੀ ਦੇਖਦਾ ਹਾਂ, ਜਿਸ ਦੀ ਲੰਬਾਈ ਵੀਹ ਹੱਥ ਅਤੇ ਚੌੜਾਈ ਦਸ ਹੱਥ ਹੈ।
[IRV | PA | OT | Zechariah | Chapter 5 | Verse 3] ਫੇਰ ਉਸ ਨੇ ਮੈਨੂੰ ਕਿਹਾ, ਇਹ ਉਹ ਸਰਾਪ ਹੈ ਜਿਹੜਾ ਸਾਰੇ ਦੇਸ ਉੱਤੇ ਆਉਣ ਵਾਲਾ ਹੈ, ਕਿਉਂ ਜੋ ਹਰੇਕ ਚੋਰੀ ਕਰਦਾ ਹੈ, ਹੁਣ ਤੋਂ ਉਹ ਇਸ ਦੇ ਅਨੁਸਾਰ ਕੱਟਿਆ ਜਾਵੇਗਾ ਅਤੇ ਹਰੇਕ ਜੋ ਸਹੁੰ ਖਾਂਦਾ ਹੈ, ਉਹ ਇਸ ਦੇ ਅਨੁਸਾਰ ਹੁਣ ਤੋਂ ਕੱਟਿਆ ਜਾਵੇਗਾ।
[IRV | PA | OT | Zechariah | Chapter 5 | Verse 4] ਸੈਨਾਂ ਦੇ ਯਹੋਵਾਹ ਦਾ ਵਾਕ ਹੈ, ਮੈਂ ਉਸ ਨੂੰ ਬਾਹਰ ਲਿਆਵਾਂਗਾ। ਉਹ ਚੋਰ ਦੇ ਘਰ ਵਿੱਚ ਅਤੇ ਮੇਰੇ ਨਾਮ ਦੀ ਝੂਠੀ ਸਹੁੰ ਖਾਣ ਵਾਲੇ ਦੇ ਘਰ ਵਿੱਚ ਵੜੇਗਾ, ਉਹ ਉਸ ਦੇ ਘਰ ਦੇ ਅੰਦਰ ਟਿਕੇਗਾ ਅਤੇ ਉਸ ਨੂੰ ਲੱਕੜੀ ਅਤੇ ਪੱਥਰ ਸਮੇਤ ਨਾਸ ਕਰੇਗਾ।
[IRV | PA | OT | Zechariah | Chapter 5 | Verse 5] ਤਦ ਉਹ ਦੂਤ ਜਿਹੜਾ ਮੇਰੇ ਨਾਲ ਗੱਲਾਂ ਕਰਦਾ ਸੀ, ਬਾਹਰ ਆਇਆ ਅਤੇ ਉਸ ਨੇ ਮੈਨੂੰ ਕਿਹਾ, ਤੂੰ ਆਪਣੀਆਂ ਅੱਖਾਂ ਚੁੱਕ ਕੇ ਦੇਖ! ਉਹ ਕੀ ਹੈ ਜੋ ਬਾਹਰ ਨੂੰ ਨਿੱਕਲਦਾ ਹੈ?
[IRV | PA | OT | Zechariah | Chapter 5 | Verse 6] ਮੈਂ ਕਿਹਾ, ਇਹ ਕੀ ਹੈ? ਉਸ ਨੇ ਕਿਹਾ ਕਿ ਉਹ ਇੱਕ ਏਫਾਹ ਬਾਹਰ ਨੂੰ ਨਿੱਕਲ ਰਿਹਾ ਹੈ। ਉਸ ਨੇ ਕਿਹਾ, ਸਾਰੇ ਦੇਸ ਵਿੱਚ ਉਹਨਾਂ ਦੀ ਇਹ ਬਦੀ ਹੈ।
[IRV | PA | OT | Zechariah | Chapter 5 | Verse 7] ਤਾਂ ਵੇਖੋ, ਸਿੱਕੇ ਦਾ ਇੱਕ ਢੱਕਣ ਉੱਪਰ ਚੁੱਕਿਆ ਗਿਆ ਅਤੇ ਇੱਕ ਔਰਤ ਏਫਾਹ ਦੇ ਵਿੱਚ ਬੈਠੀ ਹੋਈ ਸੀ।
[IRV | PA | OT | Zechariah | Chapter 5 | Verse 8] ਉਸ ਕਿਹਾ ਕਿ ਇਹ ਦੁਸ਼ਟਪੁਣਾ ਹੈ। ਉਸ ਨੇ ਔਰਤ ਨੂੰ ਏਫਾਹ ਵਿੱਚ ਧੱਕ ਦਿੱਤਾ ਅਤੇ ਉਸ ਸਿੱਕੇ ਦੇ ਢੱਕਣ ਨੂੰ ਏਫਾਹ ਦੇ ਮੂੰਹ ਉੱਤੇ ਸੁੱਟ ਦਿੱਤਾ।
[IRV | PA | OT | Zechariah | Chapter 5 | Verse 9] ਫੇਰ ਮੈਂ ਆਪਣੀਆਂ ਅੱਖਾਂ ਚੁੱਕ ਕੇ ਦੇਖਿਆ ਤਾਂ ਵੇਖੋ, ਦੋ ਇਸਤਰੀਆਂ ਬਾਹਰ ਨਿੱਕਲੀਆਂ ਅਤੇ ਹਵਾ ਉਹਨਾਂ ਦੇ ਖੰਭਾਂ ਦੇ ਵਿੱਚ ਸੀ, ਕਿਉਂ ਜੋ ਉਹਨਾਂ ਦੇ ਖੰਭ ਲਮਢੀਂਗ ਦੇ ਖੰਭਾਂ ਵਰਗੇ ਸਨ। ਉਹਨਾਂ ਨੇ ਏਫਾਹ ਨੂੰ ਧਰਤੀ ਅਤੇ ਅਕਾਸ਼ ਦੇ ਵਿੱਚ ਵਿਚਾਲੇ ਤੱਕ ਚੁੱਕਿਆ
[IRV | PA | OT | Zechariah | Chapter 5 | Verse 10] ਤਾਂ ਮੈਂ ਉਸ ਦੂਤ ਨੂੰ ਜਿਹੜਾ ਮੇਰੇ ਨਾਲ ਗੱਲਾਂ ਕਰਦਾ ਸੀ ਕਿਹਾ, ਇਹ ਏਫਾਹ ਨੂੰ ਕਿੱਥੇ ਲੈ ਚੱਲੀਆਂ ਹਨ?
[IRV | PA | OT | Zechariah | Chapter 5 | Verse 11] ਉਸ ਮੈਨੂੰ ਕਿਹਾ ਕਿ ਸ਼ਿਨਾਰ ਬੇਬੀਲੋਨ ਦਾ ਦੂਸਰਾ ਨਾਮ ਦੇਸ ਵਿੱਚ ਉਸ ਦਾ ਇੱਕ ਘਰ ਬਣਾਉਣਾ ਹੈ। ਜਦ ਉਹ ਤਿਆਰ ਹੋ ਜਾਵੇ ਤਾਂ ਉਹ ਦੇ ਅੱਡੇ ਉੱਤੇ ਉਹ ਰੱਖਿਆ ਜਾਵੇਗਾ।
