[IRV | PA | OT | Zechariah | Chapter 7 | Verse 1] ਸਮਰਾਟ ਦਾਰਾ ਦੇ ਰਾਜ ਦੇ ਚੌਥੇ ਸਾਲ ਵਿੱਚ ਇਸ ਤਰ੍ਹਾਂ ਹੋਇਆ ਕਿ ਯਹੋਵਾਹ ਦਾ ਬਚਨ ਨੌਵੇਂ ਮਹੀਨੇ ਦੀ ਚੌਥੀ ਤਾਰੀਖ਼ ਨੂੰ ਅਰਥਾਤ ਕਿਸਲੇਵ ਮਹੀਨੇ ਵਿੱਚ ਜ਼ਕਰਯਾਹ ਨੂੰ ਆਇਆ।
[IRV | PA | OT | Zechariah | Chapter 7 | Verse 2] ਤਾਂ ਬੈਤਏਲ ਵਾਲਿਆਂ ਨੇ ਸ਼ਰਾਸਰ, ਰਗਮ-ਮਲਕ ਅਤੇ ਉਸ ਦੇ ਮਨੁੱਖਾਂ ਨੂੰ ਭੇਜਿਆ ਕਿ ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਬੇਨਤੀ ਕਰਨ
[IRV | PA | OT | Zechariah | Chapter 7 | Verse 3] ਅਤੇ ਜਾਜਕਾਂ ਨੂੰ ਜਿਹੜੇ ਸੈਨਾਂ ਦੇ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਲਈ ਸਨ ਅਤੇ ਨਬੀਆਂ ਨੂੰ ਆਖਣ, ਕਿ ਮੈਂ ਪੰਜਵੇਂ ਮਹੀਨੇ ਵਿੱਚ ਵਰਤ ਰੱਖਾਂ ਅਤੇ ਸੋਗ ਕਰਨ, ਜਿਵੇਂ ਮੈਂ ਕਈ ਸਾਲਾਂ ਤੋਂ ਕਰਦਾ ਰਿਹਾ ਹਾਂ?
[IRV | PA | OT | Zechariah | Chapter 7 | Verse 4] ਫੇਰ ਸੈਨਾਂ ਦੇ ਯਹੋਵਾਹ ਦਾ ਬਚਨ ਮੇਰੇ ਕੋਲ ਆਇਆ ਕਿ
[IRV | PA | OT | Zechariah | Chapter 7 | Verse 5] ਦੇਸ ਦੇ ਸਾਰੇ ਲੋਕਾਂ ਨੂੰ ਅਤੇ ਜਾਜਕਾਂ ਨੂੰ ਆਖ ਕਿ ਜਦ ਤੁਸੀਂ ਇਹਨਾਂ ਸੱਤਰ ਸਾਲਾਂ ਤੋਂ ਪੰਜਵੇਂ ਅਤੇ ਸੱਤਵੇਂ ਮਹੀਨੇ ਵਿੱਚ ਵਰਤ ਰੱਖਦੇ ਅਤੇ ਸੋਗ ਕਰਦੇ ਸੀ, ਕੀ ਤੁਸੀਂ ਕਦੀ ਮੇਰੇ ਲਈ ਵਰਤ ਰੱਖਿਆ?
[IRV | PA | OT | Zechariah | Chapter 7 | Verse 6] ਜਦ ਤੁਸੀਂ ਖਾਂਦੇ-ਪੀਂਦੇ ਹੋ, ਤਾਂ ਕੀ ਆਪਣੇ ਲਈ ਹੀ ਨਹੀਂ ਖਾਂਦੇ ਅਤੇ ਆਪਣੇ ਲਈ ਹੀ ਨਹੀਂ ਪੀਂਦੇ ਹੋ?
[IRV | PA | OT | Zechariah | Chapter 7 | Verse 7] ਕੀ ਇਹ ਉਹ ਗੱਲਾਂ ਨਹੀਂ ਹਨ ਜਿਹੜੀਆਂ ਯਹੋਵਾਹ ਨੇ ਪਹਿਲੇ ਨਬੀਆਂ ਦੇ ਰਾਹੀਂ ਪੁਕਾਰ ਕੇ ਆਖੀਆਂ ਸਨ, ਜਦੋਂ ਯਰੂਸ਼ਲਮ ਸੁੱਖ ਅਤੇ ਚੈਨ ਦੇ ਨਾਲ ਵੱਸਦਾ ਸੀ ਅਤੇ ਉਹ ਦੇ ਆਲੇ-ਦੁਆਲੇ ਦੇ ਨਗਰ, ਦੱਖਣ ਅਤੇ ਪੱਛਮ ਦੇ ਹੇਠਾਂ ਵਾਲੇ ਨਗਰ ਵੀ ਵੱਸਦੇ ਸਨ?
[IRV | PA | OT | Zechariah | Chapter 7 | Verse 8] ਫੇਰ ਯਹੋਵਾਹ ਦਾ ਬਚਨ ਜ਼ਕਰਯਾਹ ਨੂੰ ਆਇਆ ਕਿ
[IRV | PA | OT | Zechariah | Chapter 7 | Verse 9] ਸੈਨਾਂ ਦਾ ਯਹੋਵਾਹ ਇਸ ਤਰ੍ਹਾਂ ਆਖਦਾ ਹੈ ਕਿ ਸਚਿਆਈ ਨਾਲ ਨਿਆਂ ਕਰੋ ਅਤੇ ਹਰੇਕ ਮਨੁੱਖ ਆਪਣੇ ਭਰਾ ਉੱਤੇ ਦਯਾ ਅਤੇ ਤਰਸ ਕਰੇ।
[IRV | PA | OT | Zechariah | Chapter 7 | Verse 10] ਵਿਧਵਾ, ਯਤੀਮ, ਪਰਦੇਸੀ ਅਤੇ ਗਰੀਬ ਨੂੰ ਨਾ ਸਤਾਓ ਅਤੇ ਨਾ ਤੁਹਾਡੇ ਵਿੱਚੋਂ ਕੋਈ ਆਪਣੇ ਭਰਾ ਦੇ ਵਿਰੁੱਧ ਆਪਣੇ ਮਨ ਵਿੱਚ ਬੁਰਿਆਈ ਸੋਚੇ।
[IRV | PA | OT | Zechariah | Chapter 7 | Verse 11] ਪਰ ਉਹ ਇਸ ਵੱਲ ਧਿਆਨ ਦੇਣ ਲਈ ਸਹਿਮਤ ਨਾ ਹੋਏ। ਉਹਨਾਂ ਨੇ ਆਪਣੀਆਂ ਪਿੱਠਾਂ ਮੋੜ ਲਈਆਂ ਅਤੇ ਉਹਨਾਂ ਨੇ ਆਪਣੇ ਕੰਨ ਬੰਦ ਕਰ ਲਏ ਕਿ ਨਾ ਸੁਣਨ
