[JPS | EN | OT | Song of Solomon | Chapter 1 | Verse 1] THE SONG of songs, which is Solomon's.
[JPS | EN | OT | Song of Solomon | Chapter 1 | Verse 2] Let him kiss me with the kisses of his mouth — for thy love is better than wine.
[JPS | EN | OT | Song of Solomon | Chapter 1 | Verse 3] Thine ointments have a goodly fragrance; thy name is as ointment poured forth; therefore do the maidens love thee.
[JPS | EN | OT | Song of Solomon | Chapter 1 | Verse 4] Draw me, we will run after thee; the king hath brought me into his chambers; we will be glad and rejoice in thee, we will find thy love more fragrant than wine! sincerely do they love thee.
[JPS | EN | OT | Song of Solomon | Chapter 1 | Verse 5] 'I am black, but comely, O ye daughters of Jerusalem, as the tents of Kedar, as the curtains of Solomon.
[JPS | EN | OT | Song of Solomon | Chapter 1 | Verse 6] Look not upon me, that I am swarthy, that the sun hath tanned me; my mother's sons were incensed against me, they made me keeper of the vineyards; but mine own vineyard have I not kept.'
[JPS | EN | OT | Song of Solomon | Chapter 1 | Verse 7] Tell me, O thou whom my soul loveth, where thou feedest, where thou makest thy flock to rest at noon; for why should I be as one that veileth herself beside the flocks of thy companions?
[JPS | EN | OT | Song of Solomon | Chapter 1 | Verse 8] If thou know not, O thou fairest among women, go thy way forth by the footsteps of the flock and feed thy kids, beside the shepherds' tents.
[JPS | EN | OT | Song of Solomon | Chapter 1 | Verse 9] I have compared thee, O my love, to a steed in Pharaoh's chariots.
[JPS | EN | OT | Song of Solomon | Chapter 1 | Verse 10] Thy cheeks are comely with circlets, thy neck with beads.
[JPS | EN | OT | Song of Solomon | Chapter 1 | Verse 11] We will make thee circlets of gold with studs of silver.
[JPS | EN | OT | Song of Solomon | Chapter 1 | Verse 12] While the king sat at his table, my spikenard sent forth its fragrance.
[JPS | EN | OT | Song of Solomon | Chapter 1 | Verse 13] My beloved is unto me as a bag of myrrh, that lieth betwixt my breasts.
[JPS | EN | OT | Song of Solomon | Chapter 1 | Verse 14] My beloved is unto me as a cluster of henna in the vineyards of En-gedi.
[JPS | EN | OT | Song of Solomon | Chapter 1 | Verse 15] Behold, thou art fair, my love; behold, thou art fair; thine eyes are as doves.
[JPS | EN | OT | Song of Solomon | Chapter 1 | Verse 16] Behold, thou art fair, my beloved, yea, pleasant; also our couch is leafy.
[JPS | EN | OT | Song of Solomon | Chapter 1 | Verse 17] The beams of our houses are cedars, and our panels are cypresses.
