[WEB | EN | NT | John | Chapter 8 | Verse 1] but Jesus went to the Mount of Olives.
[WEB | EN | NT | John | Chapter 8 | Verse 2] Now very early in the morning, he came again into the temple, and all the people came to him. He sat down and taught them.
[WEB | EN | NT | John | Chapter 8 | Verse 3] The scribes and the Pharisees brought a woman taken in adultery. Having set her in the middle,
[WEB | EN | NT | John | Chapter 8 | Verse 4] they told him, “Teacher, we found this woman in adultery, in the very act.
[WEB | EN | NT | John | Chapter 8 | Verse 5] Now in our law, Moses commanded us to stone such women. What then do you say about her?”
[WEB | EN | NT | John | Chapter 8 | Verse 6] They said this testing him, that they might have something to accuse him of. But Jesus stooped down and wrote on the ground with his finger.
[WEB | EN | NT | John | Chapter 8 | Verse 7] But when they continued asking him, he looked up and said to them, “He who is without sin among you, let him throw the first stone at her.”
[WEB | EN | NT | John | Chapter 8 | Verse 8] Again he stooped down and wrote on the ground with his finger.
[WEB | EN | NT | John | Chapter 8 | Verse 9] They, when they heard it, being convicted by their conscience, went out one by one, beginning from the oldest, even to the last. Jesus was left alone with the woman where she was, in the middle.
[WEB | EN | NT | John | Chapter 8 | Verse 10] Jesus, standing up, saw her and said, “Woman, where are your accusers? Did no one condemn you?”
[WEB | EN | NT | John | Chapter 8 | Verse 11] She said, “No one, Lord.” Jesus said, “Neither do I condemn you. Go your way. From now on, sin no more.”
[WEB | EN | NT | John | Chapter 8 | Verse 12] Again, therefore, Jesus spoke to them, saying, “I am the light of the world. He who follows me will not walk in the darkness, but will have the light of life.”
[WEB | EN | NT | John | Chapter 8 | Verse 13] The Pharisees therefore said to him, “You testify about yourself. Your testimony is not valid.”
[WEB | EN | NT | John | Chapter 8 | Verse 14] Jesus answered them, “Even if I testify about myself, my testimony is true, for I know where I came from, and where I am going; but you don’t know where I came from, or where I am going.
[WEB | EN | NT | John | Chapter 8 | Verse 15] You judge according to the flesh. I judge no one.
[WEB | EN | NT | John | Chapter 8 | Verse 16] Even if I do judge, my judgment is true, for I am not alone, but I am with the Father who sent me.
[WEB | EN | NT | John | Chapter 8 | Verse 17] It’s also written in your law that the testimony of two people is valid.
[WEB | EN | NT | John | Chapter 8 | Verse 18] I am one who testifies about myself, and the Father who sent me testifies about me.”
[WEB | EN | NT | John | Chapter 8 | Verse 19] They said therefore to him, “Where is your Father?” Jesus answered, “You know neither me nor my Father. If you knew me, you would know my Father also.”
[WEB | EN | NT | John | Chapter 8 | Verse 20] Jesus spoke these words in the treasury, as he taught in the temple. Yet no one arrested him, because his hour had not yet come.
[WEB | EN | NT | John | Chapter 8 | Verse 21] Jesus said therefore again to them, “I am going away, and you will seek me, and you will die in your sins. Where I go, you can’t come.”
[WEB | EN | NT | John | Chapter 8 | Verse 22] The Jews therefore said, “Will he kill himself, because he says, ‘Where I am going, you can’t come’?”
[WEB | EN | NT | John | Chapter 8 | Verse 23] He said to them, “You are from beneath. I am from above. You are of this world. I am not of this world.
[WEB | EN | NT | John | Chapter 8 | Verse 24] I said therefore to you that you will die in your sins; for unless you believe that I am he, you will die in your sins.”
[WEB | EN | NT | John | Chapter 8 | Verse 25] They said therefore to him, “Who are you?” Jesus said to them, “Just what I have been saying to you from the beginning.
