[WEB | EN | NT | John | Chapter 18 | Verse 1] When Jesus had spoken these words, he went out with his disciples over the brook Kidron, where there was a garden, into which he and his disciples entered.
[WEB | EN | NT | John | Chapter 18 | Verse 2] Now Judas, who betrayed him, also knew the place, for Jesus often met there with his disciples.
[WEB | EN | NT | John | Chapter 18 | Verse 3] Judas then, having taken a detachment of soldiers and officers from the chief priests and the Pharisees, came there with lanterns, torches, and weapons.
[WEB | EN | NT | John | Chapter 18 | Verse 4] Jesus therefore, knowing all the things that were happening to him, went out and said to them, “Who are you looking for?”
[WEB | EN | NT | John | Chapter 18 | Verse 5] They answered him, “Jesus of Nazareth.” Jesus said to them, “I am he.” Judas also, who betrayed him, was standing with them.
[WEB | EN | NT | John | Chapter 18 | Verse 6] When therefore he said to them, “I am he,” they went backward and fell to the ground.
[WEB | EN | NT | John | Chapter 18 | Verse 7] Again therefore he asked them, “Who are you looking for?” They said, “Jesus of Nazareth.”
[WEB | EN | NT | John | Chapter 18 | Verse 8] Jesus answered, “I told you that I am he. If therefore you seek me, let these go their way,”
[WEB | EN | NT | John | Chapter 18 | Verse 9] that the word might be fulfilled which he spoke, “Of those whom you have given me, I have lost none.”
[WEB | EN | NT | John | Chapter 18 | Verse 10] Simon Peter therefore, having a sword, drew it, struck the high priest’s servant, and cut off his right ear. The servant’s name was Malchus.
[WEB | EN | NT | John | Chapter 18 | Verse 11] Jesus therefore said to Peter, “Put the sword into its sheath. The cup which the Father has given me, shall I not surely drink it?”
[WEB | EN | NT | John | Chapter 18 | Verse 12] So the detachment, the commanding officer, and the officers of the Jews seized Jesus and bound him,
[WEB | EN | NT | John | Chapter 18 | Verse 13] and led him to Annas first, for he was father-in-law to Caiaphas, who was high priest that year.
[WEB | EN | NT | John | Chapter 18 | Verse 14] Now it was Caiaphas who advised the Jews that it was expedient that one man should perish for the people.
[WEB | EN | NT | John | Chapter 18 | Verse 15] Simon Peter followed Jesus, as did another disciple. Now that disciple was known to the high priest, and entered in with Jesus into the court of the high priest;
[WEB | EN | NT | John | Chapter 18 | Verse 16] but Peter was standing at the door outside. So the other disciple, who was known to the high priest, went out and spoke to her who kept the door, and brought in Peter.
[WEB | EN | NT | John | Chapter 18 | Verse 17] Then the maid who kept the door said to Peter, “Are you also one of this man’s disciples?” He said, “I am not.”
[WEB | EN | NT | John | Chapter 18 | Verse 18] Now the servants and the officers were standing there, having made a fire of coals, for it was cold. They were warming themselves. Peter was with them, standing and warming himself.
[WEB | EN | NT | John | Chapter 18 | Verse 19] The high priest therefore asked Jesus about his disciples and about his teaching.
[WEB | EN | NT | John | Chapter 18 | Verse 20] Jesus answered him, “I spoke openly to the world. I always taught in synagogues and in the temple, where the Jews always meet. I said nothing in secret.
[WEB | EN | NT | John | Chapter 18 | Verse 21] Why do you ask me? Ask those who have heard me what I said to them. Behold, they know the things which I said.”
[WEB | EN | NT | John | Chapter 18 | Verse 22] When he had said this, one of the officers standing by slapped Jesus with his hand, saying, “Do you answer the high priest like that?”
[WEB | EN | NT | John | Chapter 18 | Verse 23] Jesus answered him, “If I have spoken evil, testify of the evil; but if well, why do you beat me?”
[WEB | EN | NT | John | Chapter 18 | Verse 24] Annas sent him bound to Caiaphas, the high priest.
[WEB | EN | NT | John | Chapter 18 | Verse 25] Now Simon Peter was standing and warming himself. They said therefore to him, “You aren’t also one of his disciples, are you?” He denied it and said, “I am not.”
[WEB | EN | NT | John | Chapter 18 | Verse 26] One of the servants of the high priest, being a relative of him whose ear Peter had cut off, said, “Didn’t I see you in the garden with him?”
[WEB | EN | NT | John | Chapter 18 | Verse 27] Peter therefore denied it again, and immediately the rooster crowed.
[WEB | EN | NT | John | Chapter 18 | Verse 28] They led Jesus therefore from Caiaphas into the Praetorium. It was early, and they themselves didn’t enter into the Praetorium, that they might not be defiled, but might eat the Passover.
[WEB | EN | NT | John | Chapter 18 | Verse 29] Pilate therefore went out to them and said, “What accusation do you bring against this man?”
[WEB | EN | NT | John | Chapter 18 | Verse 30] They answered him, “If this man weren’t an evildoer, we wouldn’t have delivered him up to you.”
