[WEB | EN | NT | John | Chapter 12 | Verse 1] Then, six days before the Passover, Jesus came to Bethany, where Lazarus was, who had been dead, whom he raised from the dead.
[WEB | EN | NT | John | Chapter 12 | Verse 2] So they made him a supper there. Martha served, but Lazarus was one of those who sat at the table with him.
[WEB | EN | NT | John | Chapter 12 | Verse 3] Therefore Mary took a pound of ointment of pure nard, very precious, and anointed Jesus’ feet and wiped his feet with her hair. The house was filled with the fragrance of the ointment.
[WEB | EN | NT | John | Chapter 12 | Verse 4] Then Judas Iscariot, Simon’s son, one of his disciples, who would betray him, said,
[WEB | EN | NT | John | Chapter 12 | Verse 5] “Why wasn’t this ointment sold for three hundred denarii and given to the poor?”
[WEB | EN | NT | John | Chapter 12 | Verse 6] Now he said this, not because he cared for the poor, but because he was a thief, and having the money box, used to steal what was put into it.
[WEB | EN | NT | John | Chapter 12 | Verse 7] But Jesus said, “Leave her alone. She has kept this for the day of my burial.
[WEB | EN | NT | John | Chapter 12 | Verse 8] For you always have the poor with you, but you don’t always have me.”
[WEB | EN | NT | John | Chapter 12 | Verse 9] A large crowd therefore of the Jews learned that he was there; and they came, not for Jesus’ sake only, but that they might see Lazarus also, whom he had raised from the dead.
[WEB | EN | NT | John | Chapter 12 | Verse 10] But the chief priests conspired to put Lazarus to death also,
[WEB | EN | NT | John | Chapter 12 | Verse 11] because on account of him many of the Jews went away and believed in Jesus.
[WEB | EN | NT | John | Chapter 12 | Verse 12] On the next day a great multitude had come to the feast. When they heard that Jesus was coming to Jerusalem,
[WEB | EN | NT | John | Chapter 12 | Verse 13] they took the branches of the palm trees and went out to meet him, and cried out, “Hosanna! Blessed is he who comes in the name of the Lord, the King of Israel!”
[WEB | EN | NT | John | Chapter 12 | Verse 14] Jesus, having found a young donkey, sat on it. As it is written,
[WEB | EN | NT | John | Chapter 12 | Verse 15] “Don’t be afraid, daughter of Zion. Behold, your King comes, sitting on a donkey’s colt.”
[WEB | EN | NT | John | Chapter 12 | Verse 16] His disciples didn’t understand these things at first, but when Jesus was glorified, then they remembered that these things were written about him, and that they had done these things to him.
[WEB | EN | NT | John | Chapter 12 | Verse 17] The multitude therefore that was with him when he called Lazarus out of the tomb and raised him from the dead was testifying about it.
[WEB | EN | NT | John | Chapter 12 | Verse 18] For this cause also the multitude went and met him, because they heard that he had done this sign.
[WEB | EN | NT | John | Chapter 12 | Verse 19] The Pharisees therefore said among themselves, “See how you accomplish nothing. Behold, the world has gone after him.”
[WEB | EN | NT | John | Chapter 12 | Verse 20] Now there were certain Greeks among those who went up to worship at the feast.
[WEB | EN | NT | John | Chapter 12 | Verse 21] Therefore, these came to Philip, who was from Bethsaida of Galilee, and asked him, saying, “Sir, we want to see Jesus.”
[WEB | EN | NT | John | Chapter 12 | Verse 22] Philip came and told Andrew, and in turn, Andrew came with Philip, and they told Jesus.
[WEB | EN | NT | John | Chapter 12 | Verse 23] Jesus answered them, “The time has come for the Son of Man to be glorified.
[WEB | EN | NT | John | Chapter 12 | Verse 24] Most certainly I tell you, unless a grain of wheat falls into the earth and dies, it remains by itself alone. But if it dies, it bears much fruit.
[WEB | EN | NT | John | Chapter 12 | Verse 25] He who loves his life will lose it. He who hates his life in this world will keep it to eternal life.
[WEB | EN | NT | John | Chapter 12 | Verse 26] If anyone serves me, let him follow me. Where I am, there my servant will also be. If anyone serves me, the Father will honor him.
[WEB | EN | NT | John | Chapter 12 | Verse 27] “Now my soul is troubled. What shall I say? ‘Father, save me from this time’? But I came to this time for this cause.
[WEB | EN | NT | John | Chapter 12 | Verse 28] Father, glorify your name!” Then a voice came out of the sky, saying, “I have both glorified it and will glorify it again.”
[WEB | EN | NT | John | Chapter 12 | Verse 29] Therefore the multitude who stood by and heard it said that it had thundered. Others said, “An angel has spoken to him.”
[WEB | EN | NT | John | Chapter 12 | Verse 30] Jesus answered, “This voice hasn’t come for my sake, but for your sakes.
[WEB | EN | NT | John | Chapter 12 | Verse 31] Now is the judgment of this world. Now the prince of this world will be cast out.
[WEB | EN | NT | John | Chapter 12 | Verse 32] And I, if I am lifted up from the earth, will draw all people to myself.”
[WEB | EN | NT | John | Chapter 12 | Verse 33] But he said this, signifying by what kind of death he should die.
[WEB | EN | NT | John | Chapter 12 | Verse 34] The multitude answered him, “We have heard out of the law that the Christ remains forever. How do you say, ‘The Son of Man must be lifted up’? Who is this Son of Man?”
[WEB | EN | NT | John | Chapter 12 | Verse 35] Jesus therefore said to them, “Yet a little while the light is with you. Walk while you have the light, that darkness doesn’t overtake you. He who walks in the darkness doesn’t know where he is going.
[WEB | EN | NT | John | Chapter 12 | Verse 36] While you have the light, believe in the light, that you may become children of light.” Jesus said these things, and he departed and hid himself from them.
[WEB | EN | NT | John | Chapter 12 | Verse 37] But though he had done so many signs before them, yet they didn’t believe in him,
[WEB | EN | NT | John | Chapter 12 | Verse 38] that the word of Isaiah the prophet might be fulfilled, which he spoke: “Lord, who has believed our report? To whom has the arm of the Lord been revealed?”
[WEB | EN | NT | John | Chapter 12 | Verse 39] For this cause they couldn’t believe, for Isaiah said again:
[WEB | EN | NT | John | Chapter 12 | Verse 40] “He has blinded their eyes and he hardened their heart, lest they should see with their eyes, and perceive with their heart, and would turn, and I would heal them.”
[WEB | EN | NT | John | Chapter 12 | Verse 41] Isaiah said these things when he saw his glory, and spoke of him.
[WEB | EN | NT | John | Chapter 12 | Verse 42] Nevertheless, even many of the rulers believed in him, but because of the Pharisees they didn’t confess it, so that they wouldn’t be put out of the synagogue,
[WEB | EN | NT | John | Chapter 12 | Verse 43] for they loved men’s praise more than God’s praise.
