[WEB | EN | NT | John | Chapter 4 | Verse 1] Therefore when the Lord knew that the Pharisees had heard that Jesus was making and baptizing more disciples than John
[WEB | EN | NT | John | Chapter 4 | Verse 2] (although Jesus himself didn’t baptize, but his disciples),
[WEB | EN | NT | John | Chapter 4 | Verse 3] he left Judea and departed into Galilee.
[WEB | EN | NT | John | Chapter 4 | Verse 4] He needed to pass through Samaria.
[WEB | EN | NT | John | Chapter 4 | Verse 5] So he came to a city of Samaria called Sychar, near the parcel of ground that Jacob gave to his son Joseph.
[WEB | EN | NT | John | Chapter 4 | Verse 6] Jacob’s well was there. Jesus therefore, being tired from his journey, sat down by the well. It was about the sixth hour.
[WEB | EN | NT | John | Chapter 4 | Verse 7] A woman of Samaria came to draw water. Jesus said to her, “Give me a drink.”
[WEB | EN | NT | John | Chapter 4 | Verse 8] For his disciples had gone away into the city to buy food.
[WEB | EN | NT | John | Chapter 4 | Verse 9] The Samaritan woman therefore said to him, “How is it that you, being a Jew, ask for a drink from me, a Samaritan woman?” (For Jews have no dealings with Samaritans.)
[WEB | EN | NT | John | Chapter 4 | Verse 10] Jesus answered her, “If you knew the gift of God, and who it is who says to you, ‘Give me a drink,’ you would have asked him, and he would have given you living water.”
[WEB | EN | NT | John | Chapter 4 | Verse 11] The woman said to him, “Sir, you have nothing to draw with, and the well is deep. So where do you get that living water?
[WEB | EN | NT | John | Chapter 4 | Verse 12] Are you greater than our father Jacob, who gave us the well and drank from it himself, as did his children and his livestock?”
[WEB | EN | NT | John | Chapter 4 | Verse 13] Jesus answered her, “Everyone who drinks of this water will thirst again,
[WEB | EN | NT | John | Chapter 4 | Verse 14] but whoever drinks of the water that I will give him will never thirst again; but the water that I will give him will become in him a well of water springing up to eternal life.”
[WEB | EN | NT | John | Chapter 4 | Verse 15] The woman said to him, “Sir, give me this water, so that I don’t get thirsty, neither come all the way here to draw.”
[WEB | EN | NT | John | Chapter 4 | Verse 16] Jesus said to her, “Go, call your husband, and come here.”
[WEB | EN | NT | John | Chapter 4 | Verse 17] The woman answered, “I have no husband.” Jesus said to her, “You said well, ‘I have no husband,’
[WEB | EN | NT | John | Chapter 4 | Verse 18] for you have had five husbands; and he whom you now have is not your husband. This you have said truly.”
[WEB | EN | NT | John | Chapter 4 | Verse 19] The woman said to him, “Sir, I perceive that you are a prophet.
[WEB | EN | NT | John | Chapter 4 | Verse 20] Our fathers worshiped in this mountain, and you Jews say that in Jerusalem is the place where people ought to worship.”
[WEB | EN | NT | John | Chapter 4 | Verse 21] Jesus said to her, “Woman, believe me, the hour is coming when neither in this mountain nor in Jerusalem will you worship the Father.
[WEB | EN | NT | John | Chapter 4 | Verse 22] You worship that which you don’t know. We worship that which we know; for salvation is from the Jews.
[WEB | EN | NT | John | Chapter 4 | Verse 23] But the hour comes, and now is, when the true worshipers will worship the Father in spirit and truth, for the Father seeks such to be his worshipers.
[WEB | EN | NT | John | Chapter 4 | Verse 24] God is spirit, and those who worship him must worship in spirit and truth.”
[WEB | EN | NT | John | Chapter 4 | Verse 25] The woman said to him, “I know that Messiah is coming, he who is called Christ. When he has come, he will declare to us all things.”
[WEB | EN | NT | John | Chapter 4 | Verse 26] Jesus said to her, “I am he, the one who speaks to you.”
[WEB | EN | NT | John | Chapter 4 | Verse 27] Just then, his disciples came. They marveled that he was speaking with a woman; yet no one said, “What are you looking for?” or, “Why do you speak with her?”
[WEB | EN | NT | John | Chapter 4 | Verse 28] So the woman left her water pot, went away into the city, and said to the people,
[WEB | EN | NT | John | Chapter 4 | Verse 29] “Come, see a man who told me everything that I have done. Can this be the Christ?”
[WEB | EN | NT | John | Chapter 4 | Verse 30] They went out of the city, and were coming to him.
[WEB | EN | NT | John | Chapter 4 | Verse 31] In the meanwhile, the disciples urged him, saying, “Rabbi, eat.”
[WEB | EN | NT | John | Chapter 4 | Verse 32] But he said to them, “I have food to eat that you don’t know about.”
[WEB | EN | NT | John | Chapter 4 | Verse 33] The disciples therefore said to one another, “Has anyone brought him something to eat?”
[WEB | EN | NT | John | Chapter 4 | Verse 34] Jesus said to them, “My food is to do the will of him who sent me and to accomplish his work.
[WEB | EN | NT | John | Chapter 4 | Verse 35] Don’t you say, ‘There are yet four months until the harvest’? Behold, I tell you, lift up your eyes and look at the fields, that they are white for harvest already.
[WEB | EN | NT | John | Chapter 4 | Verse 36] He who reaps receives wages and gathers fruit to eternal life, that both he who sows and he who reaps may rejoice together.
[WEB | EN | NT | John | Chapter 4 | Verse 37] For in this the saying is true, ‘One sows, and another reaps.’
[WEB | EN | NT | John | Chapter 4 | Verse 38] I sent you to reap that for which you haven’t labored. Others have labored, and you have entered into their labor.”
[WEB | EN | NT | John | Chapter 4 | Verse 39] From that city many of the Samaritans believed in him because of the word of the woman, who testified, “He told me everything that I have done.”
[WEB | EN | NT | John | Chapter 4 | Verse 40] So when the Samaritans came to him, they begged him to stay with them. He stayed there two days.
[WEB | EN | NT | John | Chapter 4 | Verse 41] Many more believed because of his word.
[WEB | EN | NT | John | Chapter 4 | Verse 42] They said to the woman, “Now we believe, not because of your speaking; for we have heard for ourselves, and know that this is indeed the Christ, the Savior of the world.”
[WEB | EN | NT | John | Chapter 4 | Verse 43] After the two days he went out from there and went into Galilee.
[WEB | EN | NT | John | Chapter 4 | Verse 44] For Jesus himself testified that a prophet has no honor in his own country.
[WEB | EN | NT | John | Chapter 4 | Verse 45] So when he came into Galilee, the Galileans received him, having seen all the things that he did in Jerusalem at the feast, for they also went to the feast.
[WEB | EN | NT | John | Chapter 4 | Verse 46] Jesus came therefore again to Cana of Galilee, where he made the water into wine. There was a certain nobleman whose son was sick at Capernaum.
[WEB | EN | NT | John | Chapter 4 | Verse 47] When he heard that Jesus had come out of Judea into Galilee, he went to him and begged him that he would come down and heal his son, for he was at the point of death.
[WEB | EN | NT | John | Chapter 4 | Verse 48] Jesus therefore said to him, “Unless you see signs and wonders, you will in no way believe.”
[WEB | EN | NT | John | Chapter 4 | Verse 49] The nobleman said to him, “Sir, come down before my child dies.”
[WEB | EN | NT | John | Chapter 4 | Verse 50] Jesus said to him, “Go your way. Your son lives.” The man believed the word that Jesus spoke to him, and he went his way.
[WEB | EN | NT | John | Chapter 4 | Verse 51] As he was going down, his servants met him and reported, saying “Your child lives!”
[WEB | EN | NT | John | Chapter 4 | Verse 52] So he inquired of them the hour when he began to get better. They said therefore to him, “Yesterday at the seventh hour, the fever left him.”
[WEB | EN | NT | John | Chapter 4 | Verse 53] So the father knew that it was at that hour in which Jesus said to him, “Your son lives.” He believed, as did his whole house.
[WEB | EN | NT | John | Chapter 4 | Verse 54] This is again the second sign that Jesus did, having come out of Judea into Galilee.
