[IRV | KN | NT | Luke | Chapter 21 | Verse 1] ಯೇಸು ತಲೆಯೆತ್ತಿ ನೋಡಿ ಐಶ್ವರ್ಯವಂತರು ಕಾಣಿಕೆಗಳನ್ನು ಕಾಣಿಕೆಯ ಪೆಟ್ಟಿಗೆಯಲ್ಲಿ ಹಾಕುವುದನ್ನು ಕಂಡನು.
[IRV | KN | NT | Luke | Chapter 21 | Verse 2] ಆಗ ಒಬ್ಬ ಬಡ ವಿಧವೆಯು ಬಂದು ತಾಮ್ರದ ಚಿಕ್ಕ ನಾಣ್ಯಗಳನ್ನು ಹಾಕುವುದನ್ನು ಯೇಸು ಗಮನಿಸಿ,
[IRV | KN | NT | Luke | Chapter 21 | Verse 3] “ನಿಮಗೆ ಸತ್ಯವಾಗಿ ಹೇಳುತ್ತೇನೆ, ಈ ಬಡ ವಿಧವೆ ಎಲ್ಲರಿಗಿಂತಲೂ ಹೆಚ್ಚು ಹಾಕಿದ್ದಾಳೆ.
[IRV | KN | NT | Luke | Chapter 21 | Verse 4] ಹೇಗೆಂದರೆ ಅವರೆಲ್ಲರು ತಮಗೆ ಸಾಕಾಗಿ ಮಿಕ್ಕದ್ದರಲ್ಲಿ ಕಾಣಿಕೆ ಕೊಟ್ಟರು. ಈಕೆಯೋ ತನ್ನ ಬಡತನದಲ್ಲಿಯೂ ತನ್ನ ಜೀವನಕ್ಕಿದ್ದುದ್ದೆಲ್ಲವನ್ನೂ ಕೊಟ್ಟುಬಿಟ್ಟಳು” ಅಂದನು.
[IRV | KN | NT | Luke | Chapter 21 | Verse 5] ಕೆಲವರು ದೇವಾಲಯದ ವಿಷಯದಲ್ಲಿ ಅದು ಅಂದವಾದ ಕಲ್ಲುಗಳಿಂದಲೂ ಕಾಣಿಕೆಯ ವಸ್ತುಗಳಿಂದಲೂ ಅಲಂಕಾರವಾಗಿದೆ ಎಂದು ಹೇಳುತ್ತಿರುವಾಗ,
[IRV | KN | NT | Luke | Chapter 21 | Verse 6] ಯೇಸು, “ನೀವು ಇವುಗಳನ್ನು ನೋಡುತ್ತಿದ್ದೀರಲ್ಲಾ, ಇಲ್ಲಿ ಕಲ್ಲಿನ ಮೇಲೆ ಕಲ್ಲು ಉಳಿಯದೆ ಎಲ್ಲಾ ಕೆಡವಲ್ಪಡುವ ದಿನಗಳು ಬರುವವು” ಅಂದನು.
[IRV | KN | NT | Luke | Chapter 21 | Verse 7] ಅವರು, “ಬೋಧಕನೇ, ಅದು ಯಾವಾಗ ಆಗುವುದು? ಅದು ಸಂಭವಿಸುವಾಗ ಯಾವ ಸೂಚನೆಗಳುಂಟಾಗುವುವು?” ಎಂದು ಆತನನ್ನು ಕೇಳಲು,
[IRV | KN | NT | Luke | Chapter 21 | Verse 8] ಯೇಸು ಹೇಳಿದ್ದೇನಂದರೆ, “ನೀವು ಮೋಸಹೋಗದಂತೆ ಎಚ್ಚರವಾಗಿರಿ. ಏಕೆಂದರೆ ಅನೇಕರು ಬಂದು ನನ್ನ ಹೆಸರನ್ನು ಹೇಳಿಕೊಂಡು ‘ನಾನೇ ಕ್ರಿಸ್ತನು, ನಾನೇ ಕ್ರಿಸ್ತನು’ ಎಂತಲೂ ‘ಆ ಕಾಲ ಹತ್ತಿರವಾಯಿತು’ ಎಂತಲೂ ಹೇಳುವರು. ಅವರ ಹಿಂದೆ ಹೋಗಬೇಡಿರಿ.
[IRV | KN | NT | Luke | Chapter 21 | Verse 9] ಇದಲ್ಲದೆ ಯುದ್ಧಗಳೂ ಗಲಭೆಗಳೂ ಆಗುವುದನ್ನು ನೀವು ಕೇಳುವಾಗ, ನೋಡುವಾಗ ಭಯಭೀತರಾಗಬೇಡಿರಿ, ಏಕೆಂದರೆ ಇದೆಲ್ಲಾ ಮೊದಲು ಆಗುವುದು ಅಗತ್ಯ. ಆದರೂ ಕೂಡಲೆ ಅಂತ್ಯ ಬರುವುದಿಲ್ಲ” ಅಂದನು.
[IRV | KN | NT | Luke | Chapter 21 | Verse 10] ಮತ್ತು ಯೇಸು ಅವರಿಗೆ ಹೇಳಿದ್ದೇನಂದರೆ, “ಜನಕ್ಕೆ ವಿರೋಧವಾಗಿ ಜನರೂ ರಾಜ್ಯಕ್ಕೆ ವಿರೋಧವಾಗಿ ರಾಜ್ಯವೂ ಏಳುವವು.
[IRV | KN | NT | Luke | Chapter 21 | Verse 11] ಮತ್ತು ಮಹಾಭೂಕಂಪಗಳಾಗುವವು, ಅಲ್ಲಲ್ಲಿ ಬರಗಳೂ ಉಪದ್ರವಗಳೂ ಬರುವವು, ಭಯಾನಕ ಘಟನೆಗಳೂ ಮಹಾ ಸೂಚನೆಗಳೂ ಆಕಾಶದಲ್ಲಿ ತೋರುವವು.
[IRV | KN | NT | Luke | Chapter 21 | Verse 12] ಆದರೆ ಇವೆಲ್ಲಾ ನಡೆಯುವುದಕ್ಕಿಂತ ಮುಂಚೆ ಅವರು ನಿಮ್ಮನ್ನು ಹಿಡಿದು ಸಭಾಮಂದಿರಗಳ ಮತ್ತು ಸೆರೆಮನೆಯ ಅಧಿಕಾರಿಗಳ ವಶಕ್ಕೆ ಕೊಟ್ಟು, ನನ್ನ ಹೆಸರಿನ ನಿಮಿತ್ತವಾಗಿ ಅರಸುಗಳ ಮುಂದೆಯೂ ಅಧಿಪತಿಗಳ ಮುಂದೆಯೂ ಕರೆದುಕೊಂಡುಹೋಗಿ ಹಿಂಸೆಪಡಿಸುವರು.
[IRV | KN | NT | Luke | Chapter 21 | Verse 13] ಇದು ಸಾಕ್ಷಿಹೇಳುವುದಕ್ಕೆ ನಿಮಗೆ ಅನುಕೂಲವಾಗುವುದು.
[IRV | KN | NT | Luke | Chapter 21 | Verse 14] ಆದುದರಿಂದ ಏನು ಉತ್ತರ ಕೊಡಬೇಕೆಂಬ ವಿಷಯದಲ್ಲಿ ನೀವು ಮುಂದಾಗಿ ಯೋಚಿಸುವುದಿಲ್ಲವೆಂದು ನಿಮ್ಮ ಮನಸ್ಸಿನಲ್ಲಿ ನಿಶ್ಚಯಮಾಡಿಕೊಳ್ಳಿರಿ.
