[IRV | KN | NT | Luke | Chapter 22 | Verse 1] ಪಸ್ಕವೆಂದು ಕರೆಯಲ್ಪಡುವ ಹುಳಿಯಿಲ್ಲದ ರೊಟ್ಟಿಯ ಹಬ್ಬವು ಹತ್ತಿರವಾದಾಗ,
[IRV | KN | NT | Luke | Chapter 22 | Verse 2] ಮುಖ್ಯಯಾಜಕರೂ ಶಾಸ್ತ್ರಿಗಳೂ ಯೇಸುವನ್ನು ಕೊಲ್ಲಬೇಕೆಂದಿದ್ದರು. ಆದರೆ ಜನರಿಗೆ ಹೆದರಿ ತಕ್ಕ ಮಾರ್ಗವನ್ನು ಹುಡುಕುತ್ತಿದ್ದರು.
[IRV | KN | NT | Luke | Chapter 22 | Verse 3] ಆಗ ಸೈತಾನನು ಹನ್ನೆರಡು ಮಂದಿ ಶಿಷ್ಯರಲ್ಲಿ ಒಬ್ಬನಾದ ಇಸ್ಕರಿಯೋತನೆಂಬ ಯೂದನಲ್ಲಿ ಪ್ರವೇಶಿಸಲು,
[IRV | KN | NT | Luke | Chapter 22 | Verse 4] ಅವನು ಮುಖ್ಯಯಾಜಕರ ಬಳಿಗೂ ಕಾವಲಿನ ದಳವಾಯಿಗಳ ಬಳಿಗೂ ಹೋಗಿ ತಾನು ಯೇಸುವನ್ನು ಹಿಡಿದುಕೊಡುವ ಉಪಾಯವನ್ನು ಕುರಿತು ಅವರ ಸಂಗಡ ಮಾತನಾಡಿದನು.
[IRV | KN | NT | Luke | Chapter 22 | Verse 5] ಅವರು ಸಂತೋಷಪಟ್ಟು ನಿನಗೆ ಹಣ ಕೊಡುತ್ತೇವೆಂದು ಒಪ್ಪಂದ ಮಾಡಲು,
[IRV | KN | NT | Luke | Chapter 22 | Verse 6] ಅವನು ಒಪ್ಪಿಕೊಂಡು, ಜನಸಮೂಹವಿಲ್ಲದಿರುವಾಗ ಆತನನ್ನು ಅವರಿಗೆ ಹಿಡಿದುಕೊಡುವುದಕ್ಕೆ ಅನುಕೂಲವಾದ ಸಂದರ್ಭವನ್ನು ನೋಡುತ್ತಿದ್ದನು.
[IRV | KN | NT | Luke | Chapter 22 | Verse 7] ಹುಳಿಯಿಲ್ಲದ ರೊಟ್ಟಿಯನ್ನು ತಿನ್ನುವ ದಿನಗಳಲ್ಲಿ ಪಸ್ಕದ ಕುರಿಮರಿಯನ್ನು ಕೊಯ್ಯತಕ್ಕ ದಿನ ಬಂದಾಗ,
[IRV | KN | NT | Luke | Chapter 22 | Verse 8] ಯೇಸು ಪೇತ್ರನಿಗೂ ಯೋಹಾನನಿಗೂ, “ನೀವು ಹೋಗಿ ನಾವು ಪಸ್ಕದ ಊಟಮಾಡುವಂತೆ ಸಿದ್ಧಮಾಡಿರಿ” ಎಂದು ಹೇಳಿ ಅವರನ್ನು ಕಳುಹಿಸಿದನು.
[IRV | KN | NT | Luke | Chapter 22 | Verse 9] ಅವರು, “ನಾವು ಎಲ್ಲಿ ಸಿದ್ಧಮಾಡಬೇಕನ್ನುತ್ತೀ?” ಎಂದು ಆತನನ್ನು ಕೇಳಲು,
[IRV | KN | NT | Luke | Chapter 22 | Verse 10] ಆತನು ಅವರಿಗೆ, “ನೋಡಿರಿ, ನೀವು ಪಟ್ಟಣದೊಳಕ್ಕೆ ಹೋದ ಮೇಲೆ ಒಬ್ಬ ಮನುಷ್ಯನು ತುಂಬಿದ ಕೊಡವನ್ನು ಹೊತ್ತುಕೊಂಡು ನಿಮ್ಮೆದುರಿಗೆ ಬರುವನು. ಅವನು ಹೋಗುವ ಮನೆಗೆ ನೀವು ಅವನ ಹಿಂದೆ ಹೋಗಿ,
[IRV | KN | NT | Luke | Chapter 22 | Verse 11] ಆ ಮನೆಯ ಯಜಮಾನನಿಗೆ, ‘ನನ್ನ ಶಿಷ್ಯರ ಸಂಗಡ ಪಸ್ಕದ ಊಟವನ್ನು ಮಾಡುವುದಕ್ಕಾಗಿ ವಿಶೇಷವಾದ ಕೊಠಡಿ ಎಲ್ಲಿ?’ ಎಂದು ನಿನ್ನನ್ನು ವಿಚಾರಿಸಲು ನಮ್ಮ ಗುರು ಹೇಳಿದ್ದಾನೆ, ಎಂದು ಹೇಳಿರಿ.
