[WEB | EN | OT | Job | Chapter 31 | Verse 1] “I made a covenant with my eyes; how then should I look lustfully at a young woman?
[WEB | EN | OT | Job | Chapter 31 | Verse 2] For what is the portion from God above, and the heritage from the Almighty on high?
[WEB | EN | OT | Job | Chapter 31 | Verse 3] Is it not calamity to the unrighteous, and disaster to the workers of iniquity?
[WEB | EN | OT | Job | Chapter 31 | Verse 4] Doesn’t he see my ways, and count all my steps?
[WEB | EN | OT | Job | Chapter 31 | Verse 5] “If I have walked with falsehood, and my foot has hurried to deceit
[WEB | EN | OT | Job | Chapter 31 | Verse 6] (let me be weighed in an even balance, that God may know my integrity);
[WEB | EN | OT | Job | Chapter 31 | Verse 7] if my step has turned out of the way, if my heart walked after my eyes, if any defilement has stuck to my hands,
[WEB | EN | OT | Job | Chapter 31 | Verse 8] then let me sow, and let another eat. Yes, let the produce of my field be rooted out.
[WEB | EN | OT | Job | Chapter 31 | Verse 9] “If my heart has been enticed to a woman, and I have laid wait at my neighbor’s door,
[WEB | EN | OT | Job | Chapter 31 | Verse 10] then let my wife grind for another, and let others sleep with her.
[WEB | EN | OT | Job | Chapter 31 | Verse 11] For that would be a heinous crime. Yes, it would be an iniquity to be punished by the judges,
[WEB | EN | OT | Job | Chapter 31 | Verse 12] for it is a fire that consumes to destruction, and would root out all my increase.
[WEB | EN | OT | Job | Chapter 31 | Verse 13] “If I have despised the cause of my male servant or of my female servant, when they contended with me,
[WEB | EN | OT | Job | Chapter 31 | Verse 14] what then will I do when God rises up? When he visits, what will I answer him?
[WEB | EN | OT | Job | Chapter 31 | Verse 15] Didn’t he who made me in the womb make him? Didn’t one fashion us in the womb?
[WEB | EN | OT | Job | Chapter 31 | Verse 16] “If I have withheld the poor from their desire, or have caused the eyes of the widow to fail,
[WEB | EN | OT | Job | Chapter 31 | Verse 17] or have eaten my morsel alone, and the fatherless has not eaten of it
[WEB | EN | OT | Job | Chapter 31 | Verse 18] (no, from my youth he grew up with me as with a father, I have guided her from my mother’s womb);
[WEB | EN | OT | Job | Chapter 31 | Verse 19] if I have seen any perish for want of clothing, or that the needy had no covering;
[WEB | EN | OT | Job | Chapter 31 | Verse 20] if his heart hasn’t blessed me, if he hasn’t been warmed with my sheep’s fleece;
[WEB | EN | OT | Job | Chapter 31 | Verse 21] if I have lifted up my hand against the fatherless, because I saw my help in the gate;
[WEB | EN | OT | Job | Chapter 31 | Verse 22] then let my shoulder fall from the shoulder blade, and my arm be broken from the bone.
[WEB | EN | OT | Job | Chapter 31 | Verse 23] For calamity from God is a terror to me. Because of his majesty, I can do nothing.
[WEB | EN | OT | Job | Chapter 31 | Verse 24] “If I have made gold my hope, and have said to the fine gold, ‘You are my confidence;’
[WEB | EN | OT | Job | Chapter 31 | Verse 25] If I have rejoiced because my wealth was great, and because my hand had gotten much;
[WEB | EN | OT | Job | Chapter 31 | Verse 26] if I have seen the sun when it shined, or the moon moving in splendor,
[WEB | EN | OT | Job | Chapter 31 | Verse 27] and my heart has been secretly enticed, and my hand threw a kiss from my mouth;
[WEB | EN | OT | Job | Chapter 31 | Verse 28] this also would be an iniquity to be punished by the judges, for I would have denied the God who is above.
[WEB | EN | OT | Job | Chapter 31 | Verse 29] “If I have rejoiced at the destruction of him who hated me, or lifted up myself when evil found him
[WEB | EN | OT | Job | Chapter 31 | Verse 30] (I have certainly not allowed my mouth to sin by asking his life with a curse);
[WEB | EN | OT | Job | Chapter 31 | Verse 31] if the men of my tent have not said, ‘Who can find one who has not been filled with his meat?’
[WEB | EN | OT | Job | Chapter 31 | Verse 32] (the foreigner has not camped in the street, but I have opened my doors to the traveler);
[WEB | EN | OT | Job | Chapter 31 | Verse 33] if like Adam I have covered my transgressions, by hiding my iniquity in my heart,
[WEB | EN | OT | Job | Chapter 31 | Verse 34] because I feared the great multitude, and the contempt of families terrified me, so that I kept silence, and didn’t go out of the door—
[WEB | EN | OT | Job | Chapter 31 | Verse 35] oh that I had one to hear me! Behold, here is my signature! Let the Almighty answer me! Let the accuser write my indictment!
[WEB | EN | OT | Job | Chapter 31 | Verse 36] Surely I would carry it on my shoulder, and I would bind it to me as a crown.
[WEB | EN | OT | Job | Chapter 31 | Verse 37] I would declare to him the number of my steps. I would go near to him like a prince.
[WEB | EN | OT | Job | Chapter 31 | Verse 38] If my land cries out against me, and its furrows weep together;
[WEB | EN | OT | Job | Chapter 31 | Verse 39] if I have eaten its fruits without money, or have caused its owners to lose their life,
[WEB | EN | OT | Job | Chapter 31 | Verse 40] let briers grow instead of wheat, and stinkweed instead of barley.” The words of Job are ended.
