[WEB | EN | OT | Job | Chapter 37 | Verse 1] “Yes, at this my heart trembles, and is moved out of its place.
[WEB | EN | OT | Job | Chapter 37 | Verse 2] Hear, oh, hear the noise of his voice, the sound that goes out of his mouth.
[WEB | EN | OT | Job | Chapter 37 | Verse 3] He sends it out under the whole sky, and his lightning to the ends of the earth.
[WEB | EN | OT | Job | Chapter 37 | Verse 4] After it a voice roars. He thunders with the voice of his majesty. He doesn’t hold back anything when his voice is heard.
[WEB | EN | OT | Job | Chapter 37 | Verse 5] God thunders marvelously with his voice. He does great things, which we can’t comprehend.
[WEB | EN | OT | Job | Chapter 37 | Verse 6] For he says to the snow, ‘Fall on the earth,’ likewise to the shower of rain, and to the showers of his mighty rain.
[WEB | EN | OT | Job | Chapter 37 | Verse 7] He seals up the hand of every man, that all men whom he has made may know it.
[WEB | EN | OT | Job | Chapter 37 | Verse 8] Then the animals take cover, and remain in their dens.
[WEB | EN | OT | Job | Chapter 37 | Verse 9] Out of its room comes the storm, and cold out of the north.
[WEB | EN | OT | Job | Chapter 37 | Verse 10] By the breath of God, ice is given, and the width of the waters is frozen.
[WEB | EN | OT | Job | Chapter 37 | Verse 11] Yes, he loads the thick cloud with moisture. He spreads abroad the cloud of his lightning.
[WEB | EN | OT | Job | Chapter 37 | Verse 12] It is turned around by his guidance, that they may do whatever he commands them on the surface of the habitable world,
[WEB | EN | OT | Job | Chapter 37 | Verse 13] whether it is for correction, or for his land, or for loving kindness, that he causes it to come.
[WEB | EN | OT | Job | Chapter 37 | Verse 14] “Listen to this, Job. Stand still, and consider the wondrous works of God.
[WEB | EN | OT | Job | Chapter 37 | Verse 15] Do you know how God controls them, and causes the lightning of his cloud to shine?
[WEB | EN | OT | Job | Chapter 37 | Verse 16] Do you know the workings of the clouds, the wondrous works of him who is perfect in knowledge?
[WEB | EN | OT | Job | Chapter 37 | Verse 17] You whose clothing is warm when the earth is still by reason of the south wind?
[WEB | EN | OT | Job | Chapter 37 | Verse 18] Can you, with him, spread out the sky, which is strong as a cast metal mirror?
[WEB | EN | OT | Job | Chapter 37 | Verse 19] Teach us what we will tell him, for we can’t make our case by reason of darkness.
[WEB | EN | OT | Job | Chapter 37 | Verse 20] Will it be told him that I would speak? Or should a man wish that he were swallowed up?
[WEB | EN | OT | Job | Chapter 37 | Verse 21] Now men don’t see the light which is bright in the skies, but the wind passes, and clears them.
[WEB | EN | OT | Job | Chapter 37 | Verse 22] Out of the north comes golden splendor. With God is awesome majesty.
[WEB | EN | OT | Job | Chapter 37 | Verse 23] We can’t reach the Almighty. He is exalted in power. In justice and great righteousness, he will not oppress.
[WEB | EN | OT | Job | Chapter 37 | Verse 24] Therefore men revere him. He doesn’t regard any who are wise of heart.”
