[WEB | EN | OT | Job | Chapter 17 | Verse 1] “My spirit is consumed. My days are extinct and the grave is ready for me.
[WEB | EN | OT | Job | Chapter 17 | Verse 2] Surely there are mockers with me. My eye dwells on their provocation.
[WEB | EN | OT | Job | Chapter 17 | Verse 3] “Now give a pledge. Be collateral for me with yourself. Who is there who will strike hands with me?
[WEB | EN | OT | Job | Chapter 17 | Verse 4] For you have hidden their heart from understanding, therefore you will not exalt them.
[WEB | EN | OT | Job | Chapter 17 | Verse 5] He who denounces his friends for plunder, even the eyes of his children will fail.
[WEB | EN | OT | Job | Chapter 17 | Verse 6] “But he has made me a byword of the people. They spit in my face.
[WEB | EN | OT | Job | Chapter 17 | Verse 7] My eye also is dim by reason of sorrow. All my members are as a shadow.
[WEB | EN | OT | Job | Chapter 17 | Verse 8] Upright men will be astonished at this. The innocent will stir himself up against the godless.
[WEB | EN | OT | Job | Chapter 17 | Verse 9] Yet the righteous will hold to his way. He who has clean hands will grow stronger and stronger.
[WEB | EN | OT | Job | Chapter 17 | Verse 10] But as for you all, come back. I will not find a wise man among you.
[WEB | EN | OT | Job | Chapter 17 | Verse 11] My days are past. My plans are broken off, as are the thoughts of my heart.
[WEB | EN | OT | Job | Chapter 17 | Verse 12] They change the night into day, saying ‘The light is near’ in the presence of darkness.
[WEB | EN | OT | Job | Chapter 17 | Verse 13] If I look for Sheol as my house, if I have spread my couch in the darkness,
[WEB | EN | OT | Job | Chapter 17 | Verse 14] if I have said to corruption, ‘You are my father,’ and to the worm, ‘My mother,’ and ‘My sister,’
[WEB | EN | OT | Job | Chapter 17 | Verse 15] where then is my hope? As for my hope, who will see it?
[WEB | EN | OT | Job | Chapter 17 | Verse 16] Shall it go down with me to the gates of Sheol, or descend together into the dust?”
