[WEB | EN | OT | Job | Chapter 13 | Verse 1] “Behold, my eye has seen all this. My ear has heard and understood it.
[WEB | EN | OT | Job | Chapter 13 | Verse 2] What you know, I know also. I am not inferior to you.
[WEB | EN | OT | Job | Chapter 13 | Verse 3] “Surely I would speak to the Almighty. I desire to reason with God.
[WEB | EN | OT | Job | Chapter 13 | Verse 4] But you are forgers of lies. You are all physicians of no value.
[WEB | EN | OT | Job | Chapter 13 | Verse 5] Oh that you would be completely silent! Then you would be wise.
[WEB | EN | OT | Job | Chapter 13 | Verse 6] Hear now my reasoning. Listen to the pleadings of my lips.
[WEB | EN | OT | Job | Chapter 13 | Verse 7] Will you speak unrighteously for God, and talk deceitfully for him?
[WEB | EN | OT | Job | Chapter 13 | Verse 8] Will you show partiality to him? Will you contend for God?
[WEB | EN | OT | Job | Chapter 13 | Verse 9] Is it good that he should search you out? Or as one deceives a man, will you deceive him?
[WEB | EN | OT | Job | Chapter 13 | Verse 10] He will surely reprove you if you secretly show partiality.
[WEB | EN | OT | Job | Chapter 13 | Verse 11] Won’t his majesty make you afraid and his dread fall on you?
[WEB | EN | OT | Job | Chapter 13 | Verse 12] Your memorable sayings are proverbs of ashes. Your defenses are defenses of clay.
[WEB | EN | OT | Job | Chapter 13 | Verse 13] “Be silent! Leave me alone, that I may speak. Let come on me what will.
[WEB | EN | OT | Job | Chapter 13 | Verse 14] Why should I take my flesh in my teeth, and put my life in my hand?
[WEB | EN | OT | Job | Chapter 13 | Verse 15] Behold, he will kill me. I have no hope. Nevertheless, I will maintain my ways before him.
[WEB | EN | OT | Job | Chapter 13 | Verse 16] This also will be my salvation, that a godless man will not come before him.
[WEB | EN | OT | Job | Chapter 13 | Verse 17] Listen carefully to my speech. Let my declaration be in your ears.
[WEB | EN | OT | Job | Chapter 13 | Verse 18] See now, I have set my cause in order. I know that I am righteous.
[WEB | EN | OT | Job | Chapter 13 | Verse 19] Who is he who will contend with me? For then would I hold my peace and give up the spirit.
[WEB | EN | OT | Job | Chapter 13 | Verse 20] “Only don’t do two things to me, then I will not hide myself from your face:
[WEB | EN | OT | Job | Chapter 13 | Verse 21] withdraw your hand far from me, and don’t let your terror make me afraid.
[WEB | EN | OT | Job | Chapter 13 | Verse 22] Then call, and I will answer, or let me speak, and you answer me.
[WEB | EN | OT | Job | Chapter 13 | Verse 23] How many are my iniquities and sins? Make me know my disobedience and my sin.
[WEB | EN | OT | Job | Chapter 13 | Verse 24] Why do you hide your face, and consider me your enemy?
[WEB | EN | OT | Job | Chapter 13 | Verse 25] Will you harass a driven leaf? Will you pursue the dry stubble?
[WEB | EN | OT | Job | Chapter 13 | Verse 26] For you write bitter things against me, and make me inherit the iniquities of my youth.
[WEB | EN | OT | Job | Chapter 13 | Verse 27] You also put my feet in the stocks, and mark all my paths. You set a bound to the soles of my feet,
[WEB | EN | OT | Job | Chapter 13 | Verse 28] though I am decaying like a rotten thing, like a garment that is moth-eaten.
