[WEB | EN | OT | Job | Chapter 3 | Verse 1] After this Job opened his mouth, and cursed the day of his birth.
[WEB | EN | OT | Job | Chapter 3 | Verse 2] Job answered:
[WEB | EN | OT | Job | Chapter 3 | Verse 3] “Let the day perish in which I was born, the night which said, ‘There is a boy conceived.’
[WEB | EN | OT | Job | Chapter 3 | Verse 4] Let that day be darkness. Don’t let God from above seek for it, neither let the light shine on it.
[WEB | EN | OT | Job | Chapter 3 | Verse 5] Let darkness and the shadow of death claim it for their own. Let a cloud dwell on it. Let all that makes the day black terrify it.
[WEB | EN | OT | Job | Chapter 3 | Verse 6] As for that night, let thick darkness seize on it. Let it not rejoice among the days of the year. Let it not come into the number of the months.
[WEB | EN | OT | Job | Chapter 3 | Verse 7] Behold, let that night be barren. Let no joyful voice come therein.
[WEB | EN | OT | Job | Chapter 3 | Verse 8] Let them curse it who curse the day, who are ready to rouse up leviathan.
[WEB | EN | OT | Job | Chapter 3 | Verse 9] Let the stars of its twilight be dark. Let it look for light, but have none, neither let it see the eyelids of the morning,
[WEB | EN | OT | Job | Chapter 3 | Verse 10] because it didn’t shut up the doors of my mother’s womb, nor did it hide trouble from my eyes.
[WEB | EN | OT | Job | Chapter 3 | Verse 11] “Why didn’t I die from the womb? Why didn’t I give up the spirit when my mother bore me?
[WEB | EN | OT | Job | Chapter 3 | Verse 12] Why did the knees receive me? Or why the breast, that I should nurse?
[WEB | EN | OT | Job | Chapter 3 | Verse 13] For now I should have lain down and been quiet. I should have slept, then I would have been at rest,
[WEB | EN | OT | Job | Chapter 3 | Verse 14] with kings and counselors of the earth, who built up waste places for themselves;
[WEB | EN | OT | Job | Chapter 3 | Verse 15] or with princes who had gold, who filled their houses with silver;
[WEB | EN | OT | Job | Chapter 3 | Verse 16] or as a hidden untimely birth I had not been, as infants who never saw light.
[WEB | EN | OT | Job | Chapter 3 | Verse 17] There the wicked cease from troubling. There the weary are at rest.
[WEB | EN | OT | Job | Chapter 3 | Verse 18] There the prisoners are at ease together. They don’t hear the voice of the taskmaster.
[WEB | EN | OT | Job | Chapter 3 | Verse 19] The small and the great are there. The servant is free from his master.
[WEB | EN | OT | Job | Chapter 3 | Verse 20] “Why is light given to him who is in misery, life to the bitter in soul,
[WEB | EN | OT | Job | Chapter 3 | Verse 21] who long for death, but it doesn’t come; and dig for it more than for hidden treasures,
[WEB | EN | OT | Job | Chapter 3 | Verse 22] who rejoice exceedingly, and are glad, when they can find the grave?
[WEB | EN | OT | Job | Chapter 3 | Verse 23] Why is light given to a man whose way is hidden, whom God has hedged in?
[WEB | EN | OT | Job | Chapter 3 | Verse 24] For my sighing comes before I eat. My groanings are poured out like water.
[WEB | EN | OT | Job | Chapter 3 | Verse 25] For the thing which I fear comes on me, that which I am afraid of comes to me.
[WEB | EN | OT | Job | Chapter 3 | Verse 26] I am not at ease, neither am I quiet, neither do I have rest; but trouble comes.”
