[WEB | EN | OT | Job | Chapter 5 | Verse 1] “Call now; is there any who will answer you? To which of the holy ones will you turn?
[WEB | EN | OT | Job | Chapter 5 | Verse 2] For resentment kills the foolish man, and jealousy kills the simple.
[WEB | EN | OT | Job | Chapter 5 | Verse 3] I have seen the foolish taking root, but suddenly I cursed his habitation.
[WEB | EN | OT | Job | Chapter 5 | Verse 4] His children are far from safety. They are crushed in the gate. Neither is there any to deliver them,
[WEB | EN | OT | Job | Chapter 5 | Verse 5] whose harvest the hungry eat up, and take it even out of the thorns. The snare gapes for their substance.
[WEB | EN | OT | Job | Chapter 5 | Verse 6] For affliction doesn’t come out of the dust, neither does trouble spring out of the ground;
[WEB | EN | OT | Job | Chapter 5 | Verse 7] but man is born to trouble, as the sparks fly upward.
[WEB | EN | OT | Job | Chapter 5 | Verse 8] “But as for me, I would seek God. I would commit my cause to God,
[WEB | EN | OT | Job | Chapter 5 | Verse 9] who does great things that can’t be fathomed, marvelous things without number;
[WEB | EN | OT | Job | Chapter 5 | Verse 10] who gives rain on the earth, and sends waters on the fields;
[WEB | EN | OT | Job | Chapter 5 | Verse 11] so that he sets up on high those who are low, those who mourn are exalted to safety.
[WEB | EN | OT | Job | Chapter 5 | Verse 12] He frustrates the plans of the crafty, so that their hands can’t perform their enterprise.
[WEB | EN | OT | Job | Chapter 5 | Verse 13] He takes the wise in their own craftiness; the counsel of the cunning is carried headlong.
[WEB | EN | OT | Job | Chapter 5 | Verse 14] They meet with darkness in the day time, and grope at noonday as in the night.
[WEB | EN | OT | Job | Chapter 5 | Verse 15] But he saves from the sword of their mouth, even the needy from the hand of the mighty.
[WEB | EN | OT | Job | Chapter 5 | Verse 16] So the poor has hope, and injustice shuts her mouth.
[WEB | EN | OT | Job | Chapter 5 | Verse 17] “Behold, happy is the man whom God corrects. Therefore do not despise the chastening of the Almighty.
[WEB | EN | OT | Job | Chapter 5 | Verse 18] For he wounds and binds up. He injures and his hands make whole.
[WEB | EN | OT | Job | Chapter 5 | Verse 19] He will deliver you in six troubles; yes, in seven no evil will touch you.
[WEB | EN | OT | Job | Chapter 5 | Verse 20] In famine he will redeem you from death; in war, from the power of the sword.
[WEB | EN | OT | Job | Chapter 5 | Verse 21] You will be hidden from the scourge of the tongue, neither will you be afraid of destruction when it comes.
[WEB | EN | OT | Job | Chapter 5 | Verse 22] You will laugh at destruction and famine, neither will you be afraid of the animals of the earth.
[WEB | EN | OT | Job | Chapter 5 | Verse 23] For you will be allied with the stones of the field. The animals of the field will be at peace with you.
[WEB | EN | OT | Job | Chapter 5 | Verse 24] You will know that your tent is in peace. You will visit your fold, and will miss nothing.
[WEB | EN | OT | Job | Chapter 5 | Verse 25] You will know also that your offspring will be great, your offspring as the grass of the earth.
[WEB | EN | OT | Job | Chapter 5 | Verse 26] You will come to your grave in a full age, like a shock of grain comes in its season.
[WEB | EN | OT | Job | Chapter 5 | Verse 27] Behold, we have researched it. It is so. Hear it, and know it for your good.”
