[WEB | EN | OT | Job | Chapter 40 | Verse 1] Moreover the LORD answered Job,
[WEB | EN | OT | Job | Chapter 40 | Verse 2] “Shall he who argues contend with the Almighty? He who argues with God, let him answer it.”
[WEB | EN | OT | Job | Chapter 40 | Verse 3] Then Job answered the LORD,
[WEB | EN | OT | Job | Chapter 40 | Verse 4] “Behold, I am of small account. What will I answer you? I lay my hand on my mouth.
[WEB | EN | OT | Job | Chapter 40 | Verse 5] I have spoken once, and I will not answer; Yes, twice, but I will proceed no further.”
[WEB | EN | OT | Job | Chapter 40 | Verse 6] Then the LORD answered Job out of the whirlwind:
[WEB | EN | OT | Job | Chapter 40 | Verse 7] “Now brace yourself like a man. I will question you, and you will answer me.
[WEB | EN | OT | Job | Chapter 40 | Verse 8] Will you even annul my judgment? Will you condemn me, that you may be justified?
[WEB | EN | OT | Job | Chapter 40 | Verse 9] Or do you have an arm like God? Can you thunder with a voice like him?
[WEB | EN | OT | Job | Chapter 40 | Verse 10] “Now deck yourself with excellency and dignity. Array yourself with honor and majesty.
[WEB | EN | OT | Job | Chapter 40 | Verse 11] Pour out the fury of your anger. Look at everyone who is proud, and bring him low.
[WEB | EN | OT | Job | Chapter 40 | Verse 12] Look at everyone who is proud, and humble him. Crush the wicked in their place.
[WEB | EN | OT | Job | Chapter 40 | Verse 13] Hide them in the dust together. Bind their faces in the hidden place.
[WEB | EN | OT | Job | Chapter 40 | Verse 14] Then I will also admit to you that your own right hand can save you.
[WEB | EN | OT | Job | Chapter 40 | Verse 15] “See now behemoth, which I made as well as you. He eats grass as an ox.
[WEB | EN | OT | Job | Chapter 40 | Verse 16] Look now, his strength is in his thighs. His force is in the muscles of his belly.
[WEB | EN | OT | Job | Chapter 40 | Verse 17] He moves his tail like a cedar. The sinews of his thighs are knit together.
[WEB | EN | OT | Job | Chapter 40 | Verse 18] His bones are like tubes of bronze. His limbs are like bars of iron.
[WEB | EN | OT | Job | Chapter 40 | Verse 19] He is the chief of the ways of God. He who made him gives him his sword.
[WEB | EN | OT | Job | Chapter 40 | Verse 20] Surely the mountains produce food for him, where all the animals of the field play.
[WEB | EN | OT | Job | Chapter 40 | Verse 21] He lies under the lotus trees, in the covert of the reed, and the marsh.
[WEB | EN | OT | Job | Chapter 40 | Verse 22] The lotuses cover him with their shade. The willows of the brook surround him.
[WEB | EN | OT | Job | Chapter 40 | Verse 23] Behold, if a river overflows, he doesn’t tremble. He is confident, though the Jordan swells even to his mouth.
[WEB | EN | OT | Job | Chapter 40 | Verse 24] Shall any take him when he is on the watch, or pierce through his nose with a snare?
