[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 1] In the hundred and sixtieth year Alexander, the son of Antiochus, surnamed Epiphanes, went up and took Ptolemais: for the people had received him, by means whereof he reigned there.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 2] Now when king Demetrius heard thereof, he gathered together an exceeding great host, and went forth against him to fight.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 3] Moreover Demetrius sent letters unto Jonathan with loving words, so as he magnified him.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 4] For said he, Let us first make peace with him, before he join with Alexander against us:
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 5] else he will remember all the evils that we have done against him, and against his brethren and his people.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 6] Wherefore he gave him authority to gather together a host, and to provide weapons, that he might aid him in battle: he commanded also that the hostages that were in the tower should be delivered him.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 7] Then came Jonathan to Jerusalem, and read the letters in the audience of all the people, and of them that were in the tower:
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 8] who were sore afraid, when they heard that the king had given him authority to gather together a host.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 9] Whereupon they of the tower delivered their hostages unto Jonathan, and he delivered them unto their parents.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 10] This done, Jonathan settled himself in Jerusalem, and began to build and repair the city.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 11] And he commanded the workmen to build the walls and the mount Sion round about with square stones for fortification; and they did so.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 12] Then the strangers that were in the fortresses which Bacchides had built, fled away;
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 13] insomuch as every man left his place, and went into his own country.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 14] Only at Bethsura certain of those that had forsaken the law and the commandments remained still: for it was their place of refuge.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 15] Now when king Alexander had heard what promises Demetrius had sent unto Jonathan: when also it was told him of the battles and noble acts which he and his brethren had done, and of the pains that they had endured,
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 16] he said, Shall we find such another man? now therefore we will make him our friend and confederate.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 17] Upon this he wrote a letter, and sent it unto him, according to these words, saying,
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 18] King Alexander to his brother Jonathan sendeth greeting:
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 19] we have heard of thee, that thou art a man of great power, and meet to be our friend.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 20] Wherefore now this day we ordain thee to be the high priest of thy nation, and to be called the king’s friend; (and therewithal he sent him a purple robe and a crown of gold:) and require thee to take our part, and keep friendship with us.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 21] So in the seventh month of the hundred and sixtieth year, at the feast of the tabernacles, Jonathan put on the holy robe, and gathered together forces, and provided much armour.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 22] Whereof when Demetrius heard, he was very sorry, and said,
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 23] What have we done, that Alexander hath prevented us in making amity with the Jews to strengthen himself?
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 24] I also will write unto them words of encouragement, and promise them dignities and gifts, that I may have their aid.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 25] He sent unto them therefore to this effect: King Demetrius unto the people of the Jews sendeth greeting:
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 26] whereas you have kept covenants with us, and continued in our friendship, not joining yourselves with our enemies, we have heard hereof, and are glad.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 27] Wherefore now continue ye still to be faithful unto us, and we will well recompense you for the things you do in our behalf,
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 28] and will grant you many immunities, and give you rewards.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 29] And now I do free you, and for your sake I release all the Jews, from tributes, and from the customs of salt, and from crown taxes,
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 30] and from that which appertaineth unto me to receive for the third part of the seed, and the half of the fruit of the trees, I release it from this day forth, so that they shall not be taken of the land of Judea, nor of the three governments which are added thereunto out of the country of Samaria and Galilee, from this day forth for evermore.
[KJV | EN | OT | 1 Maccabees | Chapter 10 | Verse 31] Let Jerusalem also be holy and free, with the borders thereof, both from tenths and tributes.
