[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 1] For we have known that if our earthly house of the tabernacle may be thrown down, a building from God we have, an house not made with hands — age-during — in the heavens,
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 2] for also in this we groan, with our dwelling that is from heaven earnestly desiring to clothe ourselves,
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 3] if so be that, having clothed ourselves, we shall not be found naked,
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 4] for we also who are in the tabernacle do groan, being burdened, seeing we wish not to unclothe ourselves, but to clothe ourselves, that the mortal may be swallowed up of the life.
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 5] And He who did work us to this self-same thing [is] God, who also did give to us the earnest of the Spirit;
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 6] having courage, then, at all times, and knowing that being at home in the body, we are away from home from the Lord, —
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 7] for through faith we walk, not through sight —
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 8] we have courage, and are well pleased rather to be away from the home of the body, and to be at home with the Lord.
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 9] Wherefore also we are ambitious, whether at home or away from home, to be well pleasing to him,
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 10] for all of us it behoveth to be manifested before the tribunal of the Christ, that each one may receive the things [done] through the body, in reference to the things that he did, whether good or evil;
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 11] having known, therefore, the fear of the Lord, we persuade men, and to God we are manifested, and I hope also in your consciences to have been manifested;
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 12] for not again ourselves do we recommend to you, but we are giving occasion to you of glorifying in our behalf, that ye may have [something] in reference to those glorifying in face and not in heart;
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 13] for whether we were beside ourselves, [it was] to God; whether we be of sound mind — [it is] to you,
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 14] for the love of the Christ doth constrain us, having judged thus: that if one for all died, then the whole died,
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 15] and for all he died, that those living, no more to themselves may live, but to him who died for them, and was raised again.
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 16] So that we henceforth have known no one according to the flesh, and even if we have known Christ according to the flesh, yet now we know him no more;
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 17] so that if any one [is] in Christ — [he is] a new creature; the old things did pass away, lo, become new have the all things.
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 18] And the all things [are] of God, who reconciled us to Himself through Jesus Christ, and did give to us the ministration of the reconciliation,
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 19] how that God was in Christ — a world reconciling to Himself, not reckoning to them their trespasses; and having put in us the word of the reconciliation,
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 20] in behalf of Christ, then, we are ambassadors, as if God were calling through us, we beseech, in behalf of Christ, 'Be ye reconciled to God;'
[YLT | EN | NT | 2 Corinthians | Chapter 5 | Verse 21] for him who did not know sin, in our behalf He did make sin, that we may become the righteousness of God in him.
