[YLT | EN | NT | 2 Corinthians | Chapter 7 | Verse 1] Having, then, these promises, beloved, may we cleanse ourselves from every pollution of flesh and spirit, perfecting sanctification in the fear of God;
[YLT | EN | NT | 2 Corinthians | Chapter 7 | Verse 2] receive us; no one did we wrong; no one did we waste; no one did we defraud;
[YLT | EN | NT | 2 Corinthians | Chapter 7 | Verse 3] not to condemn you do I say [it], for I have said before that in our hearts ye are to die with and to live with;
[YLT | EN | NT | 2 Corinthians | Chapter 7 | Verse 4] great [is] my freedom of speech unto you, great my glory on your behalf; I have been filled with the comfort, I overabound with the joy on all our tribulation,
[YLT | EN | NT | 2 Corinthians | Chapter 7 | Verse 5] for also we, having come to Macedonia, no relaxation hath our flesh had, but on every side we are in tribulation, without [are] fightings, within — fears;
[YLT | EN | NT | 2 Corinthians | Chapter 7 | Verse 6] but He who is comforting the cast-down — God — He did comfort us in the presence of Titus;
[YLT | EN | NT | 2 Corinthians | Chapter 7 | Verse 7] and not only in his presence, but also in the comfort with which he was comforted over you, declaring to us your longing desire, your lamentation, your zeal for me, so that the more I did rejoice,
[YLT | EN | NT | 2 Corinthians | Chapter 7 | Verse 8] because even if I made you sorry in the letter, I do not repent — if even I did repent — for I perceive that the letter, even if for an hour, did make you sorry.
[YLT | EN | NT | 2 Corinthians | Chapter 7 | Verse 9] I now do rejoice, not that ye were made sorry, but that ye were made sorry to reformation, for ye were made sorry toward God, that in nothing ye might receive damage from us;
[YLT | EN | NT | 2 Corinthians | Chapter 7 | Verse 10] for the sorrow toward God reformation to salvation not to be repented of doth work, and the sorrow of the world doth work death,
[YLT | EN | NT | 2 Corinthians | Chapter 7 | Verse 11] for, lo, this same thing — your being made sorry toward God — how much diligence it doth work in you! but defence, but displeasure, but fear, but longing desire, but zeal, but revenge; in every thing ye did approve yourselves to be pure in the matter.
[YLT | EN | NT | 2 Corinthians | Chapter 7 | Verse 12] If, then, I also wrote to you — not for his cause who did wrong, nor for his cause who did suffer wrong, but for our diligence in your behalf being manifested unto you before God —
[YLT | EN | NT | 2 Corinthians | Chapter 7 | Verse 13] because of this we have been comforted in your comfort, and more abundantly the more did we rejoice in the joy of Titus, that his spirit hath been refreshed from you all;
[YLT | EN | NT | 2 Corinthians | Chapter 7 | Verse 14] because if anything to him in your behalf I have boasted, I was not put to shame; but as all things in truth we did speak to you, so also our boasting before Titus became truth,
[YLT | EN | NT | 2 Corinthians | Chapter 7 | Verse 15] and his tender affection is more abundantly toward you, remembering the obedience of you all, how with fear and trembling ye did receive him;
[YLT | EN | NT | 2 Corinthians | Chapter 7 | Verse 16] I rejoice, therefore, that in everything I have courage in you.
