[VANDYKE | AR | OT | Leviticus | Chapter 11 | Verse 1] وَأَمَرَ الرَّبُّ مُوسَى وَهَرُونَ:
[VANDYKE | AR | OT | Leviticus | Chapter 11 | Verse 2] «أَوْصِيَا بَنِي إِسْرَائِيلَ: هَذِهِ هِيَ الْحَيَوَانَاتُ الَّتِي تَأْكُلُونَهَا مِنْ جَمِيعِ بَهَائِمِ الأَرْضِ:
[VANDYKE | AR | OT | Leviticus | Chapter 11 | Verse 3] تَأْكُلُونَ كُلَّ حَيَوَانٍ مَشْقُوقِ الظِّلْفِ وَمُجْتَرٍّ،
[VANDYKE | AR | OT | Leviticus | Chapter 11 | Verse 4] أَمَّا الْحَيَوَانَاتُ الْمُجْتَرَّةُ فَقَطْ، أَوِ الْمَشْقُوقَةُ الظِّلْفِ فَقَطْ، فَلا تَأْكُلُوا مِنْهَا، فَالْجَمَلُ غَيْرُ طَاهِرٍ لَكُمْ لأَنَّهُ مُجْتَرٌّ وَلَكِنَّهُ غَيْرُ مَشْقُوقِ الظِّلْفِ،
[VANDYKE | AR | OT | Leviticus | Chapter 11 | Verse 5] وَكَذَلِكَ الْوَبْرُ نَجِسٌ لَكُمْ لأَنَّهُ مُجْتَرٌّ وَلَكِنَّهُ غَيْرُ مَشْقُوقِ الظِّلْفِ،
[VANDYKE | AR | OT | Leviticus | Chapter 11 | Verse 6] أَمَّا الأَرْنَبُ فَإِنَّهُ مُجْتَرٌّ وَلَكِنَّهُ غَيْرُ مَشْقُوقِ الظِّلْفِ، لِذَلِكَ هُوَ نَجِسٌ لَكُمْ،
[VANDYKE | AR | OT | Leviticus | Chapter 11 | Verse 7] وَالْخِنْزِيرُ أَيْضاً نَجِسٌ لَكُمْ لأَنَّهُ مَشْقُوقُ الظِّلْفِ وَلَكِنَّهُ غَيْرُ مُجْتَرٍّ.
[VANDYKE | AR | OT | Leviticus | Chapter 11 | Verse 8] لَا تَأْكُلُوا مِنْ لَحْمِهَا وَلا تَلْمَسُوا جُثَثَهَا لأَنَّهَا نَجِسَةٌ لَكُمْ.
[VANDYKE | AR | OT | Leviticus | Chapter 11 | Verse 9] أَمَّا مَا يَعِيشُ فِي الْمَاءِ فَتَأْكُلُونَ مِنْهُ كُلَّ مَالَهُ زَعَانِفُ وَقُشُورٌ، سَوَاءٌ كَانَ يَعِيشُ فِي الْبِحَارِ أَمِ الأَنْهَارِ، فَهَذِهِ تَأْكُلُونَهَا.
[VANDYKE | AR | OT | Leviticus | Chapter 11 | Verse 10] وَلَكِنْ إِيَّاكُمْ أَنْ تَأْكُلُوا الْحَيَوَانَاتِ الْمَائِيَّةَ الَّتِي لَيْسَ لَهَا زَعَانِفُ أَوْ قُشُورٌ، سَوَاءٌ كَانَتْ تَعِيشُ فِي الأَنْهَارِ أَوِ الْبِحَارِ، أَوِ الزَّوَاحِفَ فِي الْمِيَاهِ، أَوْ كُلَّ نَفْسٍ حَيَّةٍ فِيهَا، فَهَذِهِ كُلُّهَا مَحْظُورَةٌ عَلَيْكُمْ.
[VANDYKE | AR | OT | Leviticus | Chapter 11 | Verse 11] فَلا تَأْكُلُوا مِنْ لَحْمِهَا وَامْقُتُوا جُثَثَهَا.
