[VANDYKE | AR | OT | Leviticus | Chapter 3 | Verse 1] «وَإِنْ كَانَ قُرْبَانُهُ ذَبِيحَةَ سَلَامَةٍ، فَإِنْ قَرَّبَ مِنَ ٱلْبَقَرِ ذَكَرًا أَوْ أُنْثَى، فَصَحِيحًا يُقَرِّبُهُ أَمَامَ ٱلرَّبِّ.
[VANDYKE | AR | OT | Leviticus | Chapter 3 | Verse 2] يَضَعُ يَدَهُ عَلَى رَأْسِ قُرْبَانِهِ وَيَذْبَحُهُ لَدَى بَابِ خَيْمَةِ ٱلِٱجْتِمَاعِ، وَيَرُشُّ بَنُو هَارُونَ ٱلْكَهَنَةُ ٱلدَّمَ عَلَى ٱلْمَذْبَحِ مُسْتَدِيرًا.
[VANDYKE | AR | OT | Leviticus | Chapter 3 | Verse 3] وَيُقَرِّبُ مِنْ ذَبِيحَةِ ٱلسَّلَامَةِ وَقُودًا لِلرَّبِّ: ٱلشَّحْمَ ٱلَّذِي يُغَشِّي ٱلْأَحْشَاءَ، وَسَائِرَ ٱلشَّحْمِ ٱلَّذِي عَلَى ٱلْأَحْشَاءِ،
[VANDYKE | AR | OT | Leviticus | Chapter 3 | Verse 4] وَٱلْكُلْيَتَيْنِ، وَٱلشَّحْمَ ٱلَّذِي عَلَيْهِمَا ٱلَّذِي عَلَى ٱلْخَاصِرَتَيْنِ، وَزِيَادَةَ ٱلْكَبِدِ مَعَ ٱلْكُلْيَتَيْنِ يَنْزِعُهَا.
[VANDYKE | AR | OT | Leviticus | Chapter 3 | Verse 5] وَيُوقِدُهَا بَنُو هَارُونَ عَلَى ٱلْمَذْبَحِ عَلَى ٱلْمُحْرَقَةِ ٱلَّتِي فَوْقَ ٱلْحَطَبِ ٱلَّذِي عَلَى ٱلنَّارِ، وَقُودَ رَائِحَةِ سَرُورٍ لِلرَّبِّ.
[VANDYKE | AR | OT | Leviticus | Chapter 3 | Verse 6] «وَإِنْ كَانَ قُرْبَانُهُ مِنَ ٱلْغَنَمِ ذَبِيحَةَ سَلَامَةٍ لِلرَّبِّ ذَكَرًا أَوْ أُنْثَى، فَصَحِيحًا يُقَرِّبُهُ.
[VANDYKE | AR | OT | Leviticus | Chapter 3 | Verse 7] إِنْ قَرَّبَ قُرْبَانَهُ مِنَ ٱلضَّأْنِ يُقَدِّمُهُ أَمَامَ ٱلرَّبِّ.
[VANDYKE | AR | OT | Leviticus | Chapter 3 | Verse 8] يَضَعُ يَدَهُ عَلَى رَأْسِ قُرْبَانِهِ وَيَذْبَحُهُ قُدَّامَ خَيْمَةِ ٱلِٱجْتِمَاعِ. وَيَرُشُّ بَنُو هَارُونَ دَمَهُ عَلَى ٱلْمَذْبَحِ مُسْتَدِيرًا.
[VANDYKE | AR | OT | Leviticus | Chapter 3 | Verse 9] وَيُقَرِّبُ مِنْ ذَبِيحَةِ ٱلسَّلَامَةِ شَحْمَهَا وَقُودًا لِلرَّبِّ: ٱلْأَلْيَةَ صَحِيحَةً مِنْ عِنْدِ ٱلْعُصْعُصِ يَنْزِعُهَا، وَٱلشَّحْمَ ٱلَّذِي يُغَشِّي ٱلْأَحْشَاءَ، وَسَائِرَ ٱلشَّحْمِ ٱلَّذِي عَلَى ٱلْأَحْشَاءِ،
[VANDYKE | AR | OT | Leviticus | Chapter 3 | Verse 10] وَٱلْكُلْيَتَيْنِ، وَٱلشَّحْمَ ٱلَّذِي عَلَيْهِمَا ٱلَّذِي عَلَى ٱلْخَاصِرَتَيْنِ، وَزِيَادَةَ ٱلْكَبِدِ مَعَ ٱلْكُلْيَتَيْنِ يَنْزِعُهَا.
[VANDYKE | AR | OT | Leviticus | Chapter 3 | Verse 11] وَيُوقِدُهَا ٱلْكَاهِنُ عَلَى ٱلْمَذْبَحِ طَعَامَ وَقُودٍ لِلرَّبِّ.
