[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 1] Woe to her that is rebellious and polluted, to the oppressing city!
[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 2] She obeyed not the voice; she received not correction; she trusted not in the LORD; she drew not near to her God.
[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 3] Her princes in the midst of her are roaring lions; her judges are evening wolves; they leave nothing till the morrow.
[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 4] Her prophets are light and treacherous persons: her priests have profaned the sanctuary, they have done violence to the law.
[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 5] The LORD in the midst of her is righteous; he will not do iniquity; every morning doth he bring his judgment to light, he faileth not; but the unjust knoweth no shame.
[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 6] I have cut off nations, their battlements are desolate; I have made their streets waste, that none passeth by: their cities are destroyed, so that there is no man, that there is none inhabitant.
[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 7] I said, Surely thou wilt fear me, thou wilt receive correction; so her dwelling should not be cut off, according to all that I have appointed concerning her: but they rose early and corrupted all their doings.
[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 8] Therefore wait ye for me, saith the LORD, until the day that I rise up to the prey: for my determination is to gather the nations, that I may assemble the kingdoms, to pour upon them mine indignation, even all my fierce anger; for all the earth shall be devoured with the fire of my jealousy.
[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 9] For then will I turn to the peoples a pure language, that they may all call upon the name of the LORD, to serve him with one consent.
[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 10] From beyond the rivers of Ethiopia my suppliants, even the daughter of my dispersed, shall bring mine offering.
[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 11] In that day shalt thou not be ashamed for all thy doings, wherein thou hast transgressed against me: for then I will take away out of the midst of thee thy proudly exulting ones, and thou shalt no more be haughty in my holy mountain.
[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 12] But I will leave in the midst of thee an afflicted and poor people, and they shall trust in the name of the LORD.
[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 13] The remnant of Israel shall not do iniquity, nor speak lies; neither shall a deceitful tongue be found in their mouth: for they shall feed and lie down, and none shall make them afraid.
[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 14] Sing, O daughter of Zion; shout, O Israel; be glad and rejoice with all the heart, O daughter of Jerusalem.
[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 15] The LORD hath taken away thy judgments, he hath cast out thine enemy: the king of Israel, even the LORD, is in the midst of thee: thou shalt not fear evil any more.
[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 16] In that day it shall be said to Jerusalem, Fear thou not: O Zion, let not thine hands be slack.
[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 17] The LORD thy God is in the midst of thee, a mighty one who will save: he will rejoice over thee with joy, he will rest in his love, he will joy over thee with singing.
[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 18] I will gather them that sorrow for the solemn assembly, who were of thee: to whom the burden upon her was a reproach.
[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 19] Behold, at that time I will deal with all them that afflict thee: and I will save her that halteth, and gather her that was driven away; and I will make them a praise and a name, whose shame hath been in all the earth.
[ERV | EN | OT | Zephaniah | Chapter 3 | Verse 20] At that time will I bring you in, and at that time will I gather you: for I will make you a name and a praise among all the peoples of the earth, when I bring again your captivity before your eyes, saith the LORD.
