[DRA | EN | NT | Acts | Chapter 21 | Verse 1] And when it came to pass that, being parted from them, we set sail, we came with a straight course to Coos, and the day following to Rhodes, and from thence to Patara.
[DRA | EN | NT | Acts | Chapter 21 | Verse 2] And when we had found a ship sailing over to Phenice, we went aboard, and set forth.
[DRA | EN | NT | Acts | Chapter 21 | Verse 3] And when we had discovered Cyprus, leaving it on the left hand, we sailed into Syria, and came to Tyre: for there the ship was to unlade her burden.
[DRA | EN | NT | Acts | Chapter 21 | Verse 4] And finding disciples, we tarried there seven days: who said to Paul through the Spirit, that he should not go up to Jerusalem.
[DRA | EN | NT | Acts | Chapter 21 | Verse 5] And the days being expired, departing we went forward, they all bringing us on our way, with their wives and children, till we were out of the city: and we kneeled down on the shore, and we prayed.
[DRA | EN | NT | Acts | Chapter 21 | Verse 6] And when we had bid one another farewell, we took ship; and they returned home.
[DRA | EN | NT | Acts | Chapter 21 | Verse 7] But we having finished the voyage by sea, from Tyre came down to Ptolemais: and saluting the brethren, we abode one day with them.
[DRA | EN | NT | Acts | Chapter 21 | Verse 8] And the next day departing, we came to Caesarea. And entering into the house of Philip the evangelist, who was one of the seven, we abode with him.
[DRA | EN | NT | Acts | Chapter 21 | Verse 9] And he had four daughters, virgins, who did prophesy.
[DRA | EN | NT | Acts | Chapter 21 | Verse 10] And as we tarried there for some days, there came from Judea a certain prophet, named Agabus.
[DRA | EN | NT | Acts | Chapter 21 | Verse 11] Who, when he was come to us, took Paul’s girdle: and binding his own feet and hands, he said: Thus saith the Holy Ghost: The man whose girdle this is, the Jews shall bind in this manner in Jerusalem, and shall deliver him into the hands of the Gentiles.
[DRA | EN | NT | Acts | Chapter 21 | Verse 12] Which when we had heard, both we and they that were of that place, desired him that he would not go up to Jerusalem.
[DRA | EN | NT | Acts | Chapter 21 | Verse 13] Then Paul answered, and said: What do you mean weeping and afflicting my heart? For I am ready not only to be bound, but to die also in Jerusalem, for the name of the Lord Jesus.
[DRA | EN | NT | Acts | Chapter 21 | Verse 14] And when we could not persuade him, we ceased, saying: The will of the Lord be done.
[DRA | EN | NT | Acts | Chapter 21 | Verse 15] And after those days, being prepared, we went up to Jerusalem.
[DRA | EN | NT | Acts | Chapter 21 | Verse 16] And there went also with us some of the disciples from Caesarea, bringing with them one Mnason a Cyprian, an old disciple, with whom we should lodge.
