[DRA | EN | NT | Acts | Chapter 8 | Verse 1] And at that time there was raised a great persecution against the church which was at Jerusalem; and they were all dispersed through the countries of Judea, and Samaria, except the apostles.
[DRA | EN | NT | Acts | Chapter 8 | Verse 2] And devout men took order for Stephen’s funeral, and made great mourning over him.
[DRA | EN | NT | Acts | Chapter 8 | Verse 3] But Saul made havock of the church, entering in from house to house, and dragging away men and women, committed them to prison.
[DRA | EN | NT | Acts | Chapter 8 | Verse 4] They therefore that were dispersed, went about preaching the word of God.
[DRA | EN | NT | Acts | Chapter 8 | Verse 5] And Philip going down to the city of Samaria, preached Christ unto them.
[DRA | EN | NT | Acts | Chapter 8 | Verse 6] And the people with one accord were attentive to those things which were said by Philip, hearing, and seeing the miracles which he did.
[DRA | EN | NT | Acts | Chapter 8 | Verse 7] For many of them who had unclean spirits, crying with a loud voice, went out.
[DRA | EN | NT | Acts | Chapter 8 | Verse 8] And many, taken with the palsy, and that were lame, were healed.
[DRA | EN | NT | Acts | Chapter 8 | Verse 9] There was therefore great joy in that city. Now there was a certain man named Simon, who before had been a magician in that city, seducing the people of Samaria, giving out that he was some great one:
[DRA | EN | NT | Acts | Chapter 8 | Verse 10] To whom they all gave ear, from the least to the greatest, saying: This man is the power of God, which is called great.
[DRA | EN | NT | Acts | Chapter 8 | Verse 11] And they were attentive to him, because, for a long time, he had bewitched them with his magical practices.
[DRA | EN | NT | Acts | Chapter 8 | Verse 12] But when they had believed Philip preaching of the kingdom of God, in the name of Jesus Christ, they were baptized, both men and women.
[DRA | EN | NT | Acts | Chapter 8 | Verse 13] Then Simon himself believed also; and being baptized, he adhered to Philip. And being astonished, wondered to see the signs and exceeding great miracles which were done.
[DRA | EN | NT | Acts | Chapter 8 | Verse 14] Now when the apostles, who were in Jerusalem, had heard that Samaria had received the word of God, they sent unto them Peter and John.
[DRA | EN | NT | Acts | Chapter 8 | Verse 15] Who, when they were come, prayed for them, that they might receive the Holy Ghost.
[DRA | EN | NT | Acts | Chapter 8 | Verse 16] For he was not as yet come upon any of them; but they were only baptized in the name of the Lord Jesus.
[DRA | EN | NT | Acts | Chapter 8 | Verse 17] Then they laid their hands upon them, and they received the Holy Ghost.
[DRA | EN | NT | Acts | Chapter 8 | Verse 18] And when Simon saw, that by the imposition of the hands of the apostles, the Holy Ghost was given, he offered them money,
[DRA | EN | NT | Acts | Chapter 8 | Verse 19] Saying: Give me also this power, that on whomsoever I shall lay my hands, he may receive the Holy Ghost. But Peter said to him:
[DRA | EN | NT | Acts | Chapter 8 | Verse 20] Keep thy money to thyself, to perish with thee, because thou hast thought that the gift of God may be purchased with money.
[DRA | EN | NT | Acts | Chapter 8 | Verse 21] Thou hast no part nor lot in this matter. For thy heart is not right in the sight of God.
[DRA | EN | NT | Acts | Chapter 8 | Verse 22] Do penance therefore for this thy wickedness; and pray to God, that perhaps this thought of thy heart may be forgiven thee.
[DRA | EN | NT | Acts | Chapter 8 | Verse 23] For I see thou art in the gall of bitterness, and in the bonds of iniquity.
[DRA | EN | NT | Acts | Chapter 8 | Verse 24] Then Simon answering, said: Pray you for me to the Lord, that none of these things which you have spoken may come upon me.
[DRA | EN | NT | Acts | Chapter 8 | Verse 25] And they indeed having testified and preached the word of the Lord, returned to Jerusalem, and preached the gospel to many countries of the Samaritans.
[DRA | EN | NT | Acts | Chapter 8 | Verse 26] Now an angel of the Lord spoke to Philip, saying: Arise, go towards the south, to the way that goeth down from Jerusalem into Gaza: this is desert.
[DRA | EN | NT | Acts | Chapter 8 | Verse 27] And rising up, he went. And behold a man of Ethiopia, an eunuch, of great authority under Candace the queen of the Ethiopians, who had charge over all her treasures, had come to Jerusalem to adore.
[DRA | EN | NT | Acts | Chapter 8 | Verse 28] And he was returning, sitting in this chariot, and reading Isaias the prophet.
[DRA | EN | NT | Acts | Chapter 8 | Verse 29] And the Spirit said to Philip: Go near, and join thyself to this chariot.
[DRA | EN | NT | Acts | Chapter 8 | Verse 30] And Philip running thither, heard him reading the prophet Isaias. And he said: Thinkest thou that thou understandest what thou readest?
[DRA | EN | NT | Acts | Chapter 8 | Verse 31] Who said: And how can I, unless some man shew me? And he desired Philip that he would come up and sit with him.
[DRA | EN | NT | Acts | Chapter 8 | Verse 32] And the place of the scripture which he was reading was this: He was led as a sheep to the slaughter; and like a lamb without voice before his shearer, so openeth he not his mouth.
[DRA | EN | NT | Acts | Chapter 8 | Verse 33] In humility his judgment was taken away. His generation who shall declare, for his life shall be taken from the earth?
[DRA | EN | NT | Acts | Chapter 8 | Verse 34] And the eunuch answering Philip, said: I beseech thee, of whom doth the prophet speak this? of himself, or of some other man?
[DRA | EN | NT | Acts | Chapter 8 | Verse 35] Then Philip, opening his mouth, and beginning at this scripture, preached unto him Jesus.
[DRA | EN | NT | Acts | Chapter 8 | Verse 36] And as they went on their way, they came to a certain water; and the eunuch said: See, here is water: what doth hinder me from being baptized?
[DRA | EN | NT | Acts | Chapter 8 | Verse 37] And Philip said: If thou believest with all thy heart, thou mayest. And he answering, said: I believe that Jesus Christ is the Son of God.
[DRA | EN | NT | Acts | Chapter 8 | Verse 38] And he commanded the chariot to stand still; and they went down into the water, both Philip and the eunuch: and he baptized him.
[DRA | EN | NT | Acts | Chapter 8 | Verse 39] And when they were come up out of the water, the Spirit of the Lord took away Philip; and the eunuch saw him no more. And he went on his way rejoicing.
[DRA | EN | NT | Acts | Chapter 8 | Verse 40] But Philip was found in Azotus; and passing through, he preached the gospel to all the cities, till he came to Caesarea.
