[DRA | EN | NT | Acts | Chapter 15 | Verse 1] And some coming down from Judea, taught the brethren: That except you be circumcised after the manner of Moses, you cannot be saved.
[DRA | EN | NT | Acts | Chapter 15 | Verse 2] And when Paul and Barnabas had no small contest with them, they determined that Paul and Barnabas, and certain others of the other side, should go up to the apostles and priests to Jerusalem about this question.
[DRA | EN | NT | Acts | Chapter 15 | Verse 3] They therefore being brought on their way by the church, passed through Phenice, and Samaria, relating the conversion of the Gentiles; and they caused great joy to all the brethren.
[DRA | EN | NT | Acts | Chapter 15 | Verse 4] And when they were come to Jerusalem, they were received by the church, and by the apostles and ancients, declaring how great things God had done with them.
[DRA | EN | NT | Acts | Chapter 15 | Verse 5] But there arose some of the sect of the Pharisees that believed, saying: They must be circumcised, and be commanded to observe the law of Moses.
[DRA | EN | NT | Acts | Chapter 15 | Verse 6] And the apostles and ancients assembled to consider of this matter.
[DRA | EN | NT | Acts | Chapter 15 | Verse 7] And when there had been much disputing, Peter, rising up, said to them: Men, brethren, you know, that in former days God made choice among us, that by my mouth the Gentiles should hear the word of the gospel, and believe.
[DRA | EN | NT | Acts | Chapter 15 | Verse 8] And God, who knoweth the hearts, gave testimony, giving unto them the Holy Ghost, as well as to us;
[DRA | EN | NT | Acts | Chapter 15 | Verse 9] And put no difference between us and them, purifying their hearts by faith.
[DRA | EN | NT | Acts | Chapter 15 | Verse 10] Now therefore, why tempt you God to put a yoke upon the necks of the disciples, which neither our fathers nor we have been able to bear?
[DRA | EN | NT | Acts | Chapter 15 | Verse 11] But by the grace of the Lord Jesus Christ, we believe to be saved, in like manner as they also.
[DRA | EN | NT | Acts | Chapter 15 | Verse 12] And all the multitude held their peace; and they heard Barnabas and Paul telling what great signs and wonders God had wrought among the Gentiles by them.
[DRA | EN | NT | Acts | Chapter 15 | Verse 13] And after they had held their peace, James answered, saying: Men, brethren, hear me.
[DRA | EN | NT | Acts | Chapter 15 | Verse 14] Simon hath related how God first visited to take of the Gentiles a people to his name.
