[BBE | EN | NT | Acts | Chapter 5 | Verse 1] But a certain man named Ananias, with Sapphira his wife, got money for his property,
[BBE | EN | NT | Acts | Chapter 5 | Verse 2] And kept back part of the price, his wife having knowledge of it, and took the rest and put it at the feet of the Apostles.
[BBE | EN | NT | Acts | Chapter 5 | Verse 3] But Peter said, Ananias, why has the Evil One put it into your heart to be false to the Holy Spirit, and to keep back part of the price of the land?
[BBE | EN | NT | Acts | Chapter 5 | Verse 4] While you had it, was it not your property? and after you had given it in exchange, was it not still in your power? how has this purpose come into your mind? you have been false, not to men, but to God.
[BBE | EN | NT | Acts | Chapter 5 | Verse 5] And at these words, Ananias went down on the earth, and his life went from him: and great fear came on all who were present.
[BBE | EN | NT | Acts | Chapter 5 | Verse 6] And the young men went and made ready his body, and took it out, and put it in the earth.
[BBE | EN | NT | Acts | Chapter 5 | Verse 7] And about three hours after, his wife, having no knowledge of what had taken place, came in.
[BBE | EN | NT | Acts | Chapter 5 | Verse 8] And Peter said to her, Give me an answer: was this amount of money the price of the land? And she said, Yes, it was.
[BBE | EN | NT | Acts | Chapter 5 | Verse 9] But Peter said to her, Why have you made an agreement together to be false to the Spirit of the Lord? See, the feet of the young men who have put the body of your husband in the earth, are at the door, and they will take you out.
[BBE | EN | NT | Acts | Chapter 5 | Verse 10] And straight away she went down at his feet, and her life went from her: and the young men came in and saw her dead, and they took her out and put her in the earth with her husband.
[BBE | EN | NT | Acts | Chapter 5 | Verse 11] Then great fear came on all the church and on all who had knowledge of these things.
[BBE | EN | NT | Acts | Chapter 5 | Verse 12] Now a number of signs and wonders were done among the people by the hands of the Apostles; and they were all together in Solomon's covered way.
[BBE | EN | NT | Acts | Chapter 5 | Verse 13] The others, in fear, kept back from joining them: but the people made much of them;
[BBE | EN | NT | Acts | Chapter 5 | Verse 14] And a great number of men and women had faith, and were joined to the Lord;
[BBE | EN | NT | Acts | Chapter 5 | Verse 15] And they even took into the streets people who were ill, and put them on beds, so that when Peter went by, some of them might be in his shade.
[BBE | EN | NT | Acts | Chapter 5 | Verse 16] And numbers of people came together from the towns round about Jerusalem, with those who were ill and those who were troubled with unclean spirits: and they were all made well.
[BBE | EN | NT | Acts | Chapter 5 | Verse 17] But the high priest and those who were with him (the Sadducees) were full of envy,
