[BBE | EN | NT | Acts | Chapter 13 | Verse 1] Now there were at Antioch, in the church there, prophets and teachers, Barnabas, and Symeon who was named Niger, and Lucius of Cyrene, and Manaen, a relation of Herod the king, and Saul.
[BBE | EN | NT | Acts | Chapter 13 | Verse 2] And while they were doing the Lord's work, and going without food, the Holy Spirit said, Let Barnabas and Saul be given to me for the special work for which they have been marked out by me.
[BBE | EN | NT | Acts | Chapter 13 | Verse 3] Then, after prayer and going without food they put their hands on them, and sent them away.
[BBE | EN | NT | Acts | Chapter 13 | Verse 4] So, being sent out by the Holy Spirit, they went down to Seleucia; and from there they went by ship to Cyprus.
[BBE | EN | NT | Acts | Chapter 13 | Verse 5] And at Salamis they were preaching the word of God in the Synagogues of the Jews: and John was with them, helping them.
[BBE | EN | NT | Acts | Chapter 13 | Verse 6] And when they had gone through all the island to Paphos, they came across a certain wonder-worker and false prophet, a Jew whose name was Bar-Jesus;
[BBE | EN | NT | Acts | Chapter 13 | Verse 7] Who was with the ruler, Sergius Paulus, an able man. This man sent for Barnabas and Saul, desiring to have knowledge of the word of God.
[BBE | EN | NT | Acts | Chapter 13 | Verse 8] But Elymas, the wonder-worker (for that is the sense of his name), put himself against them, with the purpose of turning the ruler from the faith.
[BBE | EN | NT | Acts | Chapter 13 | Verse 9] But Saul, whose other name is Paul, being full of the Holy Spirit, looking hard at him, said,
[BBE | EN | NT | Acts | Chapter 13 | Verse 10] O you, who are full of false tricks and evil ways, a son of the Evil One, hating all righteousness, will you for ever be turning people from the right ways of the Lord?
[BBE | EN | NT | Acts | Chapter 13 | Verse 11] And now, see, the hand of the Lord is on you, and you will be blind and not able to see the sun for a time. And straight away a dark mist came down on him; and he went about looking for a guide.
[BBE | EN | NT | Acts | Chapter 13 | Verse 12] Then the ruler, when he saw what was done, had faith, being full of wonder at the teaching of the Lord.
[BBE | EN | NT | Acts | Chapter 13 | Verse 13] Then Paul and those who were with him went by ship from Paphos and came to Perga in Pamphylia: and there John went away from them and came back to Jerusalem.
[BBE | EN | NT | Acts | Chapter 13 | Verse 14] But they, going through from Perga, came to Antioch in Pisidia; and they went into the Synagogue on the Sabbath and were seated.
[BBE | EN | NT | Acts | Chapter 13 | Verse 15] And after the reading of the law and the prophets, the rulers of the Synagogue sent to them, saying, Brothers, if you have a word of comfort for the people, say on.
[BBE | EN | NT | Acts | Chapter 13 | Verse 16] And Paul, getting up and making a sign with his hand, said, Men of Israel, and you who have the fear of God, give ear.
[BBE | EN | NT | Acts | Chapter 13 | Verse 17] The God of this people Israel made selection of our fathers, lifting the people up from their low condition when they were living in the land of Egypt, and with a strong arm took them out of it.
[BBE | EN | NT | Acts | Chapter 13 | Verse 18] And for about forty years he put up with their ways in the waste land.
[BBE | EN | NT | Acts | Chapter 13 | Verse 19] And having put to destruction seven nations in the land of Canaan, he gave them the land for their heritage for about four hundred and fifty years.
[BBE | EN | NT | Acts | Chapter 13 | Verse 20] And after these things he gave them judges, till the time of Samuel the prophet.
[BBE | EN | NT | Acts | Chapter 13 | Verse 21] Then at their request for a king, God gave them Saul, the son of Kish, a man of the family of Benjamin, who was their king for forty years.
[BBE | EN | NT | Acts | Chapter 13 | Verse 22] And having put him on one side, he made David their king, to whom he gave witness, saying, I have taken David, the son of Jesse, a man dear to my heart, who will do all my pleasure.
[BBE | EN | NT | Acts | Chapter 13 | Verse 23] From this man's seed has God given to Israel a Saviour, even Jesus, as he gave his word;
[BBE | EN | NT | Acts | Chapter 13 | Verse 24] For whose coming John made ready the way by preaching to all the people of Israel the baptism which goes with a change of heart.
[BBE | EN | NT | Acts | Chapter 13 | Verse 25] And when John was completing his work, he said, What do I seem to you to be? I am not he; but one is coming after me, whose shoes I am not good enough to undo.
[BBE | EN | NT | Acts | Chapter 13 | Verse 26] My brothers, children of the family of Abraham, and those among you who have the fear of God, to us the word of this salvation is sent.
[BBE | EN | NT | Acts | Chapter 13 | Verse 27] For the men of Jerusalem and their rulers, having no knowledge of him, or of the sayings of the prophets which come to their ears every Sabbath day, gave effect to them by judging him.
[BBE | EN | NT | Acts | Chapter 13 | Verse 28] And though no cause of death was seen in him, they made a request to Pilate that he might be put to death.
[BBE | EN | NT | Acts | Chapter 13 | Verse 29] And when they had done all the things said in the Writings about him, they took him down from the tree, and put him in the place of the dead.
[BBE | EN | NT | Acts | Chapter 13 | Verse 30] But God gave him back from the dead:
[BBE | EN | NT | Acts | Chapter 13 | Verse 31] And for a number of days he was seen by those who came with him from Galilee to Jerusalem, who are now his witnesses before the people.
[BBE | EN | NT | Acts | Chapter 13 | Verse 32] And we are giving you the good news of the undertaking made to the fathers,
[BBE | EN | NT | Acts | Chapter 13 | Verse 33] Which God has now put into effect for our children, by sending Jesus; as it says in the second Psalm, You are my Son; this day I have given you being.
[BBE | EN | NT | Acts | Chapter 13 | Verse 34] And about his coming back from the dead, never again to go to destruction, he has said these words, I will give you the holy and certain mercies of David.
