[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 1] Hear ye the word which the LORD speaketh unto you, O house of Israel;
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 2] thus saith the LORD: Learn not the way of the nations, and be not dismayed at the signs of heaven; for the nations are dismayed at them.
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 3] For the customs of the peoples are vanity; for it is but a tree which one cutteth out of the forest, the work of the hands of the workman with the axe.
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 4] They deck it with silver and with gold, they fasten it with nails and with hammers, that it move not.
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 5] They are like a pillar in a garden of cucumbers, and speak not; they must needs be borne, because they cannot go. Be not afraid of them, for they cannot do evil, neither is it in them to do good.
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 6] There is none like unto Thee, O LORD; Thou art great, and Thy name is great in might.
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 7] Who would not fear Thee, O king of the nations? For it befitteth Thee; forasmuch as among all the wise men of the nations, and in all their royalty, there is none like unto Thee.
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 8] But they are altogether brutish and foolish: the vanities by which they are instructed are but a stock;
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 9] Silver beaten into plates which is brought from Tarshish, and gold from Uphaz, the work of the craftsman and of the hands of the goldsmith; blue and purple is their clothing; they are all the work of skilful men.
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 10] But the LORD God is the true God, He is the living God, and the everlasting King; at His wrath the earth trembleth, and the nations are not able to abide His indignation.
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 11] Thus shall ye say unto them: 'The gods that have not made the heavens and the earth, these shall perish from the earth, and from under the heavens.'
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 12] He that hath made the earth by His power, that hath established the world by His wisdom, and hath stretched out the heavens by His understanding;
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 13] At the sound of His giving a multitude of waters in the heavens, when He causeth the vapours to ascend from the ends of the earth; when He maketh lightnings with the rain, and bringeth forth the wind out of His treasuries;
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 14] Every man is proved to be brutish, without knowledge, every goldsmith is put to shame by the graven image, his molten image is falsehood, and there is no breath in them.
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 15] They are vanity, a work of delusion; in the time of their visitation they shall perish.
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 16] Not like these is the portion of Jacob; for He is the former of all things, and Israel is the tribe of His inheritance; the LORD of hosts is His name.
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 17] Gather up thy wares from the ground, O thou that abidest in the siege.
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 18] For thus saith the LORD: Behold, I will sling out the inhabitants of the land at this time, and will distress them, that they may feel it.
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 19] Woe is me for my hurt! My wound is grievous; but I said: 'This is but a sickness, and I must bear it.'
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 20] My tent is spoiled, and all my cords are broken; my children are gone forth of me, and they are not; there is none to stretch forth my tent any more, and to set up my curtains.
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 21] For the shepherds are become brutish, and have not inquired of the LORD; therefore they have not prospered, and all their flocks are scattered.
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 22] Hark! a report, behold, it cometh, and a great commotion out of the north country, to make the cities of Judah desolate, a dwelling-place of jackals.
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 23] O LORD, I know that man's way is not his own; it is not in man to direct his steps as he walketh.
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 24] O LORD, correct me, but in measure; not in Thine anger, lest Thou diminish me.
[JPS | EN | OT | Jeremiah | Chapter 10 | Verse 25] Pour out Thy wrath upon the nations that know Thee not, and upon the families that call not on Thy name; for they have devoured Jacob, yea, they have devoured him and consumed him, and have laid waste his habitation.
