[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 1] Of Moab. Thus saith the LORD of hosts, the God of Israel: Woe unto Nebo! for it is spoiled; Kiriathaim is put to shame, it is taken; Misgab is put to shame and dismayed.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 2] The praise of Moab is no more; in Heshbon they have devised evil against her: 'Come, and let us cut her off from being a nation.' Thou also, O Madmen, shalt be brought to silence; the sword shall pursue thee.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 3] Hark! a cry from Horonaim, spoiling and great destruction!
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 4] Moab is destroyed; her little ones have caused a cry to be heard.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 5] For by the ascent of Luhith with continual weeping shall they go up; for in the going down of Horonaim they have heard the distressing cry of destruction.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 6] Flee, save your lives, and be like a tamarisk in the wilderness.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 7] For, because thou hast trusted in thy works and in thy treasures, thou also shalt be taken; and Chemosh shall go forth into captivity, his priests and his princes together.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 8] And the spoiler shall come upon every city, and no city shall escape; the valley also shall perish, and the plain shall be destroyed; as the LORD hath spoken.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 9] Give wings unto Moab, for she must fly and get away; and her cities shall become a desolation, without any to dwell therein.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 10] Cursed be he that doeth the work of the LORD with a slack hand, and cursed be he that keepeth back his sword from blood.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 11] Moab hath been at ease from his youth, and he hath settled on his lees, and hath not been emptied from vessel to vessel, neither hath he gone into captivity; therefore his taste remaineth in him, and his scent is not changed.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 12] Therefore, behold, the days come, saith the LORD, that I will send unto him them that tilt up, and they shall tilt him up; and they shall empty his vessels, and break their bottles in pieces.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 13] And Moab shall be ashamed of Chemosh, as the house of Israel was ashamed of Beth-el their confidence.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 14] How say ye: 'We are mighty men, and valiant men for the war'?
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 15] Moab is spoiled, and they are gone up into her cities, and his chosen young men are gone down to the slaughter, saith the King, whose name is the LORD of hosts.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 16] The calamity of Moab is near to come, and his affliction hasteth fast.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 17] Bemoan him, all ye that are round about him, and all ye that know his name; say: 'How is the strong staff broken, the beautiful rod!'
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 18] O thou daughter that dwellest in Dibon, come down from thy glory, and sit in thirst; for the spoiler of Moab is come up against thee, he hath destroyed thy strongholds.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 19] O inhabitant of Aroer, stand by the way, and watch; ask him that fleeth, and her that escapeth; say: 'What hath been done?'
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 20] Moab is put to shame, for it is dismayed; wail and cry; tell ye it in Arnon, that Moab is spoiled.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 21] And judgment is come upon the country of the Plain; upon Holon, and upon Jahzah, and upon Mephaath;
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 22] and upon Dibon, and upon Nebo, and upon Beth-diblathaim;
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 23] and upon Kiriathaim, and upon Beth-gamul, and upon Beth-meon;
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 24] and upon Kerioth, and upon Bozrah, and upon all the cities of the land of Moab, far or near.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 25] The horn of Moab is cut off, and his arm is broken, saith the LORD.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 26] Make ye him drunken, for he magnified himself against the LORD; and Moab shall wallow in his vomit, and he also shall be in derision.
[JPS | EN | OT | Jeremiah | Chapter 48 | Verse 27] For was not Israel a derision unto thee? Was he found among thieves? For as often as thou speakest of him, thou waggest the head.
