[JPS | EN | OT | Jeremiah | Chapter 1 | Verse 1] THE WORDS of Jeremiah the son of Hilkiah, of the priests that were in Anathoth in the land of Benjamin,
[JPS | EN | OT | Jeremiah | Chapter 1 | Verse 2] to whom the word of the LORD came in the days of Josiah the son of Amon, king of Judah, in the thirteenth year of his reign.
[JPS | EN | OT | Jeremiah | Chapter 1 | Verse 3] It came also in the days of Jehoiakim the son of Josiah, king of Judah, unto the end of the eleventh year of Zedekiah the son of Josiah, king of Judah, unto the carrying away of Jerusalem captive in the fifth month.
[JPS | EN | OT | Jeremiah | Chapter 1 | Verse 4] And the word of the LORD came unto me, saying:
[JPS | EN | OT | Jeremiah | Chapter 1 | Verse 5] Before I formed thee in the belly I knew thee, and before thou camest forth out of the womb I sanctified thee; I have appointed thee a prophet unto the nations.
[JPS | EN | OT | Jeremiah | Chapter 1 | Verse 6] Then said I: 'Ah, Lord GOD! behold, I cannot speak; for I am a child.'
[JPS | EN | OT | Jeremiah | Chapter 1 | Verse 7] But the LORD said unto me: say not: I am a child; for to whomsoever I shall send thee thou shalt go, and whatsoever I shall command thee thou shalt speak.
[JPS | EN | OT | Jeremiah | Chapter 1 | Verse 8] Be not afraid of them; for I am with thee to deliver thee, saith the LORD.
[JPS | EN | OT | Jeremiah | Chapter 1 | Verse 9] Then the LORD put forth His hand, and touched my mouth; and the LORD said unto me: Behold, I have put My words in thy mouth;
[JPS | EN | OT | Jeremiah | Chapter 1 | Verse 10] See, I have this day set thee over the nations and over the kingdoms, to root out and to pull down, and to destroy and to overthrow; to build, and to plant.
[JPS | EN | OT | Jeremiah | Chapter 1 | Verse 11] Moreover the word of the LORD came unto me, saying: 'Jeremiah, what seest thou?' And I said: 'I see a rod of an almond-tree.'
[JPS | EN | OT | Jeremiah | Chapter 1 | Verse 12] Then said the LORD unto me: 'Thou hast well seen; for I watch over My word to perform it.'
[JPS | EN | OT | Jeremiah | Chapter 1 | Verse 13] And the word of the LORD came unto me the second time, saying: 'What seest thou?' And I said: 'I see a seething pot; and the face thereof is from the north.'
[JPS | EN | OT | Jeremiah | Chapter 1 | Verse 14] Then the LORD said unto me: 'Out of the north the evil shall break forth upon all the inhabitants of the land.
[JPS | EN | OT | Jeremiah | Chapter 1 | Verse 15] For, lo, I will call all the families of the kingdoms of the north, saith the LORD; and they shall come, and they shall set every one his throne at the entrance of the gates of Jerusalem, and against all the walls thereof round about, and against all the cities of Judah.
[JPS | EN | OT | Jeremiah | Chapter 1 | Verse 16] And I will utter My judgments against them touching all their wickedness; in that they have forsaken me, and have offered unto other gods, and worshipped the work of their own hands.
[JPS | EN | OT | Jeremiah | Chapter 1 | Verse 17] Thou therefore gird up thy loins, and arise, and speak unto them all that I command thee; be not dismayed at them, lest I dismay thee before them.
[JPS | EN | OT | Jeremiah | Chapter 1 | Verse 18] For, behold, I have made thee this day a fortified city, and an iron pillar, and brazen walls, against the whole land, against the kings of Judah, against the princes thereof, against the priests thereof, and against the people of the land.
[JPS | EN | OT | Jeremiah | Chapter 1 | Verse 19] And they shall fight against thee; but they shall not prevail against thee; For I am with thee, saith the LORD, to deliver thee.'
