[IRV | MR | OT | Job | Chapter 21 | Verse 1] नंतर ईयोबाने उत्तर दिले.
[IRV | MR | OT | Job | Chapter 21 | Verse 2] “मी काय म्हणतो ते निट ऐक म्हणजे माझे सांत्वन होईल.
[IRV | MR | OT | Job | Chapter 21 | Verse 3] मी बोलेन तेव्हा तू थोडा धीर धर, माझे बोलणे संपल्यावर तू माझी थट्टा करु शकतोस.
[IRV | MR | OT | Job | Chapter 21 | Verse 4] माझी लोकांविरुध्द तक्रार काय आहे? मी अधीर का होऊ नये?
[IRV | MR | OT | Job | Chapter 21 | Verse 5] माझ्याकडे बघ व आश्चर्यचकित हो, व तुझे हात तू आपल्या तोंडावर ठेव.
[IRV | MR | OT | Job | Chapter 21 | Verse 6] माझ्यावर आलेल्या त्रांसाचा विचार करायला लागलो म्हणजे मला भीती वाटते आणि माझ्या शरीराचा थरकाप होतो.
[IRV | MR | OT | Job | Chapter 21 | Verse 7] दुष्ट मनुष्यांना जास्त आयुष्य का असते? ते वृध्द आणि यशस्वी का होतात?
[IRV | MR | OT | Job | Chapter 21 | Verse 8] आणि त्याचे वंशज त्याच्या डोळ्यासमोर स्थापीत होतात, आणि त्याच्या डोळ्यासमोर त्याची मुलेबाळे नांदतात.
[IRV | MR | OT | Job | Chapter 21 | Verse 9] त्यांची घरे भितीपासून सुरक्षित असतात, देवाची काठी त्याच्यांवर पडत नाही.
[IRV | MR | OT | Job | Chapter 21 | Verse 10] त्यांच्या बैलाचे प्रजोत्पादन असफल होत नाही. त्यांच्या गायींना वासरे होतात आणि त्यांची वासरे अकाली मृत्युमुखी पडत नाहीत.
[IRV | MR | OT | Job | Chapter 21 | Verse 11] ते आपल्या मुलांना वासराप्रमाणे बाहेर खेळायला पाठवतात. त्यांची मुले सभोवती नाचत असतात.
[IRV | MR | OT | Job | Chapter 21 | Verse 12] ते डफ आणि वीणेच्या आवाजावर गातात आणि ते पावांचा नाद ऐकुण आनंदी होतात.
[IRV | MR | OT | Job | Chapter 21 | Verse 13] ते त्यांचे दिवस भरभराटीत घालवतात, नंतर ते शांतपणे खाली अधोलोकात जातात.
[IRV | MR | OT | Job | Chapter 21 | Verse 14] ते देवाला म्हणाले, आम्हास एकटे सोड आम्हास तुझ्या ज्ञानाच्या मार्गाची इच्छा नाही.
[IRV | MR | OT | Job | Chapter 21 | Verse 15] सर्वशक्तिमान कोण आहे, की त्याची उपासना आम्ही करावी? त्याची प्रार्थना करून आम्हास काय लाभ?
[IRV | MR | OT | Job | Chapter 21 | Verse 16] पाहा, त्याची भरभराट त्याच्या स्वतःच्या हाती नाही? दुष्ट मनुष्याचा सल्ला माझ्यापासुन दूर असो.
[IRV | MR | OT | Job | Chapter 21 | Verse 17] वांरवार दुष्टाचा दिप विझवला जातो, त्याची विपत्ती त्यांच्यावर येते? आणि असे कीतीतरी वेळ घडते की, देव त्याच्या क्रोधाने त्यांची पीडा त्यांना वाटून देतो.
