[IRV | MR | OT | Job | Chapter 4 | Verse 1] अलीफज तेमानीने उत्तर दिले आणि तो म्हणाला,
[IRV | MR | OT | Job | Chapter 4 | Verse 2] “जर कोणी तुझ्यासोबत बोलण्याचा प्रयत्न केला, तर तू दु:खी होशील का? परंतू बोलण्यापासून स्वत:ला कोण आवरेल?
[IRV | MR | OT | Job | Chapter 4 | Verse 3] पाहा, तू पुष्कळांना शिकवले आहेस. तू अशक्त हातांना शक्ती दिली आहेस.
[IRV | MR | OT | Job | Chapter 4 | Verse 4] तू तुझ्या शब्दांनी खाली पडणाऱ्यांना सावरले आहेस. तू अशक्त गुडघे बळकट केले आहेस.
[IRV | MR | OT | Job | Chapter 4 | Verse 5] पण आता संकटे तुझ्यावर आली आहेत, आणि तू खचला आहेस, ते तुला स्पर्श करतात. आणि तू त्रासात पडतोस.
[IRV | MR | OT | Job | Chapter 4 | Verse 6] तुझ्या देवभिरूपणाची तुला खात्री नाही काय, तुझी सात्वीकत्ता तुझ्या आशेचे मार्ग नाही काय?
[IRV | MR | OT | Job | Chapter 4 | Verse 7] मी तुला विंनती करतो, कोणी निष्पाप कधी नाश पावला का? किंवा चांगल्या लोकांचा कधी नि:पात झाला का? याच्या विषयी तू विचार कर.
[IRV | MR | OT | Job | Chapter 4 | Verse 8] मी असे पाहीले आहे की जे घोर अन्यायाची नांगरणी करीतात, आणि कष्ट पेरतात ते तशीच कापणी करतात.
[IRV | MR | OT | Job | Chapter 4 | Verse 9] देवाच्या श्वासाने ते नाश पावतात. त्याच्या रागाने ते भस्म होतात.
[IRV | MR | OT | Job | Chapter 4 | Verse 10] सिंहाची गर्जना, सिंहाचा विक्राळ ध्वनी नष्ट होतो, तरूण सिंहाचे दात उपटले जातात.
[IRV | MR | OT | Job | Chapter 4 | Verse 11] म्हातारा सिंह शिकार न मिळाल्यामुळे मरण पावतो, सिंहिणीचे छावे सगळीकडे पांगतात
[IRV | MR | OT | Job | Chapter 4 | Verse 12] आता माझ्याकडे एक गुप्त निरोप आला, आणि माझ्या कानी त्याची कुजबुज पडली.
[IRV | MR | OT | Job | Chapter 4 | Verse 13] जेव्हा लोक गाढ झोपेत असतात, मी रात्रीच्या दृष्टांताच्या विचारात असतो,
[IRV | MR | OT | Job | Chapter 4 | Verse 14] मी घाबरलो आणि माझा थरकाप झाला. माझी सगळी हाडे थरथरा कापू लागली.
[IRV | MR | OT | Job | Chapter 4 | Verse 15] एक आत्मा अगदी माझ्या चेहऱ्याजवळून गेला आणि माझ्या शरीरावरचे केस उभे राहिले.
[IRV | MR | OT | Job | Chapter 4 | Verse 16] तो आत्मा निश्चल उभा राहिला, पण त्याचा आकार मला दिसू शकला नाही, माझ्या डोळ्यांसमोर एक आकार होता, तेथे शांतता होती आणि वाणी असे बोलताना मी ऐकली.
[IRV | MR | OT | Job | Chapter 4 | Verse 17] मर्त्य मनुष्य देवापेक्षा नितीमान असू शकतो काय? मनुष्य त्याच्या निर्मात्यापेक्षा अधिक शुद्ध असू शकतो काय?
[IRV | MR | OT | Job | Chapter 4 | Verse 18] पाहा, जर देव त्याच्या सेवकावर विश्वास ठेवत नाही. जर त्यास त्याच्या दूतांमध्ये काही दोष आढळतो,
[IRV | MR | OT | Job | Chapter 4 | Verse 19] तर जे मातीच्या घरात राहतात त्यांच्याविषयी हे किती सत्य आहे, ज्यांच्या घरांचा पाया धुळीत आहे, ते पंतगासारखे तितक्या लवकर चिरडले जातात?
[IRV | MR | OT | Job | Chapter 4 | Verse 20] आणि सकाळपासून संध्याकाळपर्यंत ते नाश पावतात, ते कायमचे नष्ट होतात व कोणीही त्यांच्याकडे लक्ष देत नाही.
[IRV | MR | OT | Job | Chapter 4 | Verse 21] त्यांच्या तंबूच्या दोऱ्या वर खेचल्या जात नाही काय? ते मरतात, शहाणपणा न मिळवताच मरतात.”
