[IRV | MR | OT | Job | Chapter 23 | Verse 1] नंतर ईयोबने उत्तर दिले व तो म्हणाला,
[IRV | MR | OT | Job | Chapter 23 | Verse 2] “तरीही मी आज कडवटपणे तक्रार करीन? कारण माझा त्रास माझ्या विलापाहून भारी आहे.
[IRV | MR | OT | Job | Chapter 23 | Verse 3] देवाला कुठे शोधावे ते मला माहीत असते तर मी त्याच्या ठिकाणापर्यंत जाऊन पोहचलो असतो
[IRV | MR | OT | Job | Chapter 23 | Verse 4] मी देवाला माझी फिर्याद सांगितली असती. माझ्या मुखाने सतत वाद घातला असता.
[IRV | MR | OT | Job | Chapter 23 | Verse 5] त्याने माझ्या युक्तिवादाला कसे प्रत्युतर दिले असते ते मला कळले असते. तो मला काय म्हणाला ते मी लक्षात घेतले असते.
[IRV | MR | OT | Job | Chapter 23 | Verse 6] त्याच्या महान सामर्थ्याने त्याने माझ्याविरुध्द वाद केला असता का? नाही; तर त्याने माझ्याकडे लक्ष दिले असते.
[IRV | MR | OT | Job | Chapter 23 | Verse 7] तेथे सरळ मनुष्यांनी त्याच्याशी वाद केला असता. म्हणजे मी माझ्या न्यायाधीशापासुन सुटलो असतो.
[IRV | MR | OT | Job | Chapter 23 | Verse 8] पाहा, मी पूर्वेकडे गेलो, पण तो तीथे नव्हता, मी पश्चिमेकडे गेलो, पण मी त्यास पाहीले नाही.
[IRV | MR | OT | Job | Chapter 23 | Verse 9] उत्तरेकडे तो कार्य करीत असला, तरी मला तो दिसू शकत नाही. आणि दक्षिणेकडेही, जेथे तो स्वतःस लपवितो त्यामुळे तेथेही तो मला दिसत नाही.
[IRV | MR | OT | Job | Chapter 23 | Verse 10] परंतु माझा मार्ग त्यास कळाला आहे, जेव्हा तो माझी परीक्षा घेतो, तेव्हा मी सोन्यासारखा असेन.
[IRV | MR | OT | Job | Chapter 23 | Verse 11] त्याच्या पावलावर माझी पावले पडत आहेत, मी त्याचा मार्ग धरला आहे व त्यापासून वळालो नाही.
[IRV | MR | OT | Job | Chapter 23 | Verse 12] मी त्याच्या ओठांच्या आज्ञेचे पालन करण्यापासुन मागे वळालो नाही, मी संपत्ती प्रमाणे माझ्या हृदयात देवाच्या मुखातून बाहेर पडणारे शब्द ठेवले आहेत.
[IRV | MR | OT | Job | Chapter 23 | Verse 13] परंतु देव कधी बदलत नाही, त्यास कोण बदलेल. त्याच्या मनाच्या ईच्छेप्रमाणे तो करतो.
[IRV | MR | OT | Job | Chapter 23 | Verse 14] कारण तो माझ्यासाठी त्याचा हूकुम चालवितो, माझ्यासाठी त्याच्या बऱ्याच योजना आहेत.
[IRV | MR | OT | Job | Chapter 23 | Verse 15] यास्तव, मी त्याच्या उपस्थीतीला घाबरतो, जेव्हा मी त्याच्याबद्दल विचार करतो, मला त्याची भीती वाटते.
[IRV | MR | OT | Job | Chapter 23 | Verse 16] त्यामुळे देवाने माझे हृदय कमजोर केले आहे, आणि सर्वशक्तिमानाने मला भयभीत केले आहे.
[IRV | MR | OT | Job | Chapter 23 | Verse 17] काय मी अंधकाराने काढून टाकला गेलो नाही काय? आणि गडद अंधकाराने माझे मुख झाकले गेले नाही काय.”
