[IRV | MR | OT | Job | Chapter 18 | Verse 1] नंतर शूहीच्या बिल्ददने उत्तर दिले आणि म्हणाला,
[IRV | MR | OT | Job | Chapter 18 | Verse 2] तू तुझे बोलणे बंद कर! शांत राहा आणि लक्ष दे. आम्हास काही बोलू दे.
[IRV | MR | OT | Job | Chapter 18 | Verse 3] आम्ही पशूसारखे आहोत असे तू का समजतोस, आम्ही का तुझ्या दृष्टीने अशुद्ध झालोत?
[IRV | MR | OT | Job | Chapter 18 | Verse 4] रागाने स्वत:स फाडून टाकणाऱ्या, तुझ्यामुळे पृथ्वी ओस पडेल काय, किंवा खडक त्याची जागा सोडेल का?
[IRV | MR | OT | Job | Chapter 18 | Verse 5] खरोखर, “दुष्ट मनुष्याचा प्रकाश नाहीसा होईल. त्याचा अग्नी पेटणे बंद होईल.
[IRV | MR | OT | Job | Chapter 18 | Verse 6] त्यांच्या घरातला प्रकाश अंधकारमय होईल. त्यांच्या जवळचा दिवा विझेल.
[IRV | MR | OT | Job | Chapter 18 | Verse 7] त्याची पाऊले पुन्हा दमदारपणे व भरभर पडणार नाहीत. तो हळुहळु चालेल आणि अशक्त बनेल. त्याच्या दुष्ट मसलती त्याचा अध:पात करतील.
[IRV | MR | OT | Job | Chapter 18 | Verse 8] त्याचेच पाय त्यास सापळ्यात अडकवतील. तो खडकाळ मार्गाने चालला आहे.
[IRV | MR | OT | Job | Chapter 18 | Verse 9] सापळा त्याची टाच पकडेल. त्यास घटृ पकडून ठेवेल.
[IRV | MR | OT | Job | Chapter 18 | Verse 10] जमिनीवरची दोरी त्यास जाळ्यात अडकवेल. सापळा त्याची त्याच्या मार्गातच वाट बघत असेल.
[IRV | MR | OT | Job | Chapter 18 | Verse 11] दहशत चोहोबाजूंनी त्याची वाट पाहत आहे. भीती त्याच्या प्रत्येक पावलावर पाठलाग करीत आहे.
[IRV | MR | OT | Job | Chapter 18 | Verse 12] वाईट संकटे त्याच्यासाठी भुकेली आहेत. विध्वंस आणि अरिष्ट तो पडण्याचीच वाट पाहत आहेत.
[IRV | MR | OT | Job | Chapter 18 | Verse 13] भयानक रोग त्याचे अवयव तोडून खाईल. खरोखर, मृत्यूचा जेष्ठ पुत्र त्याचा नाश करील.
[IRV | MR | OT | Job | Chapter 18 | Verse 14] त्याच्या घराच्या सुरक्षिततेपासून दूर नेला जाईल. त्यास भयाच्या राजापुढे हजर करण्यासाठी दूर नेले जाईल.
[IRV | MR | OT | Job | Chapter 18 | Verse 15] जे त्याचे नव्हते ते त्याच्या डेऱ्यात वास करतील त्याच्या घरात सर्वत्र जळते गंधक विखरतील.
[IRV | MR | OT | Job | Chapter 18 | Verse 16] त्याची खालची मुळे सुकून जातील आणि वरच्या फांद्या मरतील.
[IRV | MR | OT | Job | Chapter 18 | Verse 17] पृथ्वीवरील लोकांस त्याची आठवण राहणार नाही. आता त्याचे नाव रसत्यावर पण कोणी घेत नाही.
[IRV | MR | OT | Job | Chapter 18 | Verse 18] लोक त्यास प्रकाशापासून दूर अंधारात ढकलतील. आणि त्याना या जगातून पळवून लावतील.
[IRV | MR | OT | Job | Chapter 18 | Verse 19] त्यास मुले आणि नातवंडे असणार नाहीत. तो जेथे राहतो तिथे कोणी उरणार नाही.
[IRV | MR | OT | Job | Chapter 18 | Verse 20] पश्चिमेकडचे लोक जेव्हा या दुष्ट मनुष्याचे काय झाले ते ऐकतील तेव्हा त्यांना धक्का बसेल. आणि पूर्वेकडचे लोक भयाने कंपित होतील.
[IRV | MR | OT | Job | Chapter 18 | Verse 21] दुष्ट मनुष्याच्या घराचे खरोखरच असे होईल. जो देवाला ओळखत नाही त्याच्याबाबतीत असेच घडेल.”
