[IRV | MR | OT | Job | Chapter 29 | Verse 1] ईयोबने बोलणे सुरु ठेवले तो म्हणाला
[IRV | MR | OT | Job | Chapter 29 | Verse 2] “अहो, काही महिन्यांपूर्वी मी जसा होतो तसा असतो तर, किती बरे झाले असते तेव्हा देव माझी काळजी घेत होता,
[IRV | MR | OT | Job | Chapter 29 | Verse 3] तेव्हा देवाचा प्रकाश माझ्यावर प्रकाशत होता, आणि मला अंधारातून चालताना प्रकाश दाखवत होता.
[IRV | MR | OT | Job | Chapter 29 | Verse 4] अहो, माझ्या चागल्या फलदायी दिवसाची मी आशा करतो. त्या दिवसात माझ्यावर देवाचे मित्रत्वाचे कृपाछत्र होते.
[IRV | MR | OT | Job | Chapter 29 | Verse 5] जेव्हा सर्वशक्तिमान देव माझ्याबरोबर होता आणि माझी मुले माझ्याजवळ होती त्या दिवसाची मी आशा धरतो.
[IRV | MR | OT | Job | Chapter 29 | Verse 6] त्या दिवसात माझे आयुष्य अतिशय चांगले होते. मी माझे पाय मलईत धूत असे. माझ्याकडे उत्तम प्रकारची पुष्कळ तेल होते.
[IRV | MR | OT | Job | Chapter 29 | Verse 7] त्या दिवसात मी नगराच्या वेशीपर्यंत जात असे आणि नगरातल्या वृध्दांबरोबर सार्वजनिक ठिकाणी बसत असे.
[IRV | MR | OT | Job | Chapter 29 | Verse 8] सगळे लोक मला मान देत. मला येताना बघून तरुण माझ्या वाटेतून बाजूला होत आणि वृध्द उठून उभे राहत. मला आदर देण्यासाठी ते उठून उभे राहत असत.
[IRV | MR | OT | Job | Chapter 29 | Verse 9] अधिकारी बोलणे थांबवीत आणि इतरांना शांत राहण्याची सूचना देण्यासाठी तोंडावर बोट ठेवीत.
[IRV | MR | OT | Job | Chapter 29 | Verse 10] सरदार मनुष्य सुध्दा बोलताना त्यांचा आवाज लहान करीत. होय, तेव्हा त्यांची जीभ टाळूला चिकटण्यासारखी वाटे.
[IRV | MR | OT | Job | Chapter 29 | Verse 11] लोक माझ्या बोलण्याकडे लक्ष देत. आणि माझ्याबद्दल चांगले बोलत असत. मला भेटणारा प्रत्येकजण माझी स्तुती करी.
[IRV | MR | OT | Job | Chapter 29 | Verse 12] का? कारण जेव्हा एखादा गरीब मदतीची याचना करायचा तेव्हा मी त्यास मदत करीत असे आणि पोरक्या मुलाकडे लक्ष द्यायला कोणी नसले तर मी त्यास मदत करीत असे.
[IRV | MR | OT | Job | Chapter 29 | Verse 13] मृत्युपंथाला लागलेला मनुष्य मला आशीर्वाद देत असे. मी गरजू विधवांना मदत करीत असे.
[IRV | MR | OT | Job | Chapter 29 | Verse 14] सत्याने जगणे म्हणजे जणू माझे वस्त्र होते. माझे योग्य वागणे म्हणजे माझा अंगरखा आणि डोक्यावरची पगडी होती.
[IRV | MR | OT | Job | Chapter 29 | Verse 15] मी आंधळ्यांची दृष्टी होतो. त्यांना जिथे जायचे असेल तिथे मी घेऊन जात असे. मी अपंगांचे पाय होतो त्यांना हवे तिथे मी उचलून घेऊन जात असे.
[IRV | MR | OT | Job | Chapter 29 | Verse 16] गरीब लोकांस मी वडिलांसारखा वाटत असे. मला माहीत नसलेल्या लोकांसदेखील मी मदत करीत असे. मी कोर्टात न्याय मिळवून देण्यासाठी त्यांना मदत करीत असे.
[IRV | MR | OT | Job | Chapter 29 | Verse 17] मी दुष्ट लोकांचे सामर्थ्य नष्ट केले. मी निरपराध लोकांचा त्यांच्यापासून बचाव केला.
[IRV | MR | OT | Job | Chapter 29 | Verse 18] मला नेहमी वाटायचे मी खूप वर्षे जगेन, मला स्वत:च्या घरातच मृत्यू येईल.
[IRV | MR | OT | Job | Chapter 29 | Verse 19] मी खूप पाणी शोषून घेऊ शकणारी मुळे असलेल्या व ज्याच्या फांद्या दवाने ओल्या झालेल्या आहेत अशा झाडासारखा असेन, असे मला वाटत असे.
[IRV | MR | OT | Job | Chapter 29 | Verse 20] माझ्याठायी असलेला माझा सन्मान नेहमी टवटवीत आहे, आणि माझ्या शक्तीचे धनुष्य माझ्या हातात नवे केले जात आहे.
[IRV | MR | OT | Job | Chapter 29 | Verse 21] पूर्वी लोक माझे ऐकत असत माझ्या उपदेशाची वाट पाहत ते शांत बसत.
[IRV | MR | OT | Job | Chapter 29 | Verse 22] मी माझे बोलणे संपवल्यानंतर ऐकणाऱ्यांना आणखी काही बोलायचे नसे. माझे शब्द त्यांच्या कानावर हळूवारपणे पडत.
[IRV | MR | OT | Job | Chapter 29 | Verse 23] पावसाची वाट पाहिल्यासारखी ते माझ्या बोलण्याची वाट पाहात. वसंतातल्या पावसासारखे ते माझे शब्द पिऊन टाकत.
[IRV | MR | OT | Job | Chapter 29 | Verse 24] काही लोकांनी आशा सोडून दिली होती. परंतु मी त्यांच्याबरोबर हसलो. माझ्या हास्याने त्याना बरे वाटले.
[IRV | MR | OT | Job | Chapter 29 | Verse 25] मी त्यांचा प्रमुख असूनही त्यांच्याबरोबर राहण्याचे ठरवले. आपल्या सैन्याबरोबर तळ ठोकून बसलेल्या राजासारखा दु:खी असलेल्यांचे सांत्वन करणाऱ्या राजासारखा मी होतो.”
