[IRV | MR | OT | Job | Chapter 39 | Verse 1] रानशेळी कधी व्यायतात ते तुला माहीत आहे का? हरीणी आपल्या बछड्याला जन्म देताना तू पाहिले आहेस का?
[IRV | MR | OT | Job | Chapter 39 | Verse 2] पहाडी बकरी आणि हरीणी किती महिने आपल्या पिलांना पोटात वाढवतात ते तुला माहीत आहे का? त्यांची जन्माला यायची वेळ कोणती ते तुला माहीत आहे का?
[IRV | MR | OT | Job | Chapter 39 | Verse 3] ते प्राणी लोळतात प्रसूतिवेदना सहन करतात आणि त्यांची पिल्ले जन्माला येतात.
[IRV | MR | OT | Job | Chapter 39 | Verse 4] ती बछडी शेतात मोठी होतात. नंतर ती सोडून जातात आणि पुन्हा कधीही परतून येत नाहीत.
[IRV | MR | OT | Job | Chapter 39 | Verse 5] रानटी गाढवांना कोणी सोडून दिले? त्यांची दोरी सोडून त्यांना कोणी मोकळे केले?
[IRV | MR | OT | Job | Chapter 39 | Verse 6] ज्याला मी वाळवंटात घर दिले, मी त्यांना राहण्यासाठी क्षारभूमी दिली.
[IRV | MR | OT | Job | Chapter 39 | Verse 7] गजबजलेल्या शहरांना हसतात (त्याला शहरातला गजबजाट आवडत नाही) आणि त्यांना कुठलाही मनुष्य आव घालू शकत नाही.
[IRV | MR | OT | Job | Chapter 39 | Verse 8] ते डोंगरात राहतात तेच त्यांचे कुरण आहे. ते आपले अन्न तिथेच शोधतात.
[IRV | MR | OT | Job | Chapter 39 | Verse 9] रानटी बैल तुझी सेवा करायला तयार होईल का? तो रात्री तुझ्या खळ्यावर राहील का?
[IRV | MR | OT | Job | Chapter 39 | Verse 10] दोरीने तुला रानटी बैलाला ताब्यात करता येईल काय? आणि तू त्यास तुझे शेत नांगरायला लावू शकशील का?
[IRV | MR | OT | Job | Chapter 39 | Verse 11] तो खूप बलवान असतो त्याच्यावर तू भरवसा ठेवशील काय, तू तुझे काम त्यांच्यानवर सोपवशील का?
[IRV | MR | OT | Job | Chapter 39 | Verse 12] तो तुझे धान्य शेतातून गोळा करेल आणि खळ्यात नेईल असा भरवसा तुला वाटतो का?
[IRV | MR | OT | Job | Chapter 39 | Verse 13] “शहामृगी आपले पंख आनंदाने फडफडवते परंतु तिला उडता येत नाही तिचे पंख आणि पिसे माया करायच्या कामी पडतात काय?
[IRV | MR | OT | Job | Chapter 39 | Verse 14] ती आपली अंडी जमिनीत घालते आणि ती वाळूत उबदार होतात.
[IRV | MR | OT | Job | Chapter 39 | Verse 15] आपल्या अंड्यांवरुन कोणी चालत जाईल किंवा रानटी प्राणी ती फोडतील हे ती विसरते.
[IRV | MR | OT | Job | Chapter 39 | Verse 16] ती आपल्या पिलांना सोडून जाते ती जणू स्वत:ची नाहीतच असे ती वागते. तिची पिल्ले मरण पावली तरी तिला त्याची पर्वा नसते काम निष्कळ झाल्याचे सुखदु:ख तिला नसते.
[IRV | MR | OT | Job | Chapter 39 | Verse 17] कारण मी देवाने तिला शहाणे केले नाही. आणि मीच तिला समज दिली नाही.
[IRV | MR | OT | Job | Chapter 39 | Verse 18] परंतु ती जेव्हा पळण्यासाठी उठते तेव्हा ती घोड्याला आणि घोडेस्वाराला हसते,
[IRV | MR | OT | Job | Chapter 39 | Verse 19] तू घोड्याला त्याची शक्ती दिलीस का? तू त्याच्या मानेवर त्याची आयाळ ठेवलीस का?
[IRV | MR | OT | Job | Chapter 39 | Verse 20] तू त्यास टोळाप्रमाणे लांब उडी मारायला सांगितलेस का? तो जोरात फुरफुरतो आणि लोक त्यास घाबरतात.
[IRV | MR | OT | Job | Chapter 39 | Verse 21] तो बलवान आहे म्हणून आनंदात असतो. तो आपल्या खुराने जमीन उकरतो आणि धावत युध्दभूमीवर जातो.
[IRV | MR | OT | Job | Chapter 39 | Verse 22] तो भीतीला हसतो, तो कशालाही भीत नाही तो युध्दातून कधीही पळ काढीत नाही.
[IRV | MR | OT | Job | Chapter 39 | Verse 23] सैनिकाचा भाता त्याच्या बाजूला हलत असतो त्याचा स्वार जे भाले आणि इतर शस्त्रे बाळगतो ते उन्हात चमकतात.
[IRV | MR | OT | Job | Chapter 39 | Verse 24] तो फार अनावर होतो. तो जमिनीवर जोरात धावतो तो जेव्हा रणशिंग फुंकलेले ऐकतो तेव्हा तो एका स्थळी स्थिर राहू शकत नाही.
[IRV | MR | OT | Job | Chapter 39 | Verse 25] रणशिंग ऐकू येते तेव्हा घोडा घाई करतो. त्यास दुरुनही लढाईचा वास येतो. सेनापतींनी दिलेल्या आज्ञा आणि युध्दातले इतर अनेक आवाज त्यास ऐकू येतात.
[IRV | MR | OT | Job | Chapter 39 | Verse 26] तू ज्ञानाने तू ससाण्याला पंख पसरुन दक्षिणेकडे उडायला शिकवलेस का?
[IRV | MR | OT | Job | Chapter 39 | Verse 27] आकाशात गरुडाला उंच उडायला शिकवणारा तूच का? तूच त्यास त्याचे घरटे उंच पहाडावर बांधायला सांगितलेस का?
[IRV | MR | OT | Job | Chapter 39 | Verse 28] तो उंच सुळक्यावर राहतो तीच त्याची तटबंदी आहे
[IRV | MR | OT | Job | Chapter 39 | Verse 29] त्याच्या तटबंदीवरुन आपले भक्ष्य शोधतो. गरुडाला एवढ्या उंचीवरुन आपले भक्ष्य दिसू शकते.
[IRV | MR | OT | Job | Chapter 39 | Verse 30] जेथे लोक मरण पावलेले असतात तेथे त्यांची पिल्ले रक्त पितात.”
