[YLT | EN | OT | Proverbs | Chapter 6 | Verse 1] My son! if thou hast been surety for thy friend, Hast stricken for a stranger thy hand,
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 2] Hast been snared with sayings of thy mouth, Hast been captured with sayings of thy mouth,
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 3] Do this now, my son, and be delivered, For thou hast come into the hand of thy friend. Go, trample on thyself, and strengthen thy friend,
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 4] Give not sleep to thine eyes, And slumber to thine eyelids,
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 5] Be delivered as a roe from the hand, And as a bird from the hand of a fowler.
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 6] Go unto the ant, O slothful one, See her ways and be wise;
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 7] Which hath not captain, overseer, and ruler,
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 8] She doth prepare in summer her bread, She hath gathered in harvest her food.
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 9] Till when, O slothful one, dost thou lie? When dost thou arise from thy sleep?
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 10] A little sleep, a little slumber, A little clasping of the hands to rest,
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 11] And thy poverty hath come as a traveller, And thy want as an armed man.
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 12] A man of worthlessness, a man of iniquity, Walking [with] perverseness of mouth,
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 13] Winking with his eyes, speaking with his feet, Directing with his fingers,
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 14] Frowardness [is] in his heart, devising evil at all times, Contentions he sendeth forth.
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 15] Therefore suddenly cometh his calamity, Instantly he is broken — and no healing.
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 16] These six hath Jehovah hated, Yea, seven [are] abominations to His soul.
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 17] Eyes high — tongues false — And hands shedding innocent blood —
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 18] A heart devising thoughts of vanity — Feet hasting to run to evil —
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 19] A false witness [who] doth breathe out lies — And one sending forth contentions between brethren.
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 20] Keep, my son, the command of thy father, And leave not the law of thy mother.
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 21] Bind them on thy heart continually, Tie them on thy neck.
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 22] In thy going up and down, it leadeth thee, In thy lying down, it watcheth over thee, And thou hast awaked — it talketh [with] thee.
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 23] For a lamp [is] the command, And the law a light, And a way of life [are] reproofs of instruction,
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 24] To preserve thee from an evil woman, From the flattery of the tongue of a strange woman.
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 25] Desire not her beauty in thy heart, And let her not take thee with her eyelids.
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 26] For a harlot consumeth unto a cake of bread, And an adulteress the precious soul hunteth.
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 27] Doth a man take fire into his bosom, And are his garments not burnt?
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 28] Doth a man walk on the hot coals, And are his feet not scorched?
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 29] So [is] he who hath gone in unto the wife of his neighbour, None who doth touch her is innocent.
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 30] They do not despise the thief, When he stealeth to fill his soul when he is hungry,
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 31] And being found he repayeth sevenfold, All the substance of his house he giveth.
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 32] He who committeth adultery [with] a woman lacketh heart, He is destroying his soul who doth it.
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 33] A stroke and shame he doth find, And his reproach is not wiped away,
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 34] For jealousy [is] the fury of a man, And he doth not spare in a day of vengeance.
[YLT | EN | OT | Proverbs | Chapter 6 | Verse 35] He accepteth not the appearance of any atonement, Yea, he doth not consent, Though thou dost multiply bribes!
