[YLT | EN | OT | Proverbs | Chapter 29 | Verse 1] A man often reproved, hardening the neck, Is suddenly broken, and there is no healing.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 2] In the multiplying of the righteous the people rejoice, And in the ruling of the wicked the people sigh.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 3] A man loving wisdom rejoiceth his father, And a friend of harlots destroyeth wealth.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 4] A king by judgment establisheth a land, And one receiving gifts throweth it down.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 5] A man taking a portion above his neighbour, Spreadeth a net for his own steps.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 6] In the transgression of the evil [is] a snare, And the righteous doth sing and rejoice.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 7] The righteous knoweth the plea of the poor, The wicked understandeth not knowledge.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 8] Men of scorning ensnare a city, And the wise turn back anger.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 9] A wise man is judged by the foolish man, And he hath been angry, And he hath laughed, and there is no rest.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 10] Men of blood hate the perfect, And the upright seek his soul.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 11] A fool bringeth out all his mind, And the wise till afterwards restraineth it.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 12] A ruler who is attending to lying words, All his ministers [are] wicked.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 13] The poor and the man of frauds have met together, Jehovah is enlightening the eyes of them both.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 14] a king that is judging truly the poor, His throne for ever is established.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 15] A rod and reproof give wisdom, And a youth let away is shaming his mother.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 16] In the multiplying of the wicked transgression multiplieth, And the righteous on their fall do look.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 17] Chastise thy son, and he giveth thee comfort, Yea, he giveth delights to thy soul.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 18] Without a Vision is a people made naked, And whoso is keeping the law, O his happiness!
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 19] By words a servant is not instructed though he understand, And there is nothing answering.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 20] Thou hast seen a man hasty in his words! More hope of a fool than of him.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 21] Whoso is bringing up his servant delicately, from youth, [At] his latter end also he is continuator.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 22] An angry man stirreth up contention, And a furious man is multiplying transgression.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 23] The pride of man humbleth him, And humility of spirit upholdeth honour.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 24] Whoso is sharing with a thief is hating his own soul, Execration he heareth, and telleth not.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 25] Fear of man causeth a snare, And the confident in Jehovah is set on high.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 26] Many are seeking the face of a ruler, And from Jehovah [is] the judgment of each.
[YLT | EN | OT | Proverbs | Chapter 29 | Verse 27] An abomination to the righteous [is] the perverse man, And an abomination to the wicked [is] the upright in the way!
