[YLT | EN | OT | Proverbs | Chapter 2 | Verse 1] My son, if thou dost accept my sayings, And my commands dost lay up with thee,
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 2] To cause thine ear to attend to wisdom, Thou inclinest thy heart to understanding,
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 3] For, if for intelligence thou callest, For understanding givest forth thy voice,
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 4] If thou dost seek her as silver, And as hid treasures searchest for her,
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 5] Then understandest thou fear of Jehovah, And knowledge of God thou findest.
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 6] For Jehovah giveth wisdom, From His mouth knowledge and understanding.
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 7] Even to lay up for the upright substance, A shield for those walking uprightly.
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 8] To keep the paths of judgment, And the way of His saints He preserveth.
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 9] Then understandest thou righteousness, And judgment, and uprightness — every good path.
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 10] For wisdom cometh into thy heart, And knowledge to thy soul is pleasant,
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 11] Thoughtfulness doth watch over thee, Understanding doth keep thee,
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 12] To deliver thee from an evil way, From any speaking froward things,
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 13] Who are forsaking paths of uprightness, To walk in ways of darkness,
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 14] Who are rejoicing to do evil, They delight in frowardness of the wicked,
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 15] Whose paths [are] crooked, Yea, they are perverted in their ways.
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 16] To deliver thee from the strange woman, From the stranger who hath made smooth her sayings,
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 17] Who is forsaking the guide of her youth, And the covenant of her God hath forgotten.
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 18] For her house hath inclined unto death, And unto Rephaim her paths.
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 19] None going in unto her turn back, Nor do they reach the paths of life.
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 20] That thou dost go in the way of the good, And the paths of the righteous dost keep.
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 21] For the upright do inhabit the earth, And the perfect are left in it,
[YLT | EN | OT | Proverbs | Chapter 2 | Verse 22] And the wicked from the earth are cut off, And treacherous dealers plucked out of it!
