[YLT | EN | OT | Proverbs | Chapter 17 | Verse 1] Better [is] a dry morsel, and rest with it, Than a house full of the sacrifices of strife.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 2] A wise servant ruleth over a son causing shame, And in the midst of brethren He apportioneth an inheritance.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 3] A refining pot [is] for silver, and a furnace for gold, And the trier of hearts [is] Jehovah.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 4] An evil doer is attentive to lips of vanity, Falsehood is giving ear to a mischievous tongue.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 5] Whoso is mocking at the poor Hath reproached his Maker, Whoso is rejoicing at calamity is not acquitted.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 6] Sons' sons [are] the crown of old men, And the glory of sons [are] their fathers.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 7] Not comely for a fool is a lip of excellency, Much less for a noble a lip of falsehood.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 8] A stone of grace [is] the bribe in the eyes of its possessors, Whithersoever it turneth, it prospereth.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 9] Whoso is covering transgression is seeking love, And whoso is repeating a matter Is separating a familiar friend.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 10] Rebuke cometh down on the intelligent More than a hundred stripes on a fool.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 11] An evil man seeketh only rebellion, And a fierce messenger is sent against him.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 12] The meeting of a bereaved bear by a man, And — not a fool in his folly.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 13] Whoso is returning evil for good, Evil moveth not from his house.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 14] The beginning of contention [is] a letting out of waters, And before it is meddled with leave the strife.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 15] Whoso is justifying the wicked, And condemning the righteous, Even both of these [are] an abomination to Jehovah.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 16] Why [is] this — a price in the hand of a fool to buy wisdom, And a heart there is none?
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 17] At all times is the friend loving, And a brother for adversity is born.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 18] A man lacking heart is striking hands, A surety he becometh before his friend.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 19] Whoso is loving transgression is loving debate, Whoso is making high his entrance is seeking destruction.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 20] The perverse of heart findeth not good, And the turned in his tongue falleth into evil.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 21] Whoso is begetting a fool hath affliction for it, Yea, the father of a fool rejoiceth not.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 22] A rejoicing heart doth good to the body, And a smitten spirit drieth the bone.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 23] A bribe from the bosom the wicked taketh, To turn aside the paths of judgment.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 24] The face of the intelligent [is] to wisdom, And the eyes of a fool — at the end of the earth.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 25] A provocation to his father [is] a foolish son, And bitterness to her that bare him.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 26] Also, to fine the righteous is not good, To smite nobles for uprightness.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 27] One acquainted with knowledge is sparing his words, And the cool of temper [is] a man of understanding.
[YLT | EN | OT | Proverbs | Chapter 17 | Verse 28] Even a fool keeping silence is reckoned wise, He who is shutting his lips intelligent!
