[YLT | EN | OT | Proverbs | Chapter 21 | Verse 1] Rivulets of waters [is] the heart of a king in the hand of Jehovah, Wherever He pleaseth He inclineth it.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 2] Every way of a man [is] right in his own eyes, And Jehovah is pondering hearts.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 3] To do righteousness and judgment, Is chosen of Jehovah rather than sacrifice.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 4] Loftiness of eyes, and breadth of heart, Tillage of the wicked [is] sin.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 5] The purposes of the diligent [are] only to advantage, And of every hasty one, only to want.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 6] The making of treasures by a lying tongue, [Is] a vanity driven away of those seeking death.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 7] The spoil of the wicked catcheth them, Because they have refused to do judgment.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 8] Froward [is] the way of a man who is vile, And the pure — upright [is] his work.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 9] Better to sit on a corner of the roof, Than [with] a woman of contentions and a house of company.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 10] The soul of the wicked hath desired evil, Not gracious in his eyes is his neighbour.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 11] When the scorner is punished, the simple becometh wise, And in giving understanding to the wise He receiveth knowledge.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 12] The Righteous One is acting wisely Towards the house of the wicked, He is overthrowing the wicked for wickedness.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 13] Whoso is shutting his ear from the cry of the poor, He also doth cry, and is not answered.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 14] A gift in secret pacifieth anger, And a bribe in the bosom strong fury.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 15] To do justice [is] joy to the righteous, But ruin to workers of iniquity.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 16] A man who is wandering from the way of understanding, In an assembly of Rephaim resteth.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 17] Whoso [is] loving mirth [is] a poor man, Whoso is loving wine and oil maketh no wealth.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 18] The wicked [is] an atonement for the righteous, And for the upright the treacherous dealer.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 19] Better to dwell in a wilderness land, Than [with] a woman of contentions and anger.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 20] A treasure to be desired, and oil, [Is] in the habitation of the wise, And a foolish man swalloweth it up.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 21] Whoso is pursuing righteousness and kindness, Findeth life, righteousness, and honour.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 22] A city of the mighty hath the wise gone up, And bringeth down the strength of its confidence.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 23] Whoso is keeping his mouth and his tongue, Is keeping from adversities his soul.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 24] Proud, haughty, scorner [is] his name, Who is working in the wrath of pride.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 25] The desire of the slothful slayeth him, For his hands have refused to work.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 26] All the day desiring he hath desired, And the righteous giveth and withholdeth not.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 27] The sacrifice of the wicked [is] abomination, Much more when in wickedness he bringeth it.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 28] A false witness doth perish, And an attentive man for ever speaketh.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 29] A wicked man hath hardened by his face, And the upright — he prepareth his way.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 30] There is no wisdom, nor understanding, Nor counsel, over-against Jehovah.
[YLT | EN | OT | Proverbs | Chapter 21 | Verse 31] A horse is prepared for a day of battle, And the deliverance [is] of Jehovah!
