[YLT | EN | OT | Proverbs | Chapter 10 | Verse 1] Proverbs of Solomon. A wise son causeth a father to rejoice, And a foolish son [is] an affliction to his mother.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 2] Treasures of wickedness profit not, And righteousness delivereth from death.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 3] Jehovah causeth not the soul of the righteous to hunger, And the desire of the wicked He thrusteth away.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 4] Poor [is] he who is working — a slothful hand, And the hand of the diligent maketh rich.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 5] Whoso is gathering in summer [is] a wise son, Whoso is sleeping in harvest [is] a son causing shame.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 6] Blessings [are] for the head of the righteous, And the mouth of the wicked cover doth violence.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 7] The remembrance of the righteous [is] for a blessing, And the name of the wicked doth rot.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 8] The wise in heart accepteth commands, And a talkative fool kicketh.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 9] Whoso is walking in integrity walketh confidently, And whoso is perverting his ways is known.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 10] Whoso is winking the eye giveth grief, And a talkative fool kicketh.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 11] A fountain of life [is] the mouth of the righteous, And the mouth of the wicked cover doth violence.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 12] Hatred awaketh contentions, And over all transgressions love covereth.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 13] In the lips of the intelligent is wisdom found, And a rod [is] for the back of him who is lacking understanding.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 14] The wise lay up knowledge, and the mouth of a fool [is] near ruin.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 15] The wealth of the rich [is] his strong city, The ruin of the poor [is] their poverty.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 16] The wage of the righteous [is] for life, The increase of the wicked for sin.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 17] A traveller to life [is] he who is keeping instruction, And whoso is forsaking rebuke is erring.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 18] Whoso is covering hatred with lying lips, And whoso is bringing out an evil report is a fool.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 19] In the abundance of words transgression ceaseth not, And whoso is restraining his lips [is] wise.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 20] The tongue of the righteous [is] chosen silver, The heart of the wicked — as a little thing.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 21] The lips of the righteous delight many, And fools for lack of heart die.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 22] The blessing of Jehovah — it maketh rich, And He addeth no grief with it.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 23] To execute inventions [is] as play to a fool, And wisdom to a man of understanding.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 24] The feared thing of the wicked it meeteth him, And the desire of the righteous is given.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 25] As the passing by of a hurricane, So the wicked is not, And the righteous is a foundation age-during.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 26] As vinegar to the teeth, And as smoke to the eyes, So [is] the slothful to those sending him.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 27] The fear of Jehovah addeth days, And the years of the wicked are shortened.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 28] The hope of the righteous [is] joyful, And the expectation of the wicked perisheth.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 29] The way of Jehovah [is] strength to the perfect, And ruin to workers of iniquity.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 30] The righteous to the age is not moved, And the wicked inhabit not the earth.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 31] The mouth of the righteous uttereth wisdom, And the tongue of frowardness is cut out.
[YLT | EN | OT | Proverbs | Chapter 10 | Verse 32] The lips of the righteous know a pleasing thing, And the mouth of the wicked perverseness!
