[YLT | EN | OT | Proverbs | Chapter 31 | Verse 1] Words of Lemuel a king, a declaration that his mother taught him:
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 2] 'What, my son? and what, son of my womb? And what, son of my vows?
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 3] Give not to women thy strength, And thy ways to wiping away of kings.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 4] Not for kings, O Lemuel, Not for kings, to drink wine, And for princes a desire of strong drink.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 5] Lest he drink, and forget the decree, And change the judgment of any of the sons of affliction.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 6] Give strong drink to the perishing, And wine to the bitter in soul,
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 7] He drinketh, and forgetteth his poverty, And his misery he remembereth not again.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 8] Open thy mouth for the dumb, For the right of all sons of change.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 9] Open thy mouth, judge righteously, Both the cause of the poor and needy!'
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 10] A woman of worth who doth find? Yea, far above rubies [is] her price.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 11] The heart of her husband hath trusted in her, And spoil he lacketh not.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 12] She hath done him good, and not evil, All days of her life.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 13] She hath sought wool and flax, And with delight she worketh [with] her hands.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 14] She hath been as ships of the merchant, From afar she bringeth in her bread.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 15] Yea, she riseth while yet night, And giveth food to her household, And a portion to her damsels.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 16] She hath considered a field, and taketh it, From the fruit of her hands she hath planted a vineyard.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 17] She hath girded with might her loins, And doth strengthen her arms.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 18] She hath perceived when her merchandise [is] good, Her lamp is not extinguished in the night.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 19] Her hands she hath sent forth on a spindle, And her hands have held a distaff.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 20] Her hand she hath spread forth to the poor, Yea, her hands she sent forth to the needy.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 21] She is not afraid of her household from snow, For all her household are clothed [with] scarlet.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 22] Ornamental coverings she hath made for herself, Silk and purple [are] her clothing.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 23] Known in the gates is her husband, In his sitting with elders of the land.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 24] Linen garments she hath made, and selleth, And a girdle she hath given to the merchant.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 25] Strength and honour [are] her clothing, And she rejoiceth at a latter day.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 26] Her mouth she hath opened in wisdom, And the law of kindness [is] on her tongue.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 27] She [is] watching the ways of her household, And bread of sloth she eateth not.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 28] Her sons have risen up, and pronounce her happy, Her husband, and he praiseth her,
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 29] 'Many [are] the daughters who have done worthily, Thou hast gone up above them all.'
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 30] The grace [is] false, and the beauty [is] vain, A woman fearing Jehovah, she may boast herself.
[YLT | EN | OT | Proverbs | Chapter 31 | Verse 31] Give ye to her of the fruit of her hands, And her works do praise her in the gates!
