[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 1] وَبَنْيَامِينُ وَلَدَ: بَالَعَ بِكْرَهُ، وَأَشْبِيلَ ٱلثَّانِي، وَأَخْرَخَ ٱلثَّالِثَ،
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 2] وَنُوحَةَ ٱلرَّابِعَ، وَرَافَا ٱلْخَامِسَ.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 3] وَكَانَ بَنُو بَالَعَ: أَدَّارَ وَجَيْرَا وَأَبِيهُودَ
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 4] وَأَبِيشُوعَ وَنُعْمَانَ وَأَخُوخَ
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 5] وَحَيْرَا وَشَفُوفَانَ وَحُورَامَ.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 6] وَهَؤُلَاءِ بَنُو آحُودَ. هَؤُلَاءِ رُؤُوسُ آبَاءِ سُكَّانِ جَبْعَ، وَنَقَلُوهُمْ إِلَى مَنَاحَةَ،
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 7] أَيْ: نُعْمَانُ وَأَخِيَا. وَجَيْرَا هُوَ نَقَلَهُمْ، وَوَلَدَ: عُزَّا وَأَخِيحُودَ.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 8] وَشَحْرَايِمُ وَلَدَ فِي بِلَادِ مُوآبَ بَعْدَ إِطْلَاقِهِ ٱمْرَأَتَيْهِ حُوشِيمَ وَبَعْرَا.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 9] وَوَلَدَ مِنْ خُودَشَ ٱمْرَأَتِهِ: يُوبَابَ وَظِبْيَا وَمَيْشَا وَمَلْكَامَ
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 10] وَيَعُوصَ وَشَبْيَا وَمِرْمَةَ. هَؤُلَاءِ بَنُو رُؤُوسِ آبَاءٍ.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 11] وَمِنْ حُوشِيمَ وَلَدَ: أَبِيطُوبَ وَأَلْفَعَلَ.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 12] وَبَنُو أَلْفَعَلَ: عَابِرُ وَمِشْعَامُ وَشَامِرُ، وَهُوَ بَنَى أُونُوَ وَلُودَ وَقُرَاهَا.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 13] وَبَرِيعَةُ وَشَمَعُ. هُمَا رَأْسَا آبَاءٍ لِسُكَّانِ أَيَّلُونَ، وَهُمَا طَرَدَا سُكَّانَ جَتَّ.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 14] وَأَخِيُو وَشَاشَقُ وَيَرِيمُوتُ
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 15] وَزَبَدْيَا وَعَرَادُ وَعَادَرُ
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 16] وَمِيخَائِيلُ وَيِشْفَةُ وَيُوخَا، أَبْنَاءُ بَرِيعَةَ.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 17] وَزَبَدْيَا وَمَشُلَّامُ وَحَزْقِي وَحَابِرُ
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 18] وَيِشْمَرَايُ وَيَزَلْيَاهُ وَيُوبَابُ، أَبْنَاءُ أَلْفَعَلَ.
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 19] وَيَاقِيمُ وَزِكْرِي وَزَبْدِي
[VANDYKE | AR | OT | 1 Chronicles | Chapter 8 | Verse 20] وَأَلِيعِينَايُ وَصِلَّتَايُ وَإِيلِيئِيلُ
