[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 1] Then the people of the land took Jehoahaz son of Josiah and made him king in Jerusalem in place of his father.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 2] Jehoahaz was twenty-three years old when he became king, and he reigned in Jerusalem three months.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 3] And the king of Egypt dethroned him in Jerusalem and imposed on Judah a levy of a hundred talents of silver and a talent of gold.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 4] Then Neco king of Egypt made Eliakim brother of Jehoahaz king over Judah and Jerusalem, and he changed Eliakim’s name to Jehoiakim. But Neco took Eliakim’s brother Jehoahaz and carried him off to Egypt.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 5] Jehoiakim was twenty-five years old when he became king, and he reigned in Jerusalem eleven years. And he did evil in the sight of the LORD his God.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 6] Then Nebuchadnezzar king of Babylon came up against Jehoiakim and bound him with bronze shackles to take him to Babylon.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 7] Nebuchadnezzar also took to Babylon some of the articles from the house of the LORD, and he put them in his temple in Babylon.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 8] As for the rest of the acts of Jehoiakim, the abominations he committed, and all that was found against him, they are indeed written in the Book of the Kings of Israel and Judah. And his son Jehoiachin reigned in his place.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 9] Jehoiachin was eighteen years old when he became king, and he reigned in Jerusalem three months and ten days. And he did evil in the sight of the LORD.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 10] In the spring, King Nebuchadnezzar summoned Jehoiachin and brought him to Babylon, along with the articles of value from the house of the LORD. And he made Jehoiachin’s relative Zedekiah king over Judah and Jerusalem.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 11] Zedekiah was twenty-one years old when he became king, and he reigned in Jerusalem eleven years.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 12] And he did evil in the sight of the LORD his God and did not humble himself before Jeremiah the prophet, who spoke for the LORD.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 13] He also rebelled against King Nebuchadnezzar, who had made him swear by God. But Zedekiah stiffened his neck and hardened his heart against turning to the LORD, the God of Israel.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 14] Furthermore, all the leaders of the priests and the people multiplied their unfaithful deeds, following all the abominations of the nations, and they defiled the house of the LORD, which He had consecrated in Jerusalem.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 15] Again and again the LORD, the God of their fathers, sent word to His people through His messengers because He had compassion on them and on His dwelling place.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 16] But they mocked the messengers of God, despising His words and scoffing at His prophets, until the wrath of the LORD against His people was stirred up beyond remedy.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 17] So He brought up against them the king of the Chaldeans, who put their young men to the sword in the sanctuary, sparing neither young men nor young women, neither elderly nor infirm. God gave them all into the hand of Nebuchadnezzar,
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 18] who carried off everything to Babylon—all the articles of the house of God, both large and small, and the treasures of the house of the LORD and of the king and his officials.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 19] Then the Chaldeans set fire to the house of God and broke down the wall of Jerusalem. They burned down all the palaces and destroyed every article of value.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 20] Those who escaped the sword were carried by Nebuchadnezzar into exile in Babylon, and they became servants to him and his sons until the kingdom of Persia came to power.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 21] So the land enjoyed its Sabbath rest all the days of the desolation, until seventy years were completed, in fulfillment of the word of the LORD through Jeremiah.
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 22] In the first year of Cyrus king of Persia, to fulfill the word of the LORD spoken through Jeremiah, the LORD stirred the spirit of Cyrus king of Persia to send a proclamation throughout his kingdom and to put it in writing as follows:
[BSB | EN | OT | 2 Chronicles | Chapter 36 | Verse 23] “This is what Cyrus king of Persia says: ‘The LORD, the God of heaven, who has given me all the kingdoms of the earth, has appointed me to build a house for Him at Jerusalem in Judah. Whoever among you belongs to His people, may the LORD his God be with him, and may he go up.’”
