[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 1] He made a bronze altar twenty cubits long, twenty cubits wide, and ten cubits high.
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 2] He also made the Sea of cast metal. It was circular in shape, measuring ten cubits from rim to rim, five cubits in height, and thirty cubits in circumference.
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 3] Below the rim, figures of oxen encircled it, ten per cubit all the way around the Sea, cast in two rows as a part of the Sea.
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 4] The Sea stood on twelve oxen, three facing north, three facing west, three facing south, and three facing east. The Sea rested on them, with all their hindquarters toward the center.
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 5] It was a handbreadth thick, and its rim was fashioned like the brim of a cup, like a lily blossom. It could hold three thousand baths.
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 6] He also made ten basins for washing and placed five on the south side and five on the north. The parts of the burnt offering were rinsed in them, but the priests used the Sea for washing.
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 7] He made ten gold lampstands according to their specifications and placed them in the temple, five on the south side and five on the north.
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 8] Additionally, he made ten tables and placed them in the temple, five on the south side and five on the north. He also made a hundred gold bowls.
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 9] He made the courtyard of the priests and the large court with its doors, and he overlaid the doors with bronze.
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 10] He put the Sea on the south side, at the southeast corner.
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 11] Additionally, Huram made the pots, shovels, and sprinkling bowls. So Huram finished the work that he had undertaken for King Solomon in the house of God:
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 12] the two pillars; the two bowl-shaped capitals atop the pillars; the two sets of network covering both bowls of the capitals atop the pillars;
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 13] the four hundred pomegranates for the two sets of network (two rows of pomegranates for each network covering both the bowl-shaped capitals atop the pillars);
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 14] the stands; the basins on the stands;
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 15] the Sea; the twelve oxen underneath the Sea;
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 16] and the pots, shovels, meat forks, and all the other articles. All these objects that Huram-abi made for King Solomon for the house of the LORD were of polished bronze.
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 17] The king had them cast in clay molds in the plain of the Jordan between Succoth and Zeredah.
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 18] Solomon made all these articles in such great abundance that the weight of the bronze could not be determined.
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 19] Solomon also made all the furnishings for the house of God: the golden altar; the tables on which was placed the Bread of the Presence;
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 20] the lampstands of pure gold and their lamps, to burn in front of the inner sanctuary as prescribed;
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 21] the flowers, lamps, and tongs of gold—of purest gold;
[BSB | EN | OT | 2 Chronicles | Chapter 4 | Verse 22] the wick trimmers, sprinkling bowls, ladles, and censers of purest gold; and the gold doors of the temple: the inner doors to the Most Holy Place as well as the doors of the main hall.
