[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 1] After this, the Moabites and Ammonites, together with some of the Meunites, came to make war against Jehoshaphat.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 2] Then some men came and told Jehoshaphat, “A vast army is coming against you from Edom, from beyond the Sea; they are already in Hazazon-tamar” (that is, En-gedi).
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 3] Jehoshaphat was alarmed and set his face to seek the LORD. And he proclaimed a fast throughout Judah.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 4] So the people of Judah gathered to seek the LORD, and indeed, they came from all the cities of Judah to seek Him.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 5] Then Jehoshaphat stood in the assembly of Judah and Jerusalem in the house of the LORD in front of the new courtyard
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 6] and said, “O LORD, God of our fathers, are You not the God who is in heaven, and do You not rule over all the kingdoms of the nations? Power and might are in Your hand, and no one can stand against You.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 7] Our God, did You not drive out the inhabitants of this land before Your people Israel and give it forever to the descendants of Abraham Your friend?
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 8] They have lived in the land and have built in it a sanctuary for Your Name, saying,
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 9] ‘If disaster comes upon us—whether sword or judgment, plague or famine—we will stand before this temple and before You, for Your Name is in this temple. We will cry out to You in our distress, and You will hear us and save us.’
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 10] And now, here are the men of Ammon, Moab, and Mount Seir, whom You did not let Israel invade when they came out of the land of Egypt; but Israel turned away from them and did not destroy them.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 11] See how they are repaying us by coming to drive us out of the possession that You gave us as an inheritance.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 12] Our God, will You not judge them? For we are powerless before this vast army that comes against us. We do not know what to do, but our eyes are upon You.”
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 13] Meanwhile all the men of Judah, with their wives and children and little ones, were standing before the LORD.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 14] Then the Spirit of the LORD came upon Jahaziel son of Zechariah, the son of Benaiah, the son of Jeiel, the son of Mattaniah, a Levite from Asaph’s descendants, as he stood in the midst of the assembly.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 15] And he said, “Listen, all you people of Judah and Jerusalem! Listen, King Jehoshaphat! This is what the LORD says: ‘Do not be afraid or discouraged because of this vast army, for the battle does not belong to you, but to God.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 16] Tomorrow you are to march down against them. You will see them coming up the Ascent of Ziz, and you will find them at the end of the valley facing the Wilderness of Jeruel.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 17] You need not fight this battle. Take up your positions, stand firm, and see the salvation of the LORD on your behalf, O Judah and Jerusalem. Do not be afraid or discouraged. Go out and face them tomorrow, for the LORD is with you.’”
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 18] Then Jehoshaphat bowed facedown, and all the people of Judah and Jerusalem fell down before the LORD to worship Him.
[BSB | EN | OT | 2 Chronicles | Chapter 20 | Verse 19] And the Levites from the Kohathites and Korahites stood up to praise the LORD, the God of Israel, shouting in a very loud voice.
