[BSB | EN | OT | 2 Chronicles | Chapter 10 | Verse 1] Then Rehoboam went to Shechem, for all Israel had gone there to make him king.
[BSB | EN | OT | 2 Chronicles | Chapter 10 | Verse 2] When Jeroboam son of Nebat heard about this, he returned from Egypt, where he had fled from King Solomon.
[BSB | EN | OT | 2 Chronicles | Chapter 10 | Verse 3] So they sent for Jeroboam, and he and all Israel came to Rehoboam and said,
[BSB | EN | OT | 2 Chronicles | Chapter 10 | Verse 4] “Your father put a heavy yoke on us. But now you should lighten the burden of your father’s service and the heavy yoke he put on us, and we will serve you.”
[BSB | EN | OT | 2 Chronicles | Chapter 10 | Verse 5] Rehoboam answered, “Come back to me in three days.” So the people departed.
[BSB | EN | OT | 2 Chronicles | Chapter 10 | Verse 6] Then King Rehoboam consulted with the elders who had served his father Solomon during his lifetime. “How do you advise me to respond to these people?” he asked.
[BSB | EN | OT | 2 Chronicles | Chapter 10 | Verse 7] They replied, “If you will be kind to these people and please them by speaking kind words to them, they will be your servants forever.”
[BSB | EN | OT | 2 Chronicles | Chapter 10 | Verse 8] But Rehoboam rejected the advice of the elders; instead, he consulted the young men who had grown up with him and served him.
[BSB | EN | OT | 2 Chronicles | Chapter 10 | Verse 9] He asked them, “What message do you advise that we send back to these people who have spoken to me, saying, ‘Lighten the yoke your father put on us’?”
[BSB | EN | OT | 2 Chronicles | Chapter 10 | Verse 10] The young men who had grown up with him replied, “This is how you should answer these people who said to you, ‘Your father made our yoke heavy, but you should make it lighter.’ This is what you should tell them: ‘My little finger is thicker than my father’s waist!
[BSB | EN | OT | 2 Chronicles | Chapter 10 | Verse 11] Whereas my father burdened you with a heavy yoke, I will add to your yoke. Whereas my father scourged you with whips, I will scourge you with scorpions.’”
[BSB | EN | OT | 2 Chronicles | Chapter 10 | Verse 12] After three days, Jeroboam and all the people returned to Rehoboam, since the king had said, “Come back to me on the third day.”
[BSB | EN | OT | 2 Chronicles | Chapter 10 | Verse 13] And the king answered them harshly. King Rehoboam rejected the advice of the elders
[BSB | EN | OT | 2 Chronicles | Chapter 10 | Verse 14] and spoke to them as the young men had advised, saying, “Whereas my father made your yoke heavy, I will add to your yoke. Whereas my father scourged you with whips, I will scourge you with scorpions.”
[BSB | EN | OT | 2 Chronicles | Chapter 10 | Verse 15] So the king did not listen to the people, and indeed this turn of events was from God, in order that the LORD might fulfill the word that He had spoken through Ahijah the Shilonite to Jeroboam son of Nebat.
[BSB | EN | OT | 2 Chronicles | Chapter 10 | Verse 16] When all Israel saw that the king had refused to listen to them, they answered the king: “What portion do we have in David, and what inheritance in the son of Jesse? To your tents, O Israel! Look now to your own house, O David!” So all the Israelites went home,
[BSB | EN | OT | 2 Chronicles | Chapter 10 | Verse 17] but Rehoboam still reigned over the Israelites living in the cities of Judah.
[BSB | EN | OT | 2 Chronicles | Chapter 10 | Verse 18] Then King Rehoboam sent out Hadoram, who was in charge of the forced labor, but the Israelites stoned him to death. And King Rehoboam mounted his chariot in haste and escaped to Jerusalem.
[BSB | EN | OT | 2 Chronicles | Chapter 10 | Verse 19] So to this day Israel has been in rebellion against the house of David.
