[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 1] When Rehoboam arrived in Jerusalem, he mobilized the house of Judah and Benjamin—180,000 chosen warriors—to fight against Israel and restore the kingdom to Rehoboam.
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 2] But the word of the LORD came to Shemaiah the man of God:
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 3] “Tell Rehoboam son of Solomon king of Judah and all the Israelites in Judah and Benjamin
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 4] that this is what the LORD says: ‘You are not to go up and fight against your brothers. Each of you must return home, for this word is from Me.’” So they listened to the words of the LORD and turned back from going against Jeroboam.
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 5] Rehoboam continued to live in Jerusalem, and he built up cities for defense in Judah.
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 6] He built up Bethlehem, Etam, Tekoa,
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 7] Beth-zur, Soco, Adullam,
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 8] Gath, Mareshah, Ziph,
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 9] Adoraim, Lachish, Azekah,
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 10] Zorah, Aijalon, and Hebron, the fortified cities in Judah and Benjamin.
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 11] He strengthened their fortresses and put officers in them, with supplies of food, oil, and wine.
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 12] He also put shields and spears in all the cities and strengthened them greatly. So Judah and Benjamin belonged to him.
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 13] Moreover, the priests and Levites from all their districts throughout Israel stood with Rehoboam.
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 14] For the Levites left their pasturelands and their possessions and went to Judah and Jerusalem, because Jeroboam and his sons had rejected them as priests of the LORD.
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 15] And Jeroboam appointed his own priests for the high places and for the goat demons and calf idols he had made.
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 16] Those from every tribe of Israel who had set their hearts to seek the LORD their God followed the Levites to Jerusalem to sacrifice to the LORD, the God of their fathers.
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 17] So they strengthened the kingdom of Judah and supported Rehoboam son of Solomon for three years, because they walked for three years in the way of David and Solomon.
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 18] And Rehoboam married Mahalath, who was the daughter of David’s son Jerimoth and of Abihail, the daughter of Jesse’s son Eliab.
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 19] She bore sons to him: Jeush, Shemariah, and Zaham.
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 20] After her, he married Maacah daughter of Absalom, and she bore to him Abijah, Attai, Ziza, and Shelomith.
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 21] Rehoboam loved Maacah daughter of Absalom more than all his wives and concubines. In all, he had eighteen wives and sixty concubines, and he was the father of twenty-eight sons and sixty daughters.
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 22] Rehoboam appointed Abijah son of Maacah as chief prince among his brothers, intending to make him king.
[BSB | EN | OT | 2 Chronicles | Chapter 11 | Verse 23] Rehoboam also acted wisely by dispersing some of his sons throughout the districts of Judah and Benjamin, and to all the fortified cities. He gave them abundant provisions and sought many wives for them.
