[BSB | EN | OT | 2 Chronicles | Chapter 8 | Verse 1] Now at the end of the twenty years during which Solomon had built the house of the LORD and his own palace,
[BSB | EN | OT | 2 Chronicles | Chapter 8 | Verse 2] Solomon rebuilt the cities Hiram had given him and settled Israelites there.
[BSB | EN | OT | 2 Chronicles | Chapter 8 | Verse 3] Then Solomon went to Hamath-zobah and captured it.
[BSB | EN | OT | 2 Chronicles | Chapter 8 | Verse 4] He built Tadmor in the wilderness, in addition to all the store cities that he had built in Hamath.
[BSB | EN | OT | 2 Chronicles | Chapter 8 | Verse 5] He rebuilt Upper and Lower Beth-horon as fortified cities with walls, gates, and bars,
[BSB | EN | OT | 2 Chronicles | Chapter 8 | Verse 6] as well as Baalath, all the store cities that belonged to Solomon, and all the cities for his chariots and horses —whatever he desired to build in Jerusalem, Lebanon, and throughout the land of his dominion.
[BSB | EN | OT | 2 Chronicles | Chapter 8 | Verse 7] As for all the people who remained of the Hittites, Amorites, Perizzites, Hivites, and Jebusites (the people who were not Israelites)—
[BSB | EN | OT | 2 Chronicles | Chapter 8 | Verse 8] their descendants who remained in the land, those whom the Israelites were unable to destroy—Solomon conscripted these people to be forced laborers, as they are to this day.
[BSB | EN | OT | 2 Chronicles | Chapter 8 | Verse 9] But Solomon did not consign any of the Israelites to slave labor, because they were his men of war, his officers and captains, and the commanders of his chariots and cavalry.
[BSB | EN | OT | 2 Chronicles | Chapter 8 | Verse 10] They were also the chief officers for King Solomon: 250 supervisors.
[BSB | EN | OT | 2 Chronicles | Chapter 8 | Verse 11] Solomon brought the daughter of Pharaoh up from the City of David to the palace he had built for her. For he said, “My wife must not live in the house of David king of Israel, because the places the ark of the LORD has entered are holy.”
[BSB | EN | OT | 2 Chronicles | Chapter 8 | Verse 12] At that time Solomon offered burnt offerings to the LORD on the altar of the LORD he had built in front of the portico.
[BSB | EN | OT | 2 Chronicles | Chapter 8 | Verse 13] He observed the daily requirement for offerings according to the commandment of Moses for Sabbaths, New Moons, and the three annual appointed feasts—the Feast of Unleavened Bread, the Feast of Weeks, and the Feast of Tabernacles.
[BSB | EN | OT | 2 Chronicles | Chapter 8 | Verse 14] In keeping with the ordinances of his father David, Solomon appointed the divisions of the priests over their service, and the Levites for their duties to offer praise and to minister before the priests according to the daily requirement. He also appointed gatekeepers by their divisions at each gate, for this had been the command of David, the man of God.
[BSB | EN | OT | 2 Chronicles | Chapter 8 | Verse 15] They did not turn aside from the king’s command regarding the priests or the Levites or any matter concerning the treasuries.
[BSB | EN | OT | 2 Chronicles | Chapter 8 | Verse 16] Thus all the work of Solomon was carried out, from the day the foundation was laid for the house of the LORD until it was finished. So the house of the LORD was completed.
[BSB | EN | OT | 2 Chronicles | Chapter 8 | Verse 17] Then Solomon went to Ezion-geber and to Eloth on the coast of Edom.
[BSB | EN | OT | 2 Chronicles | Chapter 8 | Verse 18] So Hiram sent him ships captained by his servants, along with crews of experienced sailors. They went with Solomon’s servants to Ophir and acquired from there 450 talents of gold, which they delivered to King Solomon.
