[IRV | PA | OT | Nahum | Chapter 1 | Verse 1] ਨੀਨਵਾਹ ਦੇ ਵਿਖੇ ਅਗੰਮ ਵਾਕ। ਅਲਕੋਸ਼ੀ ਨਹੂਮ ਦੇ ਦਰਸ਼ਣ ਦੀ ਪੋਥੀ।
[IRV | PA | OT | Nahum | Chapter 1 | Verse 2] ਯਹੋਵਾਹ ਅਣਖੀ ਅਤੇ ਬਦਲਾ ਲੈਣ ਵਾਲਾ ਪਰਮੇਸ਼ੁਰ ਹੈ, ਯਹੋਵਾਹ ਬਦਲਾ ਲੈਣ ਵਾਲਾ ਅਤੇ ਕ੍ਰੋਧ ਕਰਨ ਵਾਲਾ ਹੈ, ਯਹੋਵਾਹ ਆਪਣੇ ਵਿਰੋਧੀਆਂ ਤੋਂ ਬਦਲਾ ਲੈਣ ਵਾਲਾ ਹੈ ਅਤੇ ਆਪਣੇ ਵੈਰੀਆਂ ਲਈ ਕ੍ਰੋਧ ਰੱਖਦਾ ਹੈ!
[IRV | PA | OT | Nahum | Chapter 1 | Verse 3] ਯਹੋਵਾਹ ਕ੍ਰੋਧ ਵਿੱਚ ਧੀਰਜਵਾਨ ਅਤੇ ਬਲ ਵਿੱਚ ਮਹਾਨ ਹੈ ਅਤੇ ਦੋਸ਼ੀ ਨੂੰ ਕਦੇ ਵੀ ਨਿਰਦੋਸ਼ ਨਾ ਠਹਿਰਾਵੇਗਾ। ਯਹੋਵਾਹ ਦਾ ਰਾਹ ਵਾਵਰੋਲੇ ਅਤੇ ਤੂਫ਼ਾਨ ਵਿੱਚ ਹੈ ਅਤੇ ਬੱਦਲ ਉਹ ਦੇ ਚਰਨਾਂ ਦੀ ਧੂੜ ਹਨ।
[IRV | PA | OT | Nahum | Chapter 1 | Verse 4] ਉਹ ਸਮੁੰਦਰ ਨੂੰ ਝਿੜਕ ਕੇ ਉਸ ਨੂੰ ਸੁਕਾ ਦਿੰਦਾ ਹੈ, ਉਹ ਸਾਰੀਆਂ ਨਦੀਆਂ ਨੂੰ ਸੁਕਾ ਦਿੰਦਾ ਹੈ, ਬਾਸ਼ਾਨ ਅਤੇ ਕਰਮਲ ਕੁਮਲਾ ਜਾਂਦੇ ਹਨ ਅਤੇ ਲਬਾਨੋਨ ਦਾ ਫੁੱਲ ਮੁਰਝਾ ਜਾਂਦਾ ਹੈ।
[IRV | PA | OT | Nahum | Chapter 1 | Verse 5] ਪਰਬਤ ਉਹ ਦੇ ਅੱਗੇ ਕੰਬਦੇ ਹਨ, ਟਿੱਲੇ ਪਿਘਲ ਜਾਂਦੇ ਹਨ, ਧਰਤੀ ਉਹ ਦੇ ਅੱਗੇ ਕੰਬ ਜਾਂਦੀ ਹੈ, ਜਗਤ ਅਤੇ ਉਸ ਦੇ ਸਾਰੇ ਵਾਸੀ ਵੀ ਉਸ ਦੇ ਅੱਗੇ ਕੰਬ ਜਾਂਦੇ ਹਨ।
[IRV | PA | OT | Nahum | Chapter 1 | Verse 6] ਉਹ ਦੇ ਕਹਿਰ ਦੇ ਸਾਹਮਣੇ ਕੌਣ ਖੜ੍ਹਾ ਹੋ ਸਕਦਾ ਹੈ? ਉਹ ਦੇ ਕ੍ਰੋਧ ਦੀ ਤੇਜੀ ਨੂੰ ਕੌਣ ਝੱਲ ਸਕਦਾ ਹੈ? ਉਹ ਦਾ ਗੁੱਸਾ ਅੱਗ ਵਾਂਗੂੰ ਵਹਾਇਆ ਜਾਂਦਾ ਹੈ ਅਤੇ ਚਟਾਨਾਂ ਉਸ ਤੋਂ ਚੀਰੀਆਂ ਜਾਂਦੀਆਂ ਹਨ!
[IRV | PA | OT | Nahum | Chapter 1 | Verse 7] ਯਹੋਵਾਹ ਭਲਾ ਹੈ, ਦੁੱਖ ਦੇ ਦਿਨ ਵਿੱਚ ਇੱਕ ਗੜ੍ਹ ਹੈ ਅਤੇ ਉਹ ਆਪਣੇ ਵਿੱਚ ਪਨਾਹ ਲੈਣ ਵਾਲਿਆਂ ਨੂੰ ਜਾਣਦਾ ਹੈ।
[IRV | PA | OT | Nahum | Chapter 1 | Verse 8] ਪਰ ਉੱਛਲਦੇ ਹੜ੍ਹ ਨਾਲ ਉਹ ਉਸ ਸਥਾਨ ਦਾ ਪੂਰਾ ਅੰਤ ਕਰ ਦੇਵੇਗਾ ਅਤੇ ਹਨੇਰੇ ਵਿੱਚ ਆਪਣੇ ਵੈਰੀਆਂ ਦਾ ਪਿੱਛਾ ਕਰੇਗਾ।
[IRV | PA | OT | Nahum | Chapter 1 | Verse 9] ਤੁਸੀਂ ਯਹੋਵਾਹ ਦੇ ਵਿਰੁੱਧ ਕਿਹੜੀ ਯੋਜਨਾ ਬਣਾਉਂਦੇ ਹੋ? ਉਹ ਉਸਦਾ ਪੂਰਾ ਅੰਤ ਕਰ ਦੇਵੇਗਾ, ਬਿਪਤਾ ਦੂਜੀ ਵਾਰੀ ਨਾ ਉੱਠੇਗੀ!
[IRV | PA | OT | Nahum | Chapter 1 | Verse 10] ਉਹ ਤਾਂ ਕੰਡਿਆਂ ਦੇ ਵਿੱਚ ਫਸੇ ਹੋਏ, ਮਸਤ ਹੋ ਕੇ ਜਿਵੇਂ ਆਪਣੀ ਸ਼ਰਾਬ ਨਾਲ ਅਤੇ ਸੁੱਕੇ ਭੱਠੇ ਵਾਂਗੂੰ ਪੂਰੀ ਤਰ੍ਹਾਂ ਭਸਮ ਹੁੰਦੇ ਹਨ।
[IRV | PA | OT | Nahum | Chapter 1 | Verse 11] ਤੇਰੇ ਵਿੱਚੋਂ ਇੱਕ ਨਿੱਕਲਿਆ ਜੋ ਯਹੋਵਾਹ ਦੇ ਵਿਰੁੱਧ ਬਦੀ ਸੋਚਦਾ ਹੈ, ਜੋ ਸ਼ਤਾਨੀ ਸਿੱਖਿਆ ਦਿੰਦਾ ਹੈ।
