[IRV | PA | OT | Nahum | Chapter 2 | Verse 1] ਭੰਨਣ ਵਾਲਾ ਤੇਰੇ ਵਿਰੁੱਧ ਚੜ੍ਹ ਆਇਆ ਹੈ, ਗੜ੍ਹ ਦੀ ਰਾਖੀ ਕਰ, ਰਾਹ ਦੀ ਚੌਕਸੀ ਕਰ, ਕਮਰ ਕੱਸ ਅਤੇ ਆਪਣਾ ਬਲ ਬਹੁਤ ਵਧਾ!
[IRV | PA | OT | Nahum | Chapter 2 | Verse 2] ਯਹੋਵਾਹ ਤਾਂ ਯਾਕੂਬ ਦੀ ਉੱਤਮਤਾਈ ਨੂੰ ਇਸਰਾਏਲ ਦੀ ਉੱਤਮਤਾਈ ਵਾਂਗੂੰ ਮੋੜ ਦੇਵੇਗਾ, ਕਿਉਂ ਜੋ ਲੁਟੇਰਿਆਂ ਨੇ ਉਹਨਾਂ ਨੂੰ ਖਾਲੀ ਕੀਤਾ ਅਤੇ ਉਹਨਾਂ ਦੀਆਂ ਦਾਖਾਂ ਦੀਆਂ ਟਹਿਣੀਆਂ ਦਾ ਨਾਸ ਕੀਤਾ।
[IRV | PA | OT | Nahum | Chapter 2 | Verse 3] ਉਹ ਦੇ ਸੂਰਬੀਰਾਂ ਦੀਆਂ ਢਾਲਾਂ ਲਾਲ ਕੀਤੀਆਂ ਹੋਈਆਂ ਹਨ, ਫ਼ੌਜੀ ਕਿਰਮਚੀ ਵਰਦੀ ਪਹਿਨੇ ਹੋਏ ਹਨ, ਰੱਥ ਦਾ ਲੋਹਾ ਅੱਗ ਵਾਂਗੂੰ ਚਮਕਦਾ ਹੈ ਅਤੇ ਉਹ ਦੀ ਤਿਆਰੀ ਦੇ ਦਿਨ ਵਿੱਚ ਸਰੂ ਦੇ ਬਰਛੇ ਝੁਲਾਏ ਜਾਂਦੇ ਹਨ।
[IRV | PA | OT | Nahum | Chapter 2 | Verse 4] ਰੱਥ ਸੜਕਾਂ ਵਿੱਚ ਸਿਰ ਤੋੜ ਭੱਜਦੇ ਹਨ, ਉਹ ਚੌਂਕਾਂ ਵਿੱਚ ਇੱਧਰ-ਉੱਧਰ ਭੱਜੇ ਜਾਂਦੇ ਹਨ, ਵੇਖਣ ਵਿੱਚ ਉਹ ਮਸ਼ਾਲਾਂ ਵਰਗੇ ਹਨ ਅਤੇ ਇਹ ਬਿਜਲੀ ਵਾਂਗੂੰ ਦੌੜਦੇ ਹਨ!
[IRV | PA | OT | Nahum | Chapter 2 | Verse 5] ਉਹ ਆਪਣੇ ਸੂਰਬੀਰਾਂ ਨੂੰ ਯਾਦ ਕਰਦਾ ਹੈ, ਉਹ ਜਾਂਦੇ-ਜਾਂਦੇ ਠੇਡਾ ਖਾਂਦੇ ਹਨ, ਉਹ ਉਸ ਦੀ ਚਾਰ ਦੀਵਾਰੀ ਵੱਲ ਨੱਸਦੇ ਹਨ ਅਤੇ ਲੱਕੜ ਦਾ ਸਹਾਰਾ ਖੜ੍ਹਾ ਕੀਤਾ ਜਾਂਦਾ ਹੈ।
[IRV | PA | OT | Nahum | Chapter 2 | Verse 6] ਨਦੀਆਂ ਦੇ ਫਾਟਕ ਖੋਲ੍ਹੇ ਜਾਂਦੇ ਹਨ ਅਤੇ ਮਹਿਲ ਗਲ਼ ਜਾਂਦਾ ਹੈ।
[IRV | PA | OT | Nahum | Chapter 2 | Verse 7] ਫੈਸਲਾ ਹੋ ਗਿਆ, ਉਹ ਬੇਪੜਦਾ ਕੀਤੀ ਗਈ ਹੈ, ਉਹ ਲਿਜਾਈ ਜਾਂਦੀ ਹੈ, ਉਹ ਦੀਆਂ ਟਹਿਲਣਾਂ ਘੁੱਗੀਆਂ ਦੀ ਅਵਾਜ਼ ਵਾਂਗੂੰ ਗੁਟਕਦੀਆਂ ਹਨ ਅਤੇ ਆਪਣੀਆਂ ਛਾਤੀਆਂ ਪਿੱਟਦੀਆਂ ਹਨ।
[IRV | PA | OT | Nahum | Chapter 2 | Verse 8] ਨੀਨਵਾਹ ਆਦ ਤੋਂ ਪਾਣੀ ਦੇ ਕੁੰਡ ਵਾਂਗੂੰ ਹੈ, ਉਹ ਵਗ ਜਾਂਦੇ ਹਨ, “ਠਹਿਰੋ, ਠਹਿਰੋ!” ਉਹ ਪੁਕਾਰਦੇ ਹਨ, ਪਰ ਉਹ ਨਹੀਂ ਮੁੜਦੇ!
[IRV | PA | OT | Nahum | Chapter 2 | Verse 9] ਚਾਂਦੀ ਲੁੱਟੋ! ਸੋਨਾ ਲੁੱਟੋ! ਰੱਖੀਆਂ ਹੋਈਆਂ ਚੀਜ਼ਾਂ ਬੇਅੰਤ ਹਨ, ਸਾਰੇ ਪਦਾਰਥਾਂ ਦਾ ਮਾਲ ਧਨ ਵੀ!
[IRV | PA | OT | Nahum | Chapter 2 | Verse 10] ਉਹ ਖਾਲੀ, ਸੁੰਨੀ ਅਤੇ ਵਿਰਾਨ ਹੈ, ਦਿਲ ਪਿਘਲ ਜਾਂਦਾ ਹੈ, ਗੋਡੇ ਭਿੜਦੇ ਹਨ, ਕਸ਼ਟ ਸਾਰਿਆਂ ਦੇ ਲੱਕਾਂ ਵਿੱਚ ਹੈ, ਸਾਰਿਆਂ ਦੇ ਚਿਹਰੇ ਪੀਲੇ ਹੋ ਜਾਂਦੇ ਹਨ!
[IRV | PA | OT | Nahum | Chapter 2 | Verse 11] ਬੱਬਰ ਸ਼ੇਰਨੀਆਂ ਦਾ ਟਿਕਾਣਾ ਕਿੱਥੇ ਹੈ ਅਤੇ ਜੁਆਨ ਬੱਬਰ ਸ਼ੇਰਾਂ ਦੇ ਖਾਣ ਦਾ ਥਾਂ ਕਿੱਥੇ ਹੈ, ਜਿੱਥੇ ਬੱਬਰ ਸ਼ੇਰ ਅਤੇ ਸ਼ੇਰਨੀ ਆਪਣੇ ਬੱਚਿਆਂ ਨਾਲ ਫਿਰਦੇ ਸਨ, ਅਤੇ ਕੋਈ ਉਹਨਾਂ ਨੂੰ ਨਹੀਂ ਛੇੜਦਾ ਸੀ?
