[KJV | EN | OT | Malachi | Chapter 3 | Verse 1] Behold, I will send my messenger, and he shall prepare the way before me: And the Lord, whom ye seek, shall suddenly come to his temple, Even the messenger of the covenant, whom ye delight in: Behold, he shall come, saith the Lord of hosts.
[KJV | EN | OT | Malachi | Chapter 3 | Verse 2] But who may abide the day of his coming? And who shall stand when he appeareth? For he is like a refiner’s fire, and like fullers’ sope:
[KJV | EN | OT | Malachi | Chapter 3 | Verse 3] And he shall sit as a refiner and purifier of silver: And he shall purify the sons of Levi, and purge them as gold and silver, That they may offer unto the Lord an offering in righteousness.
[KJV | EN | OT | Malachi | Chapter 3 | Verse 4] Then shall the offering of Judah and Jerusalem be pleasant unto the Lord, As in the days of old, and as in former years.
[KJV | EN | OT | Malachi | Chapter 3 | Verse 5] And I will come near to you to judgment; And I will be a swift witness Against the sorcerers, and against the adulterers, and against false swearers, And against those that oppress the hireling in his wages, The widow, and the fatherless, And that turn aside the stranger from his right, and fear not me, Saith the Lord of hosts.
[KJV | EN | OT | Malachi | Chapter 3 | Verse 6] For I am the Lord, I change not; Therefore ye sons of Jacob are not consumed.
[KJV | EN | OT | Malachi | Chapter 3 | Verse 7] Even from the days of your fathers ye are gone away from mine ordinances, and have not kept them. Return unto me, and I will return unto you, saith the Lord of hosts. But ye said, Wherein shall we return?
[KJV | EN | OT | Malachi | Chapter 3 | Verse 8] Will a man rob God? Yet ye have robbed me. But ye say, Wherein have we robbed thee? In tithes and offerings.
[KJV | EN | OT | Malachi | Chapter 3 | Verse 9] Ye are cursed with a curse: for ye have robbed me, Even this whole nation.
[KJV | EN | OT | Malachi | Chapter 3 | Verse 10] Bring ye all the tithes into the storehouse, That there may be meat in mine house, And prove me now herewith, saith the Lord of hosts, If I will not open you the windows of heaven, And pour you out a blessing, that there shall not be room enough to receive it.
[KJV | EN | OT | Malachi | Chapter 3 | Verse 11] And I will rebuke the devourer for your sakes, And he shall not destroy the fruits of your ground; Neither shall your vine cast her fruit before the time in the field, saith the Lord of hosts.
[KJV | EN | OT | Malachi | Chapter 3 | Verse 12] And all nations shall call you blessed: For ye shall be a delightsome land, saith the Lord of hosts.
[KJV | EN | OT | Malachi | Chapter 3 | Verse 13] Your words have been stout against me, saith the Lord. Yet ye say, What have we spoken so much against thee?
[KJV | EN | OT | Malachi | Chapter 3 | Verse 14] Ye have said, It is vain to serve God: And what profit is it that we have kept his ordinance, And that we have walked mournfully before the Lord of hosts?
[KJV | EN | OT | Malachi | Chapter 3 | Verse 15] And now we call the proud happy; Yea, they that work wickedness are set up; Yea, they that tempt God are even delivered.
[KJV | EN | OT | Malachi | Chapter 3 | Verse 16] Then they that feared the Lord spake often one to another: And the Lord hearkened, and heard it, And a book of remembrance was written before him For them that feared the Lord, and that thought upon his name.
[KJV | EN | OT | Malachi | Chapter 3 | Verse 17] And they shall be mine, saith the Lord of hosts, In that day when I make up my jewels; And I will spare them, as a man spareth his own son that serveth him.
[KJV | EN | OT | Malachi | Chapter 3 | Verse 18] Then shall ye return, and discern between the righteous and the wicked, Between him that serveth God and him that serveth him not.
