[VANDYKE | AR | NT | Colossians | Chapter 3 | Verse 1] فَإِنْ كُنْتُمْ قَدْ قُمْتُمْ مَعَ ٱلْمَسِيحِ فَٱطْلُبُوا مَا فَوْقُ، حَيْثُ ٱلْمَسِيحُ جَالِسٌ عَنْ يَمِينِ ٱللهِ.
[VANDYKE | AR | NT | Colossians | Chapter 3 | Verse 2] ٱهْتَمُّوا بِمَا فَوْقُ لَا بِمَا عَلَى ٱلْأَرْضِ،
[VANDYKE | AR | NT | Colossians | Chapter 3 | Verse 3] لِأَنَّكُمْ قَدْ مُتُّمْ وَحَيَاتُكُمْ مُسْتَتِرَةٌ مَعَ ٱلْمَسِيحِ فِي ٱللهِ.
[VANDYKE | AR | NT | Colossians | Chapter 3 | Verse 4] مَتَى أُظْهِرَ ٱلْمَسِيحُ حَيَاتُنَا، فَحِينَئِذٍ تُظْهَرُونَ أَنْتُمْ أَيْضًا مَعَهُ فِي ٱلْمَجْدِ.
[VANDYKE | AR | NT | Colossians | Chapter 3 | Verse 5] فَأَمِيتُوا أَعْضَاءَكُمُ ٱلَّتِي عَلَى ٱلْأَرْضِ: ٱلزِّنَا، ٱلنَّجَاسَةَ، ٱلْهَوَى، ٱلشَّهْوَةَ ٱلرَّدِيَّةَ، ٱلطَّمَعَ -ٱلَّذِي هُوَ عِبَادَةُ ٱلْأَوْثَانِ-
[VANDYKE | AR | NT | Colossians | Chapter 3 | Verse 6] ٱلْأُمُورَ ٱلَّتِي مِنْ أَجْلِهَا يَأْتِي غَضَبُ ٱللهِ عَلَى أَبْنَاءِ ٱلْمَعْصِيَةِ،
[VANDYKE | AR | NT | Colossians | Chapter 3 | Verse 7] ٱلَّذِينَ بَيْنَهُمْ أَنْتُمْ أَيْضًا سَلَكْتُمْ قَبْلًا، حِينَ كُنْتُمْ تَعِيشُونَ فِيهَا.
[VANDYKE | AR | NT | Colossians | Chapter 3 | Verse 8] وَأَمَّا ٱلْآنَ فَٱطْرَحُوا عَنْكُمْ أَنْتُمْ أَيْضًا ٱلْكُلَّ: ٱلْغَضَبَ، ٱلسَّخَطَ، ٱلْخُبْثَ، ٱلتَّجْدِيفَ، ٱلْكَلَامَ ٱلْقَبِيحَ مِنْ أَفْوَاهِكُمْ.
[VANDYKE | AR | NT | Colossians | Chapter 3 | Verse 9] لَا تَكْذِبُوا بَعْضُكُمْ عَلَى بَعْضٍ، إِذْ خَلَعْتُمُ ٱلْإِنْسَانَ ٱلْعَتِيقَ مَعَ أَعْمَالِهِ،
[VANDYKE | AR | NT | Colossians | Chapter 3 | Verse 10] وَلَبِسْتُمُ ٱلْجَدِيدَ ٱلَّذِي يَتَجَدَّدُ لِلْمَعْرِفَةِ حَسَبَ صُورَةِ خَالِقِهِ،
[VANDYKE | AR | NT | Colossians | Chapter 3 | Verse 11] حَيْثُ لَيْسَ يُونَانِيٌّ وَيَهُودِيٌّ، خِتَانٌ وَغُرْلَةٌ، بَرْبَرِيٌّ سِكِّيثِيٌّ، عَبْدٌ حُرٌّ، بَلِ ٱلْمَسِيحُ ٱلْكُلُّ وَفِي ٱلْكُلِّ.
[VANDYKE | AR | NT | Colossians | Chapter 3 | Verse 12] فَٱلْبَسُوا كَمُخْتَارِي ٱللهِ ٱلْقِدِّيسِينَ ٱلْمَحْبُوبِينَ أَحْشَاءَ رَأْفَاتٍ، وَلُطْفًا، وَتَوَاضُعًا، وَوَدَاعَةً، وَطُولَ أَنَاةٍ،
[VANDYKE | AR | NT | Colossians | Chapter 3 | Verse 13] مُحْتَمِلِينَ بَعْضُكُمْ بَعْضًا، وَمُسَامِحِينَ بَعْضُكُمْ بَعْضًا. إِنْ كَانَ لِأَحَدٍ عَلَى أَحَدٍ شَكْوَى، كَمَا غَفَرَ لَكُمُ ٱلْمَسِيحُ هَكَذَا أَنْتُمْ أَيْضًا.
[VANDYKE | AR | NT | Colossians | Chapter 3 | Verse 14] وَعَلَى جَمِيعِ هَذِهِ ٱلْبَسُوا ٱلْمَحَبَّةَ ٱلَّتِي هِيَ رِبَاطُ ٱلْكَمَالِ.
[VANDYKE | AR | NT | Colossians | Chapter 3 | Verse 15] وَلْيَمْلِكْ فِي قُلُوبِكُمْ سَلَامُ ٱللهِ ٱلَّذِي إِلَيْهِ دُعِيتُمْ فِي جَسَدٍ وَاحِدٍ، وَكُونُوا شَاكِرِينَ.
